subject,trial,rt,stimulus,value
33,1,1446.9558809999999,nr46.png,3
33,2,1538.480441,nr102.png,-2
33,3,1021.1577220000001,nr31.png,-2
33,4,1316.3553140000001,nr121.png,-2
33,5,1197.051078,nr60.png,-1
33,6,1975.650959,nr27.png,0
33,7,1396.630702,nr113.png,1
33,8,1670.923683,nr76.png,0
33,9,1958.290867,nr114.png,1
33,10,2317.58462,nr8.png,-1
33,11,1182.1938679999998,nr87.png,-1
33,12,1129.75173,nr74.png,1
33,13,1094.056955,nr20.png,1
33,14,1459.520975,nr44.png,2
33,15,1507.216236,nr30.png,0
33,16,1233.9783659999998,nr48.png,1
33,17,1220.228557,nr84.png,-1
33,18,1733.043715,nr72.png,-1
33,19,914.9411640000001,nr42.png,1
33,20,1023.365468,nr10.png,-1
33,21,764.8766990000001,nr9.png,-1
33,22,1053.201472,nr7.png,2
33,23,1020.7018649999999,nr79.png,2
33,24,959.072978,nr2.png,3
33,25,608.944481,nr95.png,3
33,26,975.309628,nr18.png,-2
33,27,948.141718,nr53.png,1
33,28,1158.525244,nr109.png,1
33,29,1235.487409,nr93.png,-1
33,30,831.812902,nr15.png,2
33,31,1284.238102,nr88.png,1
33,32,848.831662,nr111.png,1
33,33,1469.190849,nr96.png,0
33,34,990.5392870000001,nr51.png,-1
33,35,1036.135553,nr91.png,-1
33,36,741.414991,nr28.png,1
33,37,1048.0895240000002,nr101.png,-2
33,38,949.162183,nr1.png,2
33,39,721.56517,nr125.png,2
33,40,1023.480956,nr124.png,-3
33,41,1401.25343,nr106.png,-2
33,42,729.5283890000001,nr112.png,1
33,43,1030.1356309999999,nr90.png,-1
33,44,1536.4433609999999,nr85.png,0
33,45,1066.47008,nr19.png,-1
33,46,1799.6873480000002,nr69.png,1
33,47,779.1686599999999,nr4.png,2
33,48,879.121277,nr49.png,1
33,49,1119.705878,nr97.png,-1
33,50,1033.598988,nr39.png,1
33,51,901.348226,nr57.png,-1
33,52,1427.444825,nr63.png,-2
33,53,1337.2916850000001,nr29.png,-1
33,54,1535.5059830000002,nr94.png,-3
33,55,956.6034590000002,nr120.png,-2
33,56,912.72604,nr62.png,3
33,57,842.2995329999999,nr50.png,2
33,58,1053.9479729999998,nr100.png,1
33,59,1355.0287159999998,nr56.png,0
33,60,1102.5645710000001,nr52.png,0
33,61,870.771816,nr55.png,1
33,62,904.675243,nr3.png,3
33,63,870.519667,nr89.png,-1
33,64,1313.6038130000002,nr107.png,-2
33,65,1386.025695,nr12.png,0
33,66,2097.063172,nr98.png,-1
33,67,832.552346,nr54.png,1
33,68,774.3864940000001,nr65.png,-1
33,69,1254.185558,nr80.png,1
33,70,1471.129444,nr83.png,0
33,71,649.302725,nr81.png,1
33,72,1929.325194,nr14.png,-1
33,73,1024.961448,nr41.png,0
33,74,1418.099921,nr58.png,1
33,75,942.960156,nr75.png,2
33,76,1082.241571,nr99.png,1
33,77,878.438615,nr45.png,1
33,78,1158.040515,nr21.png,0
33,79,1184.480851,nr11.png,0
33,80,851.8815079999999,nr92.png,2
