,subject,setsize,trial,item,dur,onset,stimulus,fixnum,is_refixation,refixnum,is_last,is_first,value,choice,is_last_to_choice
0,36,16,1,5,396,459,nr56.png,1,0,0.0,0.0,1.0,-3,4,0
1,36,16,1,9,186,917,nr111.png,2,0,0.0,0.0,0.0,0,4,0
2,36,16,1,10,314,1143,nr1.png,3,0,0.0,0.0,0.0,1,4,0
3,36,16,1,11,174,1503,nr57.png,4,0,0.0,0.0,0.0,-3,4,0
4,36,16,1,15,234,1713,nr112.png,5,0,0.0,0.0,0.0,0,4,0
5,36,16,1,14,186,1993,nr74.png,6,0,0.0,0.0,0.0,-3,4,0
6,36,16,1,13,180,2225,nr91.png,7,0,0.0,0.0,0.0,0,4,0
7,36,16,1,12,272,2449,nr28.png,8,0,0.0,0.0,0.0,2,4,0
8,36,16,1,4,384,2773,nr42.png,9,0,0.0,0.0,0.0,2,4,0
9,36,16,1,0,302,3213,nr3.png,10,0,0.0,0.0,0.0,1,4,0
10,36,16,1,1,178,3563,nr8.png,11,0,0.0,0.0,0.0,0,4,0
11,36,16,1,2,202,3781,nr99.png,12,0,0.0,0.0,0.0,-1,4,0
12,36,16,1,5,254,4029,nr56.png,13,1,1.0,0.0,0.0,-3,4,0
13,36,16,1,9,128,4323,nr111.png,14,1,1.0,0.0,0.0,0,4,0
14,36,16,1,10,412,4487,nr1.png,15,1,1.0,0.0,0.0,1,4,0
15,36,16,1,6,216,4955,nr106.png,16,0,0.0,0.0,0.0,-2,4,0
16,36,16,1,7,300,5209,nr101.png,17,0,0.0,0.0,0.0,0,4,0
17,36,16,1,3,320,5551,nr10.png,18,0,0.0,0.0,0.0,2,4,0
18,36,16,1,6,210,5915,nr106.png,19,1,1.0,0.0,0.0,-2,4,0
19,36,16,1,2,320,6175,nr99.png,20,1,1.0,0.0,0.0,-1,4,0
20,36,16,1,10,28,6545,nr1.png,21,1,2.0,0.0,0.0,1,4,0
21,36,16,1,9,408,6615,nr111.png,22,1,2.0,0.0,0.0,0,4,0
22,36,16,1,8,184,7077,nr46.png,23,0,0.0,0.0,0.0,-1,4,0
23,36,16,1,4,502,7419,nr42.png,24,1,1.0,0.0,0.0,2,4,0
24,36,16,1,7,420,7995,nr101.png,25,1,1.0,0.0,0.0,0,4,0
25,36,16,1,6,78,8479,nr106.png,26,1,2.0,1.0,0.0,-2,4,0
26,36,16,2,5,198,425,nr89.png,1,0,0.0,0.0,1.0,0,8,1
27,36,16,2,1,204,669,nr3.png,2,0,0.0,0.0,0.0,1,8,1
28,36,16,2,0,270,921,nr97.png,3,0,0.0,0.0,0.0,0,8,1
29,36,16,2,4,286,1241,nr21.png,4,0,0.0,0.0,0.0,-2,8,1
30,36,16,2,12,158,1597,nr111.png,5,0,0.0,0.0,0.0,0,8,1
