setsize,subject,trial,rt,rt_choice_indication,choice,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,item_value_0,fixation_onset_0,gaze_0,gaze_corrected_0,stimulus_0,item_value_1,fixation_onset_1,gaze_1,gaze_corrected_1,stimulus_1,item_value_2,fixation_onset_2,gaze_2,gaze_corrected_2,stimulus_2,item_value_3,fixation_onset_3,gaze_3,gaze_corrected_3,stimulus_3,item_value_4,fixation_onset_4,gaze_4,gaze_corrected_4,stimulus_4,item_value_5,fixation_onset_5,gaze_5,gaze_corrected_5,stimulus_5,item_value_6,fixation_onset_6,gaze_6,gaze_corrected_6,stimulus_6,item_value_7,fixation_onset_7,gaze_7,gaze_corrected_7,stimulus_7,item_value_8,fixation_onset_8,gaze_8,gaze_corrected_8,stimulus_8
9,0,2,8468.07781,1252.80152,1,1.0,1.0,0.0,18.0,9.0,9.0,0.0,1662.0,0.0722714190553712,0.0899196302312036,nr91.png,2.0,1238.0,0.15351772021565777,0.1798044273053266,nr10.png,-2.0,4380.0,0.04298496166038417,0.08903940113605616,nr21.png,0.0,678.0,0.04936185157703457,0.05365800062528515,nr48.png,0.0,0.0,0.10203023866640638,0.10203023866640638,nr62.png,-1.0,3522.0,0.05195984376529955,0.08895937688452983,nr125.png,2.0,5736.0,0.04770858382086595,0.14787280161687633,nr63.png,0.0,922.0,0.20311575290071643,0.22793297966271564,nr113.png,1.0,3060.0,0.05030657600913093,0.07877105599558672,nr27.png
9,0,3,4734.945317000001,1354.7129569999997,0,1.0,1.0,0.0,14.0,5.0,9.0,2.0,907.0,0.07434087965835741,0.09195533657096909,nr39.png,-1.0,625.0,0.07307370557327177,0.08418603492577806,nr80.png,0.0,3567.0,0.05913479063732975,0.23973725132886495,nr107.png,1.0,1949.0,0.08870218595599463,0.15075672786437536,nr88.png,0.0,0.0,0.11615762446618344,0.11615762446618344,nr76.png,0.0,1319.0,0.04815261523325423,0.06674579913950067,nr93.png,0.0,2163.0,0.10559784042380313,0.1944053773986206,nr79.png,0.0,2853.0,0.07222892284988135,0.1817268530124884,nr4.png,0.0,3265.0,0.0973612088707465,0.3136171085199626,nr92.png
9,0,7,7822.483763999999,1638.6876069999998,1,1.0,1.0,0.0,20.0,11.0,9.0,0.0,893.0,0.06877610951088707,0.07763926120947329,nr42.png,1.0,503.0,0.12476855554391408,0.133342737202361,nr83.png,1.0,6053.0,0.05624811930258422,0.24866009451556648,nr85.png,1.0,1233.0,0.10993950590959643,0.13051098246851986,nr9.png,-2.0,0.0,0.0767019808671603,0.0767019808671603,nr56.png,0.0,2253.0,0.056887302476477226,0.07989968529514149,nr91.png,-2.0,1535.0,0.10993950590959643,0.13677967725723103,nr30.png,0.0,1745.0,0.1275809615090433,0.16421269702301095,nr106.png,0.0,3043.0,0.03426021812066493,0.0560730014439275,nr121.png
9,0,9,5557.554192,1141.6921909999999,3,1.0,1.0,1.0,12.0,3.0,9.0,0.0,773.0,0.13351196846053176,0.1550823692708213,nr48.png,-3.0,4625.0,0.060818120403854085,0.3624454245121233,nr94.png,-1.0,2971.0,0.04534368740169003,0.09742691677576885,nr112.png,2.0,499.0,0.2112440040062861,0.23208212375319753,nr100.png,-2.0,0.0,0.06189773200865623,0.06189773200865623,nr21.png,1.0,3273.0,0.06009837933398599,0.1461992020892276,nr85.png,1.0,4059.0,0.06369708468332647,0.23622769325915716,nr2.png,0.0,3855.0,0.028429772259789782,0.09280174501488059,nr58.png,0.0,3649.0,0.02878964279472383,0.08383309243754501,nr7.png
9,0,14,9125.540062,1494.902215,4,1.0,1.0,1.0,22.0,13.0,9.0,0.0,786.0,0.06027040550622044,0.06595087929442697,nr14.png,-1.0,1010.0,0.07276281682932795,0.0818183380190675,nr112.png,0.0,1348.0,0.061804561282742414,0.07251650206928886,nr65.png,-1.0,446.0,0.055010442843859385,0.057837166072636996,nr80.png,0.0,0.0,0.20864518560698858,0.20864518560698858,nr69.png,0.0,1734.0,0.06837951461069373,0.08442083716869665,nr81.png,0.0,2878.0,0.08470731537510617,0.12372869838829695,nr79.png,0.0,2650.0,0.1437723127712022,0.20260858359893813,nr58.png,0.0,2242.0,0.037477233969322524,0.049683737861566615,nr28.png
9,0,16,6443.0351120000005,1658.8744,5,1.0,1.0,0.0,19.0,10.0,9.0,-1.0,723.0,0.09436546432404418,0.10629305381788362,nr112.png,0.0,1127.0,0.03693911267947782,0.044770208432739184,nr14.png,0.0,2323.0,0.14744603800631903,0.23058055918820525,nr55.png,0.0,481.0,0.10212578211385044,0.1103649991385693,nr60.png,1.0,0.0,0.10119454397907368,0.10119454397907368,nr83.png,2.0,2031.0,0.14434191089039652,0.21078708042702446,nr39.png,-1.0,3859.0,0.036007874544701064,0.0897820617539658,nr19.png,0.0,1573.0,0.057115938932974106,0.07556413691828018,nr8.png,0.0,1751.0,0.07170533637780988,0.09846473629713962,nr106.png
9,0,17,2921.561922,1352.556239,7,1.0,1.0,0.0,10.0,2.0,8.0,-1.0,1681.0,0.09310088482184155,0.2192554802596948,nr80.png,1.0,1487.0,0.12185262866388084,0.2481593819970359,nr31.png,-1.0,2269.0,0.05681892235450624,0.2543819895148587,nr102.png,0.0,487.0,0.03970478911519713,0.04764717584373687,nr109.png,0.0,0.0,0.19030916162111727,0.19030916162111727,nr113.png,0.0,2479.0,0.05544979169536151,0.36605047101182836,nr81.png,0.0,2921.561922,0.0,0.0,nr14.png,2.0,799.0,0.13485936992575576,0.18562473768904256,nr111.png,-3.0,2689.0,0.06024174900236806,0.7567876911509189,nr94.png
9,0,19,4743.46761,1318.5617,3,1.0,1.0,0.0,14.0,5.0,9.0,0.0,1427.0,0.06830446134320711,0.09769430553853653,nr91.png,0.0,1801.0,0.030357538374758717,0.04893851660783447,nr90.png,1.0,2151.0,0.025297948645632264,0.046287945715163634,nr85.png,1.0,743.0,0.13028443552500615,0.15448194067493026,nr44.png,0.0,0.0,0.13956035002840464,0.13956035002840464,nr28.png,-2.0,2317.0,0.13028443552500615,0.2546912216973711,nr30.png,-1.0,3869.0,0.11046770908592755,0.5992217367547783,nr3.png,0.0,555.0,0.1370305551638414,0.15518802113883365,nr58.png,1.0,3333.0,0.038790187923302806,0.1304531906266178,nr95.png
9,0,21,2947.717786,1155.895158,2,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1207.0,0.09566723155769566,0.16200213628425578,nr45.png,0.0,885.0,0.0882038305141875,0.12604729632170825,nr106.png,2.0,1563.0,0.19269144512330189,0.41019188584322835,nr15.png,1.0,469.0,0.06784910039552884,0.08068687816322466,nr44.png,0.0,0.0,0.11602196167635431,0.11602196167635431,nr58.png,1.0,2201.0,0.06581362738366298,0.25980364153265256,nr27.png,1.0,2861.0,0.0291751131700774,0.9917227360947596,nr85.png,0.0,2655.0,0.053600789312467784,0.5397690456704941,nr107.png,0.0,2445.0,0.05495777132037836,0.32224839564359464,nr41.png
9,0,22,6799.922752,1063.4504410000002,0,1.0,1.0,0.0,20.0,11.0,9.0,2.0,3316.0,0.10926594714351248,0.21326534854237775,nr10.png,1.0,696.0,0.06941255323248707,0.07732732198246535,nr83.png,-2.0,1014.0,0.04705935812372005,0.05530664920982339,nr56.png,1.0,478.0,0.05823595567810356,0.0626391709507557,nr49.png,0.0,0.0,0.19794342510789745,0.19794342510789745,nr54.png,-2.0,1432.0,0.04147105934652829,0.052534288034404256,nr21.png,-1.0,2550.0,0.024412042026679775,0.03905953347549221,nr19.png,0.0,1840.0,0.11470718542656762,0.15726051372180724,nr53.png,0.0,1638.0,0.044118148240987545,0.058117878630354204,nr79.png
