b,p_error,v,s,tau,gamma,zeta
1.0,0.05,0.00010797947563557271,0.007267173330010891,2.275018866289608,0.3881093628782179,7.072920847475514
1.0,0.05,0.00010797947563557271,0.007267173330010891,1.2127625654225254,0.20213810211801853,7.072920847475514
1.0,0.05,0.00010797947563557271,0.007267173330010891,1.2127625654225254,0.20213810211801853,7.072920847475514
1.0,0.05,0.00010797947563557271,0.007267173330010891,1.2127625654225254,0.20213810211801853,7.072920847475514
1.0,0.05,0.00010797947563557271,0.007267173330010891,1.2127625654225254,0.20213810211801853,7.072920847475514
1.0,0.05,0.00016446460103008916,0.007267173330010891,0.7214218862865046,0.20213810211801853,7.072920847475514
1.0,0.05,0.00016446460103008916,0.007267173330010891,0.7214218862865046,0.673441921163732,7.9721072219412905
1.0,0.05,0.00016446460103008916,0.007259875836683249,0.7214218862865046,0.673441921163732,4.218965851209967
1.0,0.05,0.00016446460103008916,0.007259875836683249,0.7214218862865046,0.4197651231168482,6.610719676907077
1.0,0.05,0.00016446460103008916,0.007259875836683249,1.0971080905332806,0.47310733791205706,6.610719676907077
1.0,0.05,0.00016446460103008916,0.007259875836683249,1.0971080905332806,0.47310733791205706,6.610719676907077
1.0,0.05,0.00016446460103008916,0.007259875836683249,1.0971080905332806,0.4210021281066484,6.004247570118546
1.0,0.05,0.0001504615312465251,0.007259875836683249,1.0971080905332806,0.4210021281066484,6.004247570118546
1.0,0.05,0.0001504615312465251,0.007259875836683249,1.0971080905332806,0.4210021281066484,6.004247570118546
1.0,0.05,0.0001504615312465251,0.007259875836683249,1.2687883445171677,0.3622334089110774,6.004247570118546
1.0,0.05,0.0001504615312465251,0.007259875836683249,1.2687883445171677,0.09087620900866837,6.004247570118546
1.0,0.05,0.0001457956504476652,0.007259875836683249,1.2687883445171677,0.09087620900866837,6.004247570118546
1.0,0.05,0.0001457956504476652,0.007259875836683249,1.2687883445171677,0.07787580470328426,6.272762764328881
1.0,0.05,0.00013276734228558803,0.007259875836683249,1.5973253222315786,0.07787580470328426,0.07826747244817746
1.0,0.05,0.00012884277759146078,0.0069581552738387665,1.1022931758069807,0.3252334111092813,0.10729853276397402
1.0,0.05,0.00012884277759146078,0.007078284353042801,1.1022931758069807,0.1309642743483386,4.6292259725057034
1.0,0.05,0.00012884277759146078,0.007078284353042801,1.2167787457445887,0.1309642743483386,4.6292259725057034
1.0,0.05,0.00019338075549910817,0.007078284353042801,1.2167787457445887,0.0861099403563323,4.6292259725057034
