p_error,v,alpha,tau,gamma,zeta
0.05,1.3393493735365131e-07,1.981267525617637e-05,3.7373443743634,0.46704379112211897,0.3777538240640483
0.05,1.3393493735365131e-07,1.981267525617637e-05,3.7373443743634,0.5165399772691651,0.5982391735362108
0.05,1.3393493735365131e-07,2.0747423719538375e-05,3.820848000504089,0.5375440688883621,0.5982391735362108
0.05,6.97633250692386e-08,1.9080527856674353e-05,3.820848000504089,0.6463872701826279,1.0454938454886236
0.05,6.878431534597191e-08,0.00011273034253938852,3.820848000504089,0.489527857255584,1.0454938454886236
0.05,3.261695619048777e-08,0.00011273034253938852,3.820848000504089,0.489527857255584,1.0454938454886236
0.05,5.726604274822669e-08,8.56338228358105e-05,3.820848000504089,0.489527857255584,0.8742509109068043
0.05,5.726604274822669e-08,8.56338228358105e-05,3.820848000504089,0.489527857255584,0.8742509109068043
0.05,5.726604274822669e-08,8.56338228358105e-05,3.820848000504089,0.32463227928530763,0.5307113378741258
0.05,5.726604274822669e-08,8.56338228358105e-05,4.263125897370011,0.32463227928530763,0.3036263609576842
0.05,4.395239815748162e-08,5.576547548161431e-05,4.263125897370011,0.5725105534328874,0.3036263609576842
0.05,4.395239815748162e-08,5.576547548161431e-05,3.4466841127290513,0.5725105534328874,0.3036263609576842
0.05,3.772180846980574e-08,0.00010647612114931828,3.4466841127290513,0.5725105534328874,0.3036263609576842
0.05,6.555436624639586e-08,7.99015296519736e-05,3.4466841127290513,0.5725105534328874,0.3036263609576842
0.05,6.555436624639586e-08,7.99015296519736e-05,3.4466841127290513,0.5725105534328874,0.5295987449870325
0.05,4.261217900716185e-08,7.99015296519736e-05,3.4466841127290513,0.5725105534328874,0.5295987449870325
0.05,4.261217900716185e-08,7.99015296519736e-05,3.4466841127290513,0.5725105534328874,1.6139676085991357
0.05,5.458973035963151e-08,8.181996184997346e-05,3.546870825446832,0.5725105534328874,0.5804638637652598
0.05,6.193173120972606e-08,8.181996184997346e-05,3.546870825446832,0.40705054131529883,0.5804638637652598
0.05,6.193173120972606e-08,8.181996184997346e-05,7.991586026629001,0.40705054131529883,0.9263766240452862
0.05,6.193173120972606e-08,8.181996184997346e-05,8.698454868969979,0.40705054131529883,0.9263766240452862
0.05,6.230778771351338e-08,8.181996184997346e-05,8.411958908013943,0.40705054131529883,0.3866082068537413
0.05,5.001589323865025e-08,8.181996184997346e-05,6.0952102444734,0.40705054131529883,0.3866082068537413
0.05,5.8341941100553907e-08,8.181996184997346e-05,5.8141449363210995,0.34174230207846323,0.3866082068537413
0.05,5.8341941100553907e-08,6.931464851985935e-05,5.682912437173173,0.34174230207846323,1.6870142783556743
0.05,4.381453606134567e-08,7.321828636989179e-05,5.682912437173173,0.34174230207846323,0.6648486971997096
0.05,4.381453606134567e-08,4.861989487135083e-05,5.577474951286822,0.35722308393567287,0.8661929188630668
0.05,6.75107572680477e-08,4.861989487135083e-05,4.833572092223029,0.7643071488389866,0.8661929188630668
0.05,6.75107572680477e-08,4.861989487135083e-05,4.833572092223029,0.7643071488389866,0.8661929188630668
0.05,6.927119417548524e-08,4.861989487135083e-05,4.833572092223029,0.7643071488389866,0.8661929188630668
0.05,6.927119417548524e-08,4.861989487135083e-05,4.444289662276513,0.7643071488389866,2.9734517544236856
0.05,6.927119417548524e-08,4.861989487135083e-05,2.286529740332266,0.7928763173249629,2.9734517544236856
0.05,8.106748450798956e-08,3.246129499047857e-05,2.286529740332266,0.9030188215148126,2.9734517544236856
0.05,8.106748450798956e-08,3.246129499047857e-05,2.6655825763639767,0.9327249833185444,2.9734517544236856
0.05,7.969633451225382e-08,3.246129499047857e-05,2.1637323794473136,0.9463559918976172,2.9734517544236856
0.05,5.1013313461315556e-08,3.246129499047857e-05,2.1637323794473136,0.9463559918976172,2.9734517544236856
0.05,6.100964943887675e-08,3.246129499047857e-05,2.1637323794473136,0.9533029667807656,2.9734517544236856
0.05,6.100964943887675e-08,3.246129499047857e-05,2.1637323794473136,0.8980579166494491,2.9734517544236856
0.05,6.100964943887675e-08,5.5021998638195616e-05,2.1637323794473136,0.8698647406815492,2.3505751762758624
0.05,6.100964943887675e-08,3.974909824068713e-05,2.1637323794473136,0.9121740373152356,2.3505751762758624
0.05,6.100964943887675e-08,3.974909824068713e-05,2.1637323794473136,0.9121740373152356,0.5272641894338005
0.05,6.100964943887675e-08,3.974909824068713e-05,2.1637323794473136,0.9121740373152356,4.0425264738232904
0.05,6.100964943887675e-08,3.974909824068713e-05,2.1637323794473136,0.9609895270750262,3.3077902739537106
0.05,6.100964943887675e-08,3.974909824068713e-05,3.1578869098134517,0.9609895270750262,4.067950783725674
0.05,6.100964943887675e-08,3.974909824068713e-05,2.422237371597108,0.9609895270750262,4.867356861592566
0.05,5.4628803289248383e-08,3.974909824068713e-05,2.422237371597108,0.9609895270750262,3.0730600995372637
0.05,5.4628803289248383e-08,3.974909824068713e-05,2.422237371597108,0.9609895270750262,6.205769420379043
0.05,5.4628803289248383e-08,3.5722791333186066e-05,2.422237371597108,0.918770036780406,6.205769420379043
0.05,5.4628803289248383e-08,3.5722791333186066e-05,2.422237371597108,0.949439881120692,6.205769420379043
0.05,5.4628803289248383e-08,4.5099918687681677e-05,2.5608468541471456,0.7641917761169552,2.465032363870547
0.05,5.4628803289248383e-08,4.5099918687681677e-05,2.5608468541471456,0.7641917761169552,2.465032363870547
0.05,5.4628803289248383e-08,4.5099918687681677e-05,2.5608468541471456,0.4168560159473606,2.465032363870547
0.05,5.4628803289248383e-08,4.36958933394344e-05,2.5608468541471456,0.7927242273699685,2.465032363870547
0.05,8.384898327672246e-08,4.36958933394344e-05,2.5608468541471456,0.7927242273699685,2.465032363870547
0.05,8.371621794593504e-08,5.9265439030834795e-05,2.5608468541471456,0.7927242273699685,2.465032363870547
0.05,8.371621794593504e-08,5.5795957254177553e-05,4.327859343971855,0.8697986311602272,2.465032363870547
0.05,8.371621794593504e-08,4.3384328561732634e-05,4.327859343971855,0.7495404221933176,3.283869663133184
0.05,8.371621794593504e-08,4.3384328561732634e-05,4.327859343971855,0.5664969029453817,3.283869663133184
0.05,8.371621794593504e-08,4.3384328561732634e-05,4.327859343971855,0.5664969029453817,3.283869663133184
0.05,8.371621794593504e-08,4.3384328561732634e-05,4.327859343971855,0.5664969029453817,1.4620817539052373
0.05,8.371621794593504e-08,4.3384328561732634e-05,3.441286632301738,0.5664969029453817,1.4620817539052373
0.05,8.371621794593504e-08,4.22659874201837e-05,3.441286632301738,0.5664969029453817,1.6137355142637058
0.05,8.371621794593504e-08,4.22659874201837e-05,3.441286632301738,0.47528616636981863,0.29606476030175216
0.05,1.0981479901659628e-07,3.577382318965151e-05,3.841180151278561,0.47528616636981863,0.07360551626936085
0.05,1.0981479901659628e-07,3.577382318965151e-05,3.841180151278561,0.4954428839824588,0.11501674975720065
0.05,6.382592290776305e-08,6.808389402313549e-05,3.841180151278561,0.4954428839824588,0.11501674975720065
0.05,7.899455987049595e-08,6.808389402313549e-05,4.580064685698765,0.4954428839824588,0.28520754314732344
0.05,7.899455987049595e-08,6.808389402313549e-05,4.580064685698765,0.4954428839824588,0.1529039605593163
0.05,7.899455987049595e-08,6.808389402313549e-05,3.6733049343182196,0.4954428839824588,0.1529039605593163
0.05,7.899455987049595e-08,9.398126837965142e-05,3.6733049343182196,0.46468569107357777,0.08501182710314675
0.05,7.899455987049595e-08,9.398126837965142e-05,3.3267561454669514,0.46468569107357777,0.20085853243958096
0.05,3.041849157564286e-08,9.398126837965142e-05,3.3267561454669514,0.46468569107357777,0.20085853243958096
0.05,7.725175597837044e-08,9.398126837965142e-05,3.366710077841457,0.46468569107357777,0.20085853243958096
0.05,7.725175597837044e-08,9.398126837965142e-05,3.366710077841457,0.46468569107357777,0.20085853243958096
0.05,5.473166463121074e-08,9.398126837965142e-05,4.180253656449947,0.46468569107357777,0.20085853243958096
0.05,5.473166463121074e-08,9.398126837965142e-05,4.180253656449947,0.46468569107357777,0.20085853243958096
0.05,5.473166463121074e-08,9.398126837965142e-05,4.180253656449947,0.46468569107357777,0.20085853243958096
0.05,5.473166463121074e-08,0.00010057900955133971,3.543393818126233,0.46468569107357777,0.20085853243958096
0.05,5.473166463121074e-08,0.00010057900955133971,3.863926927676215,0.46468569107357777,0.1850243213926046
0.05,5.473166463121074e-08,0.00010057900955133971,3.863926927676215,0.46468569107357777,0.36557526261121953
0.05,4.593991483283548e-08,0.00010057900955133971,3.863926927676215,0.46468569107357777,0.7438028405397311
0.05,6.659739143078347e-08,0.00010057900955133971,4.06847056675076,0.5389079213933038,0.7438028405397311
0.05,6.659739143078347e-08,0.00010057900955133971,4.06847056675076,0.5389079213933038,0.7438028405397311
0.05,3.7235073284622435e-08,0.00010057900955133971,4.06847056675076,0.5389079213933038,0.7438028405397311
0.05,1.5237052939577857e-08,0.00010057900955133971,4.369721146926411,0.5389079213933038,0.7438028405397311
0.05,1.5237052939577857e-08,0.00010057900955133971,4.369721146926411,0.5389079213933038,0.47619341339484855
0.05,1.8794688059585764e-08,0.00010057900955133971,4.369721146926411,0.5389079213933038,1.122547699999254
0.05,1.8794688059585764e-08,0.00010057900955133971,4.369721146926411,0.5389079213933038,1.122547699999254
0.05,1.8794688059585764e-08,0.00010057900955133971,4.260338338464811,0.5389079213933038,1.122547699999254
0.05,1.8794688059585764e-08,0.00010057900955133971,4.260338338464811,0.5389079213933038,1.122547699999254
0.05,1.8794688059585764e-08,0.00010057900955133971,4.260338338464811,0.5389079213933038,0.7439145865312515
0.05,3.175273803280743e-08,0.00010057900955133971,3.334373625200918,0.5905735820296285,0.7439145865312515
