p_error,v,alpha,tau,gamma,zeta
0.05,2.12139900900754e-07,1.8631294518056968e-07,4.907064424395358,0.9627024114300468,2.4822981665291017
0.05,2.12139900900754e-07,1.8631294518056968e-07,4.907064424395358,0.9627024114300468,2.0934519474134596
0.05,2.0890922851522207e-07,3.532254631762524e-07,4.907064424395358,0.9034502991363144,2.0934519474134596
0.05,2.0890922851522207e-07,3.2036831815217852e-06,4.907064424395358,0.9034502991363144,2.0934519474134596
0.05,2.0890922851522207e-07,3.2036831815217852e-06,4.907064424395358,0.6484966250399067,2.0934519474134596
0.05,2.0890922851522207e-07,3.2036831815217852e-06,4.907064424395358,0.6484966250399067,2.0934519474134596
0.05,2.0890922851522207e-07,7.628710728203853e-07,4.907064424395358,0.6484966250399067,2.0934519474134596
0.05,1.8327387154321024e-07,7.628710728203853e-07,4.907064424395358,0.6484966250399067,1.741254950961897
0.05,1.8327387154321024e-07,7.628710728203853e-07,4.907064424395358,0.6484966250399067,1.741254950961897
0.05,1.8327387154321024e-07,7.628710728203853e-07,4.907064424395358,0.6484966250399067,0.4404114437275139
0.05,1.8327387154321024e-07,7.628710728203853e-07,4.907064424395358,0.6484966250399067,0.4404114437275139
0.05,1.8327387154321024e-07,7.628710728203853e-07,5.077984989519448,0.6484966250399067,0.4404114437275139
0.05,1.8327387154321024e-07,4.296196198631983e-06,5.077984989519448,0.9280269631068051,0.4404114437275139
0.05,1.8327387154321024e-07,4.296196198631983e-06,5.077984989519448,0.9280269631068051,5.5405395876374905
0.05,1.8327387154321024e-07,4.296196198631983e-06,5.077984989519448,0.9214747065315787,5.5405395876374905
0.05,1.8327387154321024e-07,4.296196198631983e-06,5.077984989519448,0.9387201681710713,5.5405395876374905
0.05,1.8327387154321024e-07,1.961802276011806e-06,6.673253765182627,0.9830437761797055,2.2197365345245417
0.05,1.8327387154321024e-07,1.961802276011806e-06,4.559816912424297,0.977698534751231,2.2197365345245417
0.05,1.610931865656838e-07,1.961802276011806e-06,4.559816912424297,0.9380879199235558,2.2197365345245417
0.05,1.610931865656838e-07,7.455800118770517e-07,4.559816912424297,0.8234624379467091,2.2197365345245417
0.05,1.610931865656838e-07,7.735574799091232e-07,4.559816912424297,0.8234624379467091,2.2197365345245417
0.05,1.610931865656838e-07,1.8919800740349566e-07,4.559816912424297,0.8234624379467091,2.2197365345245417
0.05,1.6688668349338562e-07,1.053126862429063e-06,4.559816912424297,0.8804547971245898,2.9837745549944255
0.05,1.6688668349338562e-07,1.053126862429063e-06,4.559816912424297,0.8804547971245898,3.2366457127195734
0.05,1.6688668349338562e-07,6.491716784825952e-07,6.294842734853959,0.8804547971245898,3.2366457127195734
0.05,1.6688668349338562e-07,6.491716784825952e-07,4.837504637548762,0.9120641656151521,3.2366457127195734
0.05,1.6688668349338562e-07,4.0502729986274733e-07,4.837504637548762,0.9120641656151521,3.2366457127195734
0.05,2.2956273926878937e-07,4.0502729986274733e-07,4.837504637548762,0.9120641656151521,3.2366457127195734
0.05,1.6817043155917616e-07,4.0502729986274733e-07,4.837504637548762,0.9120641656151521,4.037372556238256
0.05,1.6817043155917616e-07,4.0502729986274733e-07,4.837504637548762,0.9120641656151521,4.037372556238256
0.05,2.4442259729713986e-07,8.519037757971504e-06,4.837504637548762,0.9120641656151521,4.037372556238256
0.05,2.4442259729713986e-07,8.322953128049334e-07,2.8105340601905655,0.933896970583073,3.540096178608307
0.05,2.4442259729713986e-07,8.322953128049334e-07,5.82811590797885,0.933896970583073,6.462924340774933
0.05,2.4442259729713986e-07,8.322953128049334e-07,2.098671004425065,0.9896009561550073,5.560336724367728
0.05,2.4442259729713986e-07,8.322953128049334e-07,2.098671004425065,0.9896009561550073,5.560336724367728
0.05,2.4442259729713986e-07,2.1269768038043268e-06,2.098671004425065,0.9896009561550073,5.560336724367728
0.05,1.7472795138900045e-07,2.1269768038043268e-06,2.410520638750552,0.9747399838775241,5.560336724367728
0.05,1.7472795138900045e-07,2.1269768038043268e-06,2.410520638750552,0.9830774440457233,5.560336724367728
0.05,1.712255212641526e-07,2.1269768038043268e-06,2.740938546734273,0.9742824752618893,5.560336724367728
0.05,1.712255212641526e-07,2.1269768038043268e-06,2.740938546734273,0.9742824752618893,5.560336724367728
0.05,1.712255212641526e-07,2.1269768038043268e-06,2.740938546734273,0.9288809958675243,5.560336724367728
0.05,1.712255212641526e-07,2.1269768038043268e-06,2.740938546734273,0.9330514306415231,2.8048580568985377
0.05,1.712255212641526e-07,1.4553662188716025e-06,2.740938546734273,0.9800183609429357,2.8048580568985377
0.05,1.712255212641526e-07,1.4553662188716025e-06,2.740938546734273,0.9800183609429357,4.676511513664084
0.05,1.591156613738406e-07,1.4553662188716025e-06,8.997902493080993,0.9589050033393666,2.5215041196798103
0.05,1.591156613738406e-07,1.4553662188716025e-06,8.997902493080993,0.9589050033393666,2.5215041196798103
0.05,1.591156613738406e-07,1.4553662188716025e-06,8.997902493080993,0.9518603090556196,2.5215041196798103
0.05,1.591156613738406e-07,1.4553662188716025e-06,9.543291739256759,0.9518603090556196,2.5215041196798103
0.05,1.591156613738406e-07,1.4553662188716025e-06,4.1274311522335125,0.9872912539340669,1.3585800938744206
0.05,1.591156613738406e-07,1.4553662188716025e-06,7.913177629141892,0.9872912539340669,1.3585800938744206
0.05,1.591156613738406e-07,1.4553662188716025e-06,7.913177629141892,0.9801161246506724,2.168887084056483
0.05,1.591156613738406e-07,1.4553662188716025e-06,7.913177629141892,0.9845407053928614,0.8447421263086936
0.05,1.591156613738406e-07,1.4553662188716025e-06,7.913177629141892,0.9845407053928614,1.5984443196067835
