p_error,v,alpha,tau,gamma,zeta
0.05,8.621037723121319e-08,7.483482207317663e-06,5.706260686383006,0.5323541514251385,0.9456887770431289
0.05,8.621037723121319e-08,7.483482207317663e-06,5.706260686383006,0.49902683830684275,0.9456887770431289
0.05,8.621037723121319e-08,7.483482207317663e-06,5.026660281671877,0.49902683830684275,0.3553148718924358
0.05,8.621037723121319e-08,7.483482207317663e-06,5.0993566840036975,0.49902683830684275,0.3553148718924358
0.05,7.895277576203565e-08,7.483482207317663e-06,5.0993566840036975,0.49902683830684275,0.3553148718924358
0.05,7.895277576203565e-08,7.483482207317663e-06,5.0993566840036975,0.49902683830684275,0.4594969695378823
0.05,7.895277576203565e-08,9.026384711547717e-06,5.0993566840036975,0.41048186691668254,0.11915055258170554
0.05,7.895277576203565e-08,9.026384711547717e-06,4.653571439087876,0.41048186691668254,1.569343903339614
0.05,1.0835565205865779e-07,9.026384711547717e-06,4.653571439087876,0.41048186691668254,1.569343903339614
0.05,1.0835565205865779e-07,9.026384711547717e-06,4.653571439087876,0.5357706248481138,1.569343903339614
0.05,1.0835565205865779e-07,7.89731280851381e-06,4.653571439087876,0.5357706248481138,1.569343903339614
0.05,1.0835565205865779e-07,7.89731280851381e-06,4.653571439087876,0.5357706248481138,1.569343903339614
0.05,1.2343834107265032e-07,7.89731280851381e-06,4.756238786837133,0.5357706248481138,1.569343903339614
0.05,1.3415769121610372e-07,1.949629068699099e-06,5.492527771433554,0.5357706248481138,1.569343903339614
0.05,1.3415769121610372e-07,1.949629068699099e-06,5.492527771433554,0.5357706248481138,1.8247610216943857
0.05,1.1679364160848384e-07,1.949629068699099e-06,5.492527771433554,0.5357706248481138,1.8247610216943857
0.05,1.0628061681197476e-07,5.54355969457108e-06,3.6274957275593573,0.5357706248481138,0.43214660980660397
0.05,1.0628061681197476e-07,5.54355969457108e-06,3.6274957275593573,0.5541254883741591,1.0328054248983745
0.05,1.0628061681197476e-07,5.54355969457108e-06,3.6274957275593573,0.8166016063049403,0.6797758691495669
0.05,1.1334115951391219e-07,5.54355969457108e-06,2.0540672636417265,0.8166016063049403,0.6797758691495669
0.05,1.2251996248859537e-07,1.0581118503820823e-07,2.0540672636417265,0.8166016063049403,0.7911955523084184
0.05,1.2251996248859537e-07,6.892566210359475e-07,2.0540672636417265,0.6702227876036563,2.0200041114410143
0.05,1.2251996248859537e-07,1.2654997057657814e-06,2.0540672636417265,0.5093632464299896,1.880050446668585
0.05,1.2251996248859537e-07,1.2654997057657814e-06,2.0540672636417265,0.5093632464299896,0.5403684313043272
0.05,1.2251996248859537e-07,1.2654997057657814e-06,2.0540672636417265,0.6888302926971978,4.162584846038919
0.05,1.2251996248859537e-07,1.2654997057657814e-06,1.7056929587469594,0.6888302926971978,1.1225943070571578
0.05,1.2251996248859537e-07,1.2654997057657814e-06,1.7056929587469594,0.6888302926971978,1.1225943070571578
0.05,1.2251996248859537e-07,3.7618025281120912e-06,1.7056929587469594,0.6888302926971978,2.1924093024483153
0.05,1.2251996248859537e-07,3.7618025281120912e-06,2.7265982178126675,0.7656976702302414,2.1924093024483153
0.05,8.601203212353782e-08,7.5495326181983995e-06,2.7265982178126675,0.752593168213636,2.1924093024483153
0.05,8.601203212353782e-08,7.5495326181983995e-06,2.7265982178126675,0.752593168213636,1.084017517604277
0.05,8.601203212353782e-08,7.5495326181983995e-06,2.7265982178126675,0.752593168213636,1.084017517604277
0.05,8.601203212353782e-08,7.5495326181983995e-06,2.7265982178126675,0.6604496141722193,1.084017517604277
0.05,8.601203212353782e-08,7.5495326181983995e-06,2.7265982178126675,0.6604496141722193,0.7465048387231732
0.05,1.2394356633415416e-07,5.691342877688204e-07,2.7265982178126675,0.8778991381543365,0.7465048387231732
0.05,1.4094408282253342e-07,5.691342877688204e-07,2.7265982178126675,0.7747502975221651,3.2048325774253668
0.05,1.4094408282253342e-07,5.579194194082894e-07,2.7265982178126675,0.7747502975221651,3.2048325774253668
0.05,1.4094408282253342e-07,5.579194194082894e-07,1.3517797802747666,0.8633229047129196,1.114849964796426
0.05,1.4094408282253342e-07,4.6893241703774234e-07,1.3517797802747666,0.9395804885698399,1.114849964796426
0.05,1.4094408282253342e-07,6.156491995856095e-08,1.3517797802747666,0.9732234357995027,7.7906214468447486
0.05,1.4094408282253342e-07,3.802532825492347e-06,1.3517797802747666,0.9732234357995027,9.189973393672087
0.05,1.312642543219947e-07,2.9218628489558706e-06,1.6725689985348149,0.9713320937303177,9.017017836925117
0.05,1.312642543219947e-07,2.9218628489558706e-06,1.6725689985348149,0.9713320937303177,6.16440827903053
0.05,1.312642543219947e-07,2.9218628489558706e-06,1.6725689985348149,0.9222905422577676,6.16440827903053
0.05,1.312642543219947e-07,2.9218628489558706e-06,5.338542374421862,0.9110594272533052,2.8160803131624017
0.05,1.312642543219947e-07,2.9218628489558706e-06,5.338542374421862,0.9110594272533052,6.441256902257524
0.05,1.37121789664578e-07,2.9218628489558706e-06,2.779959052961553,0.9110594272533052,6.441256902257524
0.05,1.37121789664578e-07,2.9218628489558706e-06,2.779959052961553,0.9110594272533052,6.441256902257524
0.05,1.4467943659166383e-07,5.140920942083639e-07,2.779959052961553,0.8882321921918125,6.153286964405154
0.05,1.4467943659166383e-07,1.5683089371819207e-06,2.8188555489241933,0.9240291422351125,6.153286964405154
0.05,1.4467943659166383e-07,5.978224436807303e-07,2.237290699870358,0.9240291422351125,6.153286964405154
0.05,1.4467943659166383e-07,5.978224436807303e-07,2.237290699870358,0.9341914804725349,8.816689244241886
0.05,1.4614941248934926e-07,5.978224436807303e-07,2.237290699870358,0.9341914804725349,2.758393024876984
0.05,1.4614941248934926e-07,1.0696539604020007e-06,3.5503536792643597,0.8310966113695534,2.758393024876984
0.05,1.258004118023533e-07,7.108543659066467e-07,3.5503536792643597,0.4843735200366078,2.758393024876984
0.05,1.258004118023533e-07,8.0479238325681e-07,3.5503536792643597,0.7079689872855541,2.758393024876984
0.05,1.2459691436219414e-07,8.0479238325681e-07,2.955255539199672,0.7079689872855541,3.090998508384427
0.05,1.2459691436219414e-07,8.0479238325681e-07,2.955255539199672,0.6577415004610797,3.090998508384427
0.05,1.2459691436219414e-07,3.9041009904098877e-07,2.955255539199672,0.8331858604679176,3.090998508384427
0.05,1.2459691436219414e-07,3.9041009904098877e-07,2.696375157152711,0.8331858604679176,3.090998508384427
0.05,1.2257089908705966e-07,3.9041009904098877e-07,2.696375157152711,0.6229783056699466,3.090998508384427
0.05,1.2257089908705966e-07,3.9041009904098877e-07,2.696375157152711,0.6229783056699466,3.090998508384427
0.05,1.2257089908705966e-07,4.768715316689044e-07,2.5601846270523305,0.6368039358666531,3.090998508384427
0.05,1.2257089908705966e-07,4.768715316689044e-07,2.5601846270523305,0.787439710503519,3.090998508384427
0.05,1.2257089908705966e-07,2.80572090962043e-06,2.5601846270523305,0.8259301132980745,3.090998508384427
0.05,1.2257089908705966e-07,2.80572090962043e-06,2.5601846270523305,0.8259301132980745,3.090998508384427
0.05,1.1619325455423233e-07,5.818797598627272e-07,2.4680503934109432,0.8259301132980745,3.090998508384427
0.05,1.1619325455423233e-07,5.818797598627272e-07,2.4680503934109432,0.7782128350120638,5.579887290863107
0.05,9.647722008178507e-08,4.6618422916508926e-07,2.4680503934109432,0.7782128350120638,6.157276688677441
0.05,1.4937727885408447e-07,4.192141096364811e-06,2.900037092694969,0.7782128350120638,2.601773046733273
0.05,1.4988088015298824e-07,4.192141096364811e-06,1.5465601090469996,0.7921625271852017,2.2089144841328907
0.05,1.4988088015298824e-07,4.192141096364811e-06,1.5465601090469996,0.7921625271852017,2.470016478783346
0.05,1.4988088015298824e-07,4.192141096364811e-06,1.5465601090469996,0.7921625271852017,2.470016478783346
0.05,1.4988088015298824e-07,2.325494471614333e-06,2.439894120540927,0.7758415755296963,2.470016478783346
0.05,1.4988088015298824e-07,1.5202203000129588e-06,2.439894120540927,0.7758415755296963,2.470016478783346
0.05,1.4988088015298824e-07,1.5202203000129588e-06,2.719663836724088,0.7758415755296963,3.0986855892997633
0.05,1.4988088015298824e-07,1.5202203000129588e-06,2.719663836724088,0.7758415755296963,6.818723365855877
0.05,1.4988088015298824e-07,1.5202203000129588e-06,2.567730484098687,0.9829481785604313,9.488898741065702
0.05,1.1898386198971466e-07,1.5202203000129588e-06,2.567730484098687,0.9603470520222306,9.488898741065702
0.05,1.2556332955624884e-07,1.5202203000129588e-06,2.3023583370043816,0.9636265158635964,9.488898741065702
0.05,1.2556332955624884e-07,2.7576779660070045e-07,3.1954810625601042,0.9636265158635964,8.631614432393242
0.05,1.2556332955624884e-07,2.3293294160463055e-06,3.1954810625601042,0.9365576289476438,3.4958155846386605
0.05,1.2556332955624884e-07,3.4489602210522403e-06,3.1954810625601042,0.9172886763967883,3.4958155846386605
0.05,1.2556332955624884e-07,3.4489602210522403e-06,3.1954810625601042,0.8132871241886449,4.381077853927363
0.05,1.2556332955624884e-07,3.4489602210522403e-06,3.1954810625601042,0.7139815145091615,4.381077853927363
0.05,1.2556332955624884e-07,3.4489602210522403e-06,3.1954810625601042,0.7139815145091615,4.381077853927363
0.05,9.784963512659469e-08,3.4489602210522403e-06,3.1954810625601042,0.9598280279836431,4.616496839353154
0.05,9.784963512659469e-08,3.4489602210522403e-06,3.1954810625601042,0.8273567100228452,4.616496839353154
0.05,9.784963512659469e-08,3.4489602210522403e-06,2.5478452392080335,0.939011770410854,4.616496839353154
0.05,9.784963512659469e-08,3.4489602210522403e-06,2.5478452392080335,0.939011770410854,4.616496839353154
0.05,9.784963512659469e-08,3.4489602210522403e-06,2.5478452392080335,0.939011770410854,5.07189925483289
0.05,1.666910395503545e-07,3.4489602210522403e-06,2.5478452392080335,0.8828051028189462,3.697109316797773
0.05,1.666910395503545e-07,3.772431834162151e-06,4.030198098641675,0.8828051028189462,2.6584909956299905
0.05,1.666910395503545e-07,3.295346838864841e-07,3.1289698452189545,0.7761030991308628,2.6584909956299905
