b,p_error,v,s,gamma,zeta
1.0,0.05,2.6849268592088752e-05,0.0045498873371586585,0.05803746409580228,1.739469300509444
1.0,0.05,2.9215511435715234e-05,0.004568226074163842,0.06793282319860308,1.739469300509444
1.0,0.05,2.9215511435715234e-05,0.004568226074163842,0.04785990575133362,1.739469300509444
1.0,0.05,2.9215511435715234e-05,0.004568226074163842,0.04785990575133362,1.739469300509444
1.0,0.05,2.9215511435715234e-05,0.004570964274792879,0.1061986375327335,0.9058174177703182
1.0,0.05,2.9215511435715234e-05,0.004570964274792879,0.1061986375327335,0.690256506784236
1.0,0.05,2.9215511435715234e-05,0.004454299174974228,0.1061986375327335,0.30376683629503065
1.0,0.05,3.253696207359916e-05,0.004454299174974228,0.12556552673813118,0.30376683629503065
1.0,0.05,3.253696207359916e-05,0.004346907362765965,0.12556552673813118,0.0551115942635495
1.0,0.05,3.253696207359916e-05,0.004666905124793352,0.12556552673813118,0.09070982042910415
1.0,0.05,2.502720554748048e-05,0.004666905124793352,0.12556552673813118,0.17957067423684495
1.0,0.05,2.502720554748048e-05,0.004666905124793352,0.19434943509642263,0.17957067423684495
1.0,0.05,2.410455835779503e-05,0.004666905124793352,0.19434943509642263,0.43882264092276857
1.0,0.05,1.870220900914201e-05,0.004680841394920595,0.11595187267090672,3.0576499948041835
1.0,0.05,1.870220900914201e-05,0.004680841394920595,0.11595187267090672,4.280117698169918
1.0,0.05,1.660872364667485e-05,0.004641389566422587,0.11595187267090672,4.280117698169918
1.0,0.05,1.660872364667485e-05,0.0040627381471149615,0.16348044860600086,7.371018523051069
1.0,0.05,1.660872364667485e-05,0.0040627381471149615,0.0863815902815558,7.371018523051069
1.0,0.05,1.4818710203682542e-05,0.004840093548569556,0.09815502327146235,7.371018523051069
1.0,0.05,1.4818710203682542e-05,0.004658338016241653,0.09815502327146235,7.371018523051069
1.0,0.05,1.4818710203682542e-05,0.004658338016241653,0.24362427402384548,7.371018523051069
1.0,0.05,1.442744586944693e-05,0.005144348614066146,0.12606660582614362,7.371018523051069
1.0,0.05,1.442744586944693e-05,0.004454462490838218,0.12918260183050834,7.371018523051069
1.0,0.05,1.442744586944693e-05,0.004454462490838218,0.12918260183050834,9.191524320041275
1.0,0.05,1.6848229249036182e-05,0.004454462490838218,0.13608505731497958,9.845681540869911
