p_error,v,alpha,tau,gamma,zeta
0.05,6.598328404228493e-08,7.386302427387074e-07,0.9001271416245109,0.3419472357571139,8.038416812611166
0.05,6.598328404228493e-08,1.4938450224573174e-06,0.9001271416245109,0.4395133813786903,6.785049678527681
0.05,5.313366626094876e-08,7.158109923845649e-06,0.9001271416245109,0.3892424814481413,6.302284059445499
0.05,5.313366626094876e-08,7.158109923845649e-06,0.9001271416245109,0.3892424814481413,8.298416377520452
0.05,5.313366626094876e-08,7.158109923845649e-06,0.9001271416245109,0.3892424814481413,8.298416377520452
0.05,5.070286865125779e-08,7.158109923845649e-06,0.9918451603719346,0.3892424814481413,8.298416377520452
0.05,4.5924468669271005e-08,1.02459326524544e-05,0.9918451603719346,0.1498938052823447,5.324685423819508
0.05,4.5924468669271005e-08,1.02459326524544e-05,1.210807677149295,0.1498938052823447,5.324685423819508
0.05,4.5924468669271005e-08,1.02459326524544e-05,1.210807677149295,0.1783218530123795,5.324685423819508
0.05,7.876796638767323e-08,3.158597217689015e-06,1.210807677149295,0.1783218530123795,5.324685423819508
0.05,7.876796638767323e-08,1.2617818070577809e-06,1.210807677149295,0.1783218530123795,9.666876959052821
0.05,7.123172655909818e-08,1.2617818070577809e-06,1.4407383505951923,0.11297157403670105,9.666876959052821
0.05,7.123172655909818e-08,1.618459199908188e-08,1.4407383505951923,0.1416965907979749,9.666876959052821
0.05,6.082245456946571e-08,1.618459199908188e-08,1.4407383505951923,0.1416965907979749,1.015459191264625
0.05,6.082245456946571e-08,2.0486597935995415e-06,1.4407383505951923,0.1409455640589347,1.015459191264625
0.05,6.082245456946571e-08,2.0486597935995415e-06,1.4407383505951923,0.1707036245568941,0.05707482668925876
0.05,6.082245456946571e-08,2.0486597935995415e-06,0.9408920680731924,0.1707036245568941,7.13864034751667
0.05,6.082245456946571e-08,2.0486597935995415e-06,0.9408920680731924,0.1707036245568941,7.13864034751667
0.05,6.082245456946571e-08,2.0486597935995415e-06,0.9408920680731924,0.2188397877417744,7.13864034751667
0.05,6.082245456946571e-08,2.8250972697675817e-06,0.9408920680731924,0.2188397877417744,7.13864034751667
0.05,6.082245456946571e-08,1.2889469466711628e-06,1.552667349657285,0.2188397877417744,6.374599082533856
0.05,6.082245456946571e-08,8.006693063001972e-06,1.552667349657285,0.2188397877417744,6.374599082533856
0.05,6.082245456946571e-08,8.006693063001972e-06,1.734279513793569,0.2188397877417744,6.374599082533856
0.05,6.082245456946571e-08,8.006693063001972e-06,1.734279513793569,0.015983620610551398,6.374599082533856
0.05,6.082245456946571e-08,2.4654308259614595e-06,1.5844673879140023,0.015983620610551398,6.374599082533856
0.05,6.082245456946571e-08,8.88250257688489e-06,1.5844673879140023,0.010653070193732158,4.89773618331388
0.05,6.082245456946571e-08,8.88250257688489e-06,1.5844673879140023,0.010653070193732158,3.0075177142198557
0.05,6.978019365533967e-08,8.88250257688489e-06,1.5833084587505362,0.019422487163892714,3.0075177142198557
0.05,6.978019365533967e-08,8.88250257688489e-06,1.5833084587505362,0.22337754582234776,3.0075177142198557
0.05,4.972111249391839e-08,8.88250257688489e-06,1.126282694246368,0.22337754582234776,3.1719511228208646
0.05,4.972111249391839e-08,8.88250257688489e-06,2.0656513103721537,0.22337754582234776,3.1719511228208646
0.05,4.972111249391839e-08,8.88250257688489e-06,2.0656513103721537,0.22337754582234776,3.1719511228208646
0.05,4.972111249391839e-08,8.88250257688489e-06,1.149460995939247,0.22337754582234776,3.1719511228208646
0.05,4.972111249391839e-08,2.7954529782767088e-06,1.149460995939247,0.22337754582234776,8.773227401536603
0.05,4.972111249391839e-08,2.7954529782767088e-06,1.149460995939247,0.22337754582234776,8.773227401536603
0.05,4.972111249391839e-08,2.7954529782767088e-06,1.149460995939247,0.3240270485810683,8.46305775483566
0.05,4.972111249391839e-08,2.7954529782767088e-06,1.387200295571639,0.281840726050739,8.46305775483566
0.05,4.972111249391839e-08,2.7954529782767088e-06,1.0076152077020781,0.17722876046578054,8.46305775483566
0.05,4.972111249391839e-08,1.4163803254220647e-06,1.0076152077020781,0.43664034680457886,8.46305775483566
0.05,4.972111249391839e-08,1.4163803254220647e-06,1.0076152077020781,0.3134078498331211,8.458323290442058
0.05,4.972111249391839e-08,1.9121332911120155e-06,1.2410020314412005,0.07886582738322347,7.851101900750219
0.05,7.427114755966616e-08,1.9121332911120155e-06,1.4878540765767143,0.07886582738322347,7.851101900750219
0.05,4.501169075310194e-08,8.81999057928565e-06,1.4878540765767143,0.04520658413818585,4.914379584573243
0.05,4.501169075310194e-08,8.81999057928565e-06,1.4878540765767143,0.04520658413818585,4.914379584573243
0.05,4.501169075310194e-08,2.101464083268495e-05,1.4878540765767143,0.04520658413818585,4.914379584573243
0.05,5.093102088057749e-08,2.101464083268495e-05,1.4878540765767143,0.04520658413818585,4.914379584573243
0.05,5.093102088057749e-08,9.70276534860127e-06,1.7587457731036247,0.04520658413818585,4.914379584573243
0.05,5.093102088057749e-08,5.0188777202306e-06,1.7587457731036247,0.04520658413818585,4.914379584573243
0.05,5.093102088057749e-08,5.0188777202306e-06,1.7587457731036247,0.04520658413818585,4.914379584573243
0.05,5.093102088057749e-08,5.0188777202306e-06,1.7587457731036247,0.04520658413818585,4.914379584573243
0.05,4.228592402796755e-08,5.0188777202306e-06,1.7587457731036247,0.04537218170103249,4.914379584573243
0.05,4.228592402796755e-08,5.0188777202306e-06,1.7587457731036247,0.04537218170103249,4.914379584573243
0.05,4.228592402796755e-08,1.2684363988107688e-05,1.7587457731036247,0.04537218170103249,4.914379584573243
