b,p_error,v,s,gamma,zeta
1.0,0.05,1.6429397564997573e-05,0.016776984371758348,0.16779958786088,8.775359775518341
1.0,0.05,3.617377273586299e-05,0.020767550060784484,0.16779958786088,2.9474595398676313
1.0,0.05,2.175001279405028e-05,0.015424412024331398,0.16779958786088,7.782336143615019
1.0,0.05,3.163405426585277e-05,0.015424412024331398,0.16779958786088,8.836359446398106
1.0,0.05,3.961927211697864e-05,0.015424412024331398,0.16779958786088,1.6721402107437957
1.0,0.05,4.130615254897969e-05,0.015424412024331398,0.16779958786088,1.6721402107437957
1.0,0.05,4.130615254897969e-05,0.013645023207298223,0.29914064000831425,1.6721402107437957
1.0,0.05,4.130615254897969e-05,0.013645023207298223,0.29914064000831425,1.6721402107437957
1.0,0.05,3.675877423424066e-05,0.013645023207298223,0.29914064000831425,1.6721402107437957
1.0,0.05,3.675877423424066e-05,0.013645023207298223,0.29914064000831425,1.6721402107437957
1.0,0.05,3.675877423424066e-05,0.016830404274529896,0.29914064000831425,1.5828942726037831
1.0,0.05,4.074792357241519e-05,0.016055428312381978,0.29914064000831425,1.5828942726037831
1.0,0.05,4.074792357241519e-05,0.016055428312381978,0.29914064000831425,1.5828942726037831
1.0,0.05,4.074792357241519e-05,0.01721082230504369,0.11507575296977207,4.58262857187092
1.0,0.05,3.469304058606641e-05,0.01721082230504369,0.33632055157868235,4.58262857187092
1.0,0.05,3.469304058606641e-05,0.01721082230504369,0.33632055157868235,5.529935332307091
1.0,0.05,3.9144010639125834e-05,0.015196421853092645,0.33632055157868235,5.529935332307091
1.0,0.05,3.9144010639125834e-05,0.015196421853092645,0.33632055157868235,5.529935332307091
1.0,0.05,2.512342522962102e-05,0.015196421853092645,0.33632055157868235,5.529935332307091
1.0,0.05,2.512342522962102e-05,0.015196421853092645,0.33632055157868235,5.529935332307091
1.0,0.05,2.768177324583337e-05,0.015196421853092645,0.3132838757440373,5.529935332307091
1.0,0.05,3.256684012298273e-05,0.015196421853092645,0.23536712678647365,5.529935332307091
1.0,0.05,2.7151126619985165e-05,0.01732769197733268,0.29195931525930363,5.529935332307091
