subject,trial,repeat,choice,rt,item_value_0,cumulative_gaze_0,stimulus_0,item_value_1,cumulative_gaze_1,stimulus_1,item_value_2,cumulative_gaze_2,stimulus_2,item_value_3,cumulative_gaze_3,stimulus_3,item_value_4,cumulative_gaze_4,stimulus_4,item_value_5,cumulative_gaze_5,stimulus_5,item_value_6,cumulative_gaze_6,stimulus_6,item_value_7,cumulative_gaze_7,stimulus_7,item_value_8,cumulative_gaze_8,stimulus_8,setsize,rt_choice_indication,best_chosen,best_seen_chosen,longest_chosen,fixation_count,refixation_count,seen_items_count,gaze_onset_0,gaze_onset_1,gaze_onset_2,gaze_onset_3,gaze_onset_4,gaze_onset_5,gaze_onset_6,gaze_onset_7,gaze_onset_8,v,gamma,zeta,s,tau
48.0,1.0,0.0,0.0,1415.0,7.0,0.23746816545186106,nr109.png,4.0,0.08726955080355893,nr125.png,5.0,0.07836449459911414,nr1.png,5.0,0.10033029990341127,nr18.png,3.0,0.1751327720207475,nr4.png,5.0,0.0575860301220763,nr9.png,5.0,0.040369588126816375,nr91.png,5.0,0.05343033722666874,nr97.png,0.0,0.0,nr39.png,9,1040.442238,1.0,1.0,1.0,9.0,1.0,8.0,1664.0,1288.0,972.0,2024.0,0.0,716.0,2428.0,2618.0,3368.872617,0.000496,0.98,0.2,0.0106,8.51
48.0,7.0,0.0,0.0,1468.0,6.0,0.0738475228349098,nr42.png,4.0,0.050562267886965266,nr30.png,5.0,0.05388873287952878,nr121.png,5.0,0.09214308029400907,nr65.png,5.0,0.11243451674864643,nr96.png,5.0,0.0698557648438336,nr113.png,7.0,0.19759202055827216,nr95.png,5.0,0.07783928082598601,nr46.png,5.0,0.07650869482896061,nr31.png,9,975.7458210000001,1.0,1.0,1.0,10.0,1.0,9.0,1143.0,929.0,723.0,2719.0,0.0,461.0,1417.0,1931.0,2213.0,0.000496,0.98,0.2,0.0106,8.51
48.0,12.0,0.0,7.0,1998.0,5.0,0.1571102051781129,nr81.png,6.0,0.0748006307741383,nr10.png,4.0,0.0779774915406075,nr50.png,6.0,0.11609982073823782,nr42.png,5.0,0.1195654870289315,nr56.png,5.0,0.06758049266852649,nr9.png,5.0,0.059493937990241275,nr57.png,4.0,0.040432773391426105,nr107.png,5.0,0.07624465839526066,nr84.png,9,577.399016,1.0,1.0,0.0,12.0,3.0,9.0,753.0,869.0,2245.0,539.0,0.0,1143.0,1439.0,2041.0,1709.0,0.000496,0.98,0.2,0.0106,8.51
48.0,19.0,0.0,3.0,3700.0,5.0,0.1434718821116359,nr84.png,6.0,0.09619137550666496,nr58.png,5.0,0.10678873043536534,nr1.png,6.0,0.11718229007697532,nr39.png,4.0,0.10067487182265357,nr125.png,5.0,0.060323404978756004,nr96.png,5.0,0.03994387626971682,nr60.png,5.0,0.07418148450090263,nr56.png,5.0,0.0574702709594905,nr54.png,9,577.372711,1.0,1.0,0.0,13.0,4.0,9.0,1103.0,633.0,851.0,1523.0,0.0,2391.0,1803.0,2745.0,2059.0,0.000496,0.98,0.2,0.0106,8.51
48.0,33.0,0.0,3.0,961.0,5.0,0.07881826913163617,nr114.png,5.0,0.09445164482716732,nr31.png,5.0,0.08044674576658734,nr56.png,7.0,0.1639875971395819,nr87.png,5.0,0.12441561491026867,nr46.png,4.0,0.09380025417318684,nr30.png,5.0,0.039083439238827865,nr55.png,5.0,0.03191814204504275,nr52.png,4.0,0.1175760130434738,nr125.png,9,679.629325,1.0,1.0,1.0,17.0,8.0,9.0,1403.0,643.0,937.0,1697.0,0.0,1195.0,1985.0,2283.0,2533.0,0.000496,0.98,0.2,0.0106,8.51
48.0,37.0,0.0,7.0,1861.0,0.0,0.0,nr15.png,4.0,0.03293989160753305,nr19.png,0.0,0.0,nr63.png,5.0,0.1578050621198095,nr54.png,5.0,0.2956929804769246,nr112.png,5.0,0.08273275101426905,nr93.png,0.0,0.0,nr44.png,7.0,0.1516767101928266,nr3.png,0.0,0.0,nr113.png,9,688.760492,1.0,1.0,0.0,5.0,0.0,5.0,1305.40806,1262.0,1305.40806,740.0,0.0,568.0,1305.40806,1002.0,1305.40806,0.000496,0.98,0.2,0.0106,8.51
48.0,44.0,0.0,3.0,2611.0,0.0,0.0,nr50.png,0.0,0.0,nr49.png,0.0,0.0,nr11.png,7.0,0.2473305266664701,nr62.png,3.0,0.3595805349227912,nr94.png,5.0,0.1636186561024341,nr55.png,0.0,0.0,nr91.png,0.0,0.0,nr44.png,0.0,0.0,nr15.png,9,597.0799129999998,1.0,1.0,0.0,3.0,0.0,3.0,1051.224867,1051.224867,1051.224867,741.0,0.0,505.0,1051.224867,1051.224867,1051.224867,0.000496,0.98,0.2,0.0106,8.51
48.0,45.0,0.0,6.0,1465.0,6.0,0.12130061898878335,nr11.png,6.0,0.09124069883121316,nr10.png,5.0,0.043852118818102435,nr112.png,6.0,0.10043549793823464,nr8.png,4.0,0.14428761675633708,nr51.png,0.0,0.0,nr52.png,5.0,0.1082157125672528,nr18.png,5.0,0.06011984031514045,nr57.png,6.0,0.11175217376226107,nr58.png,9,949.9736300000001,0.0,0.0,0.0,8.0,0.0,8.0,2470.0,628.0,934.0,1126.0,0.0,2827.685488,2108.0,1880.0,1484.0,0.000496,0.98,0.2,0.0106,8.51
48.0,55.0,0.0,0.0,1875.0,6.0,0.0731345826290593,nr39.png,4.0,0.053927520524457866,nr106.png,5.0,0.10637757473317716,nr112.png,5.0,0.11228743999613144,nr111.png,5.0,0.16030509525763506,nr45.png,5.0,0.07608951526053645,nr56.png,5.0,0.0989902431544843,nr9.png,0.0,0.0,nr31.png,6.0,0.10120644262809217,nr7.png,9,543.535684,1.0,1.0,0.0,8.0,0.0,8.0,835.0,629.0,2393.0,1087.0,0.0,2139.0,1459.0,2707.3375260000007,1795.0,0.000496,0.98,0.2,0.0106,8.51
48.0,60.0,0.0,0.0,2692.0,7.0,0.1865644004603899,nr62.png,6.0,0.11480886182177842,nr10.png,5.0,0.143511077277223,nr55.png,0.0,0.0,nr83.png,4.0,0.3460211529906377,nr102.png,0.0,0.0,nr50.png,0.0,0.0,nr97.png,0.0,0.0,nr99.png,0.0,0.0,nr45.png,9,776.791683,1.0,1.0,0.0,4.0,0.0,4.0,1020.0,580.0,774.0,1254.2585800000004,0.0,1254.2585800000004,1254.2585800000004,1254.2585800000004,1254.2585800000004,0.000496,0.98,0.2,0.0106,8.51
48.0,61.0,0.0,5.0,1291.0,4.0,0.100381468885895,nr69.png,5.0,0.09652064315951443,nr54.png,0.0,0.0,nr29.png,5.0,0.11003353320184643,nr96.png,6.0,0.17952839627669684,nr76.png,6.0,0.1283724554021542,nr8.png,5.0,0.061773211622089236,nr55.png,7.0,0.100381468885895,nr95.png,0.0,0.0,nr30.png,9,625.68025,1.0,1.0,0.0,7.0,0.0,7.0,785.0,505.0,2072.0956000000006,1033.0,0.0,1511.0,1311.0,1827.0,2072.0956000000006,0.000496,0.98,0.2,0.0106,8.51
48.0,62.0,0.0,1.0,1211.0,0.0,0.0,nr69.png,5.0,0.15621163600872068,nr55.png,0.0,0.0,nr88.png,4.0,0.13277989060741258,nr102.png,5.0,0.3389792501389239,nr56.png,5.0,0.007810581800436035,nr65.png,0.0,0.0,nr100.png,0.0,0.0,nr3.png,7.0,0.12653142516706375,nr62.png,9,624.410215,1.0,1.0,0.0,5.0,0.0,5.0,1280.314355,564.0,1280.314355,818.0,0.0,1270.0,1280.314355,1280.314355,1050.0,0.000496,0.98,0.2,0.0106,8.51
