b,p_error,v,s,tau,gamma,zeta
1.0,0.05,0.00019698290986267135,0.0039674559822608655,0.5998097359493455,1.0,0.0
1.0,0.05,0.00019698290986267135,0.003680774945048726,0.5998097359493455,1.0,0.0
1.0,0.05,0.00019698290986267135,0.0034939920896626567,0.5998097359493455,1.0,0.0
1.0,0.05,0.00019698290986267135,0.0034939920896626567,0.5998097359493455,1.0,0.0
1.0,0.05,0.00019698290986267135,0.0034939920896626567,0.5998097359493455,1.0,0.0
1.0,0.05,0.00019469109120338738,0.0034939920896626567,0.5893690010668633,1.0,0.0
1.0,0.05,0.00019469109120338738,0.0034939920896626567,0.5264540012706191,1.0,0.0
1.0,0.05,0.00019469109120338738,0.0034939920896626567,0.5264540012706191,1.0,0.0
1.0,0.05,0.00019469109120338738,0.0034939920896626567,0.5254267351879296,1.0,0.0
1.0,0.05,0.00019469109120338738,0.0034939920896626567,0.736005647503542,1.0,0.0
1.0,0.05,0.00021177477407433937,0.0034939920896626567,0.754764719889356,1.0,0.0
1.0,0.05,0.00021177477407433937,0.0034939920896626567,0.754764719889356,1.0,0.0
1.0,0.05,0.00021177477407433937,0.0034939920896626567,0.754764719889356,1.0,0.0
1.0,0.05,0.00021177477407433937,0.0034939920896626567,0.5615302475653887,1.0,0.0
1.0,0.05,0.00021177477407433937,0.003623812381243256,0.5615302475653887,1.0,0.0
1.0,0.05,0.00021177477407433937,0.003623812381243256,0.5615302475653887,1.0,0.0
1.0,0.05,0.00021177477407433937,0.003623812381243256,0.5615302475653887,1.0,0.0
1.0,0.05,0.00021177477407433937,0.003623812381243256,0.5615302475653887,1.0,0.0
1.0,0.05,0.00019029670692802844,0.003623812381243256,0.5615302475653887,1.0,0.0
1.0,0.05,0.00019029670692802844,0.004356253385190658,0.6160497759780361,1.0,0.0
1.0,0.05,0.00019029670692802844,0.004095274745693037,0.8584828221133678,1.0,0.0
1.0,0.05,0.00019029670692802844,0.003910236473309416,0.8584828221133678,1.0,0.0
1.0,0.05,0.00019029670692802844,0.003910236473309416,0.8584828221133678,1.0,0.0
1.0,0.05,0.000186843206194946,0.003910236473309416,0.8584828221133678,1.0,0.0
1.0,0.05,0.00019398407837843194,0.003910236473309416,0.8886052961948001,1.0,0.0
1.0,0.05,0.00019398407837843194,0.003910236473309416,0.7323991500708447,1.0,0.0
1.0,0.05,0.00019398407837843194,0.003910236473309416,0.7323991500708447,1.0,0.0
1.0,0.05,0.00019398407837843194,0.003910236473309416,0.9973022717859201,1.0,0.0
1.0,0.05,0.00019398407837843194,0.003910236473309416,0.9431281630557714,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9431281630557714,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9431281630557714,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9431281630557714,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9431281630557714,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9431281630557714,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9688332690030315,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9688332690030315,1.0,0.0
1.0,0.05,0.00019398407837843194,0.0038615523786934744,0.9688332690030315,1.0,0.0
1.0,0.05,0.00018951503507053742,0.0038615523786934744,0.9688332690030315,1.0,0.0
1.0,0.05,0.0001749412161678106,0.004417292031867672,0.760636843371729,1.0,0.0
1.0,0.05,0.0001749412161678106,0.004417292031867672,0.760636843371729,1.0,0.0
1.0,0.05,0.00015133653548117542,0.004417292031867672,0.760636843371729,1.0,0.0
1.0,0.05,0.00015133653548117542,0.004300279116637296,0.760636843371729,1.0,0.0
1.0,0.05,0.00015133653548117542,0.004300279116637296,0.917929197009667,1.0,0.0
1.0,0.05,0.00020400465694141493,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00020400465694141493,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00020400465694141493,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00020400465694141493,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00015609724735604575,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00015609724735604575,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00017032210289548276,0.004300279116637296,1.0315448667724194,1.0,0.0
1.0,0.05,0.00017032210289548276,0.004322687525662933,1.1525783374775935,1.0,0.0
1.0,0.05,0.0001839771087975069,0.004322687525662933,1.1525783374775935,1.0,0.0
1.0,0.05,0.0001839771087975069,0.004322687525662933,1.1525783374775935,1.0,0.0
1.0,0.05,0.0001839771087975069,0.004322687525662933,0.6935952337653863,1.0,0.0
1.0,0.05,0.0001839771087975069,0.004322687525662933,0.6935952337653863,1.0,0.0
1.0,0.05,0.0001839771087975069,0.004322687525662933,0.6935952337653863,1.0,0.0
1.0,0.05,0.0001839771087975069,0.003962684132687799,0.6935952337653863,1.0,0.0
1.0,0.05,0.0001839771087975069,0.003962684132687799,0.6935952337653863,1.0,0.0
1.0,0.05,0.00015688383411062968,0.004180313573828979,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170058588751037,0.004180313573828979,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170058588751037,0.004180313573828979,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170058588751037,0.004180313573828979,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170316807614489,0.004180313573828979,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170316807614489,0.004180313573828979,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170316807614489,0.004045486390337127,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170316807614489,0.004045486390337127,0.6188226676538264,1.0,0.0
1.0,0.05,0.000170316807614489,0.004045486390337127,0.689828170436067,1.0,0.0
1.0,0.05,0.000170316807614489,0.004219733680689368,0.689828170436067,1.0,0.0
1.0,0.05,0.00015799431927352266,0.004219733680689368,0.689828170436067,1.0,0.0
1.0,0.05,0.00015799431927352266,0.004219733680689368,0.689828170436067,1.0,0.0
1.0,0.05,0.00015799431927352266,0.004219733680689368,0.5815881362517369,1.0,0.0
1.0,0.05,0.00015799431927352266,0.005070097443804912,0.883247201729902,1.0,0.0
1.0,0.05,0.00014990439587698808,0.004053513370538302,0.883247201729902,1.0,0.0
1.0,0.05,0.00017029433142107936,0.004053513370538302,0.883247201729902,1.0,0.0
1.0,0.05,0.00017029433142107936,0.004053513370538302,0.883247201729902,1.0,0.0
1.0,0.05,0.00018226673718197952,0.004434836889016864,0.883247201729902,1.0,0.0
1.0,0.05,0.00014963714062884122,0.004601442362078381,0.883247201729902,1.0,0.0
1.0,0.05,0.00014963714062884122,0.005033418742248731,1.2837798826148885,1.0,0.0
1.0,0.05,0.00014733468123919304,0.005033418742248731,1.2929384493831262,1.0,0.0
1.0,0.05,0.00015103645393864897,0.005054449146009014,1.2929384493831262,1.0,0.0
1.0,0.05,0.00015103645393864897,0.004576156353995612,1.2929384493831262,1.0,0.0
1.0,0.05,0.00015103645393864897,0.004576156353995612,1.1799601123953865,1.0,0.0
1.0,0.05,0.00015542599876931017,0.004576156353995612,1.1799601123953865,1.0,0.0
1.0,0.05,0.00015542599876931017,0.004576156353995612,1.1799601123953865,1.0,0.0
1.0,0.05,0.0001734285328759037,0.004576156353995612,1.1799601123953865,1.0,0.0
1.0,0.05,0.0001734285328759037,0.004576156353995612,1.1799601123953865,1.0,0.0
1.0,0.05,0.0001681660662358347,0.004611891903488337,1.1799601123953865,1.0,0.0
1.0,0.05,0.0001681660662358347,0.004611891903488337,1.1799601123953865,1.0,0.0
1.0,0.05,0.0001681660662358347,0.004649892256543105,1.4286810067578506,1.0,0.0
1.0,0.05,0.0001681660662358347,0.004649892256543105,1.4286810067578506,1.0,0.0
1.0,0.05,0.0001681660662358347,0.004649892256543105,1.4286810067578506,1.0,0.0
1.0,0.05,0.0001681660662358347,0.004649892256543105,0.9998191843634789,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004649892256543105,0.9998191843634789,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004649892256543105,0.9998191843634789,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,1.6198608762037467,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,1.6198608762037467,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,0.817791029626454,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,0.817791029626454,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,0.817791029626454,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,0.817791029626454,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,0.817791029626454,1.0,0.0
1.0,0.05,0.00014502860111401236,0.004638473795877121,0.817791029626454,1.0,0.0
1.0,0.05,0.00014502860111401236,0.00479283787676817,1.0803436418690817,1.0,0.0
1.0,0.05,0.00014502860111401236,0.00479283787676817,1.0803436418690817,1.0,0.0
1.0,0.05,0.00015617879383082164,0.00479283787676817,1.0803436418690817,1.0,0.0
1.0,0.05,0.00015617879383082164,0.00479283787676817,1.0803436418690817,1.0,0.0
1.0,0.05,0.00015617879383082164,0.00479283787676817,1.0803436418690817,1.0,0.0
1.0,0.05,0.00015617879383082164,0.004558008754540199,1.0803436418690817,1.0,0.0
1.0,0.05,0.0001366671460877526,0.004558008754540199,1.0803436418690817,1.0,0.0
1.0,0.05,0.00014718946380683814,0.004558008754540199,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632205861938469,0.004558008754540199,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632964810987267,0.004558008754540199,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632964810987267,0.004558008754540199,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632964810987267,0.004558008754540199,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632964810987267,0.004558008754540199,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632964810987267,0.004667143041290082,0.8420200454208232,1.0,0.0
1.0,0.05,0.0001632964810987267,0.004667143041290082,0.7069905039459934,1.0,0.0
1.0,0.05,0.000132228714359058,0.004667143041290082,0.665632558747855,1.0,0.0
