b,p_error,v,s,gamma,zeta
1.0,0.05,4.3591627288381886e-05,0.023590663444636388,1.0,0.0
1.0,0.05,4.507203261483337e-05,0.023590663444636388,1.0,0.0
1.0,0.05,4.507203261483337e-05,0.023590663444636388,1.0,0.0
1.0,0.05,4.507203261483337e-05,0.023590663444636388,1.0,0.0
1.0,0.05,1.6502368593986824e-05,0.023590663444636388,1.0,0.0
1.0,0.05,4.4531589027881474e-05,0.023590663444636388,1.0,0.0
1.0,0.05,3.053879344558668e-05,0.023590663444636388,1.0,0.0
1.0,0.05,7.997842938011355e-06,0.02552271033282237,1.0,0.0
1.0,0.05,7.997842938011355e-06,0.02552271033282237,1.0,0.0
1.0,0.05,6.563697128638966e-06,0.02552271033282237,1.0,0.0
1.0,0.05,6.405770435745671e-06,0.02828942076056143,1.0,0.0
1.0,0.05,6.405770435745671e-06,0.02828942076056143,1.0,0.0
1.0,0.05,1.7502107212261617e-05,0.02828942076056143,1.0,0.0
1.0,0.05,1.7502107212261617e-05,0.02828942076056143,1.0,0.0
1.0,0.05,1.7502107212261617e-05,0.02828942076056143,1.0,0.0
1.0,0.05,2.5891214515932378e-05,0.02828942076056143,1.0,0.0
1.0,0.05,0.00010305967900549829,0.02828942076056143,1.0,0.0
1.0,0.05,0.00010305967900549829,0.02828942076056143,1.0,0.0
1.0,0.05,7.282204150089303e-05,0.02828942076056143,1.0,0.0
1.0,0.05,3.5565741507377224e-05,0.02828942076056143,1.0,0.0
1.0,0.05,3.5565741507377224e-05,0.02204076955568782,1.0,0.0
1.0,0.05,3.5565741507377224e-05,0.02204076955568782,1.0,0.0
1.0,0.05,3.5565741507377224e-05,0.025731947852018832,1.0,0.0
1.0,0.05,3.5565741507377224e-05,0.025731947852018832,1.0,0.0
1.0,0.05,5.3404431188651874e-05,0.026685032742811685,1.0,0.0
1.0,0.05,5.3404431188651874e-05,0.026685032742811685,1.0,0.0
1.0,0.05,5.3404431188651874e-05,0.026685032742811685,1.0,0.0
1.0,0.05,5.3404431188651874e-05,0.027222189915927706,1.0,0.0
1.0,0.05,5.3404431188651874e-05,0.025460579194602036,1.0,0.0
1.0,0.05,5.3404431188651874e-05,0.025460579194602036,1.0,0.0
1.0,0.05,1.133409780830447e-05,0.025460579194602036,1.0,0.0
1.0,0.05,2.3878458967931922e-05,0.029414439180345395,1.0,0.0
1.0,0.05,2.3009438032469935e-05,0.025481922185828718,1.0,0.0
1.0,0.05,2.3009438032469935e-05,0.025481922185828718,1.0,0.0
1.0,0.05,3.487563115642632e-05,0.025481922185828718,1.0,0.0
1.0,0.05,3.487563115642632e-05,0.025481922185828718,1.0,0.0
1.0,0.05,1.6247630169838107e-05,0.025481922185828718,1.0,0.0
1.0,0.05,1.6247630169838107e-05,0.025481922185828718,1.0,0.0
1.0,0.05,1.6247630169838107e-05,0.025481922185828718,1.0,0.0
1.0,0.05,1.6247630169838107e-05,0.02335771893812624,1.0,0.0
1.0,0.05,2.56363336274212e-05,0.02335771893812624,1.0,0.0
1.0,0.05,1.9256241895239235e-05,0.02335771893812624,1.0,0.0
1.0,0.05,1.9256241895239235e-05,0.02335771893812624,1.0,0.0
1.0,0.05,3.0399784546110133e-05,0.02335771893812624,1.0,0.0
1.0,0.05,3.0399784546110133e-05,0.02335771893812624,1.0,0.0
1.0,0.05,2.4856579670573986e-05,0.028948962255800927,1.0,0.0
