b,p_error,v,s,gamma,zeta
1.0,0.05,9.929302670300916e-06,0.015234358297450115,1.0,0.0
1.0,0.05,1.4342988175816406e-05,0.015234358297450115,1.0,0.0
1.0,0.05,1.4342988175816406e-05,0.015234358297450115,1.0,0.0
1.0,0.05,1.533174925407774e-05,0.015234358297450115,1.0,0.0
1.0,0.05,1.9764067300886912e-05,0.015075871029356997,1.0,0.0
1.0,0.05,1.9764067300886912e-05,0.015075871029356997,1.0,0.0
1.0,0.05,2.983832158971186e-06,0.015075871029356997,1.0,0.0
1.0,0.05,6.042028288355733e-06,0.015075871029356997,1.0,0.0
1.0,0.05,6.042028288355733e-06,0.015075871029356997,1.0,0.0
1.0,0.05,1.6832828290605623e-05,0.013688426862722376,1.0,0.0
1.0,0.05,1.6832828290605623e-05,0.013666087482350734,1.0,0.0
1.0,0.05,1.6832828290605623e-05,0.013666087482350734,1.0,0.0
1.0,0.05,1.6832828290605623e-05,0.013666087482350734,1.0,0.0
1.0,0.05,1.6832828290605623e-05,0.013666087482350734,1.0,0.0
1.0,0.05,2.117036119945281e-05,0.013666087482350734,1.0,0.0
1.0,0.05,2.117036119945281e-05,0.013666087482350734,1.0,0.0
1.0,0.05,2.117036119945281e-05,0.013666087482350734,1.0,0.0
1.0,0.05,2.117036119945281e-05,0.013666087482350734,1.0,0.0
1.0,0.05,1.2596509710535428e-05,0.013666087482350734,1.0,0.0
1.0,0.05,2.4146883668289325e-05,0.013666087482350734,1.0,0.0
1.0,0.05,2.4146883668289325e-05,0.013666087482350734,1.0,0.0
1.0,0.05,1.987891204332868e-05,0.013373129325273484,1.0,0.0
1.0,0.05,1.3410604571455815e-05,0.013373129325273484,1.0,0.0
1.0,0.05,1.3410604571455815e-05,0.014015896024301555,1.0,0.0
1.0,0.05,2.508058921477893e-05,0.014015896024301555,1.0,0.0
1.0,0.05,2.508058921477893e-05,0.014015896024301555,1.0,0.0
1.0,0.05,2.508058921477893e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.508058921477893e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.508058921477893e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.508058921477893e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.539735811909041e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.539735811909041e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.539735811909041e-05,0.01325590741251403,1.0,0.0
1.0,0.05,2.539735811909041e-05,0.01325590741251403,1.0,0.0
1.0,0.05,3.5666576994110626e-05,0.012070842634011496,1.0,0.0
1.0,0.05,3.5666576994110626e-05,0.012070842634011496,1.0,0.0
1.0,0.05,3.5666576994110626e-05,0.012070842634011496,1.0,0.0
1.0,0.05,3.5666576994110626e-05,0.01160635749684677,1.0,0.0
1.0,0.05,2.323062013021004e-05,0.01160635749684677,1.0,0.0
1.0,0.05,2.323062013021004e-05,0.012546644864954036,1.0,0.0
1.0,0.05,2.323062013021004e-05,0.012546644864954036,1.0,0.0
1.0,0.05,2.323062013021004e-05,0.013078582636035264,1.0,0.0
1.0,0.05,2.323062013021004e-05,0.013078582636035264,1.0,0.0
1.0,0.05,2.323062013021004e-05,0.013331983079145356,1.0,0.0
1.0,0.05,2.3656386936022325e-05,0.014227089040286228,1.0,0.0
1.0,0.05,2.3656386936022325e-05,0.014227089040286228,1.0,0.0
1.0,0.05,2.3656386936022325e-05,0.014227089040286228,1.0,0.0
1.0,0.05,2.3656386936022325e-05,0.014227089040286228,1.0,0.0
1.0,0.05,2.3656386936022325e-05,0.013442944762782292,1.0,0.0
1.0,0.05,2.319047926053435e-05,0.013442944762782292,1.0,0.0
1.0,0.05,2.319047926053435e-05,0.013075942776460977,1.0,0.0
1.0,0.05,2.319047926053435e-05,0.013075942776460977,1.0,0.0
1.0,0.05,2.319047926053435e-05,0.012975794329275895,1.0,0.0
1.0,0.05,2.319047926053435e-05,0.012975794329275895,1.0,0.0
1.0,0.05,2.448937256025937e-05,0.012975794329275895,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.012975794329275895,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.012975794329275895,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.012975794329275895,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.01336666500374674,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.01336666500374674,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.01336666500374674,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.012487499743750423,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.012075267000225123,1.0,0.0
1.0,0.05,2.7225027967927004e-05,0.012075267000225123,1.0,0.0
1.0,0.05,1.8317481533594426e-05,0.014483797328367234,1.0,0.0
1.0,0.05,1.0889014509443055e-05,0.015181511898733556,1.0,0.0
1.0,0.05,1.7345077400963515e-05,0.015181511898733556,1.0,0.0
1.0,0.05,1.7345077400963515e-05,0.015181511898733556,1.0,0.0
1.0,0.05,1.2254518996392081e-05,0.015181511898733556,1.0,0.0
1.0,0.05,1.2254518996392081e-05,0.015181511898733556,1.0,0.0
1.0,0.05,1.2254518996392081e-05,0.015181511898733556,1.0,0.0
1.0,0.05,1.2254518996392081e-05,0.015198754299400862,1.0,0.0
1.0,0.05,1.5264878140056586e-05,0.015198754299400862,1.0,0.0
1.0,0.05,1.5264878140056586e-05,0.015198754299400862,1.0,0.0
1.0,0.05,1.1659732717308065e-05,0.015198754299400862,1.0,0.0
1.0,0.05,1.1659732717308065e-05,0.015195875341704045,1.0,0.0
1.0,0.05,1.1659732717308065e-05,0.01475659414592919,1.0,0.0
1.0,0.05,1.2575098533076649e-05,0.013999598443262056,1.0,0.0
1.0,0.05,1.2575098533076649e-05,0.013999598443262056,1.0,0.0
1.0,0.05,1.2575098533076649e-05,0.013999598443262056,1.0,0.0
1.0,0.05,1.2575098533076649e-05,0.014502664708993591,1.0,0.0
1.0,0.05,1.2575098533076649e-05,0.014502664708993591,1.0,0.0
1.0,0.05,1.2575098533076649e-05,0.014502664708993591,1.0,0.0
1.0,0.05,2.3667586587587892e-05,0.014502664708993591,1.0,0.0
1.0,0.05,2.983836830374697e-05,0.014502664708993591,1.0,0.0
1.0,0.05,9.968333868300509e-06,0.014502664708993591,1.0,0.0
1.0,0.05,2.1881171454352522e-05,0.014502664708993591,1.0,0.0
1.0,0.05,2.1881171454352522e-05,0.014502664708993591,1.0,0.0
1.0,0.05,2.1881171454352522e-05,0.014502664708993591,1.0,0.0
1.0,0.05,2.0924892290619367e-05,0.014502664708993591,1.0,0.0
1.0,0.05,1.3008640902724285e-05,0.014294634527077757,1.0,0.0
1.0,0.05,8.361537156158195e-06,0.014294634527077757,1.0,0.0
1.0,0.05,8.629440419173688e-06,0.014407889738764385,1.0,0.0
1.0,0.05,1.0425103505925616e-05,0.014407889738764385,1.0,0.0
1.0,0.05,1.6692090763760347e-05,0.015180780048700937,1.0,0.0
1.0,0.05,1.6692090763760347e-05,0.016382588758305738,1.0,0.0
1.0,0.05,1.6692090763760347e-05,0.015841885759055683,1.0,0.0
