,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-1.162029453906438,0.7978969330168054,-2.728360173184638,0.08210622620129111,0.05019450801404785,0.03553392596280481,252.68600418797186,252.68600418797186,598.9833238451539,294.24761610584983,1.0058160577940876
frac_items_seen[0],0.10872918558480651,0.028247175177839434,0.05446936902275724,0.1589207179923499,0.0014604878165161677,0.0010335271323782167,374.07111116452035,374.07111116452035,480.4115681347032,370.1980525204541,1.0031351804979938
1|setsize_offset[0],-0.6651842956986542,0.8940034741343416,-2.30600984898906,1.1177787610248457,0.0247332502755631,0.019551414032075887,1306.5198991217733,1046.006417826017,1280.7185124668026,1070.8864300261703,1.000943169941589
1|setsize_offset[1],-0.02473029534989334,0.8026121180544994,-1.5381216317766895,1.3875316289716801,0.03205859422924732,0.02267940632301013,626.790601676633,626.790601676633,607.6956698694073,2350.1771403316106,1.0076700056697956
1|setsize_offset[2],0.14031759605412084,0.7891829339323694,-1.3979910969260407,1.5551713484312382,0.029181120522062093,0.02164606734316992,731.3940813000979,665.1941391197257,717.5904034112849,1809.8408251134363,1.0077145861082921
1|setsize_offset[3],0.27231361011313177,0.7939303339678134,-1.18644499670291,1.687817841260144,0.04172097562565418,0.029524978759379615,362.1228082930978,362.1228082930978,364.9380278206986,154.94803427405066,1.0067214880922453
frac_items_seen|setsize_offset[0],-0.7073986108327561,0.5948624284358884,-1.829617957907636,0.27683675026498866,0.022825822023475835,0.016147229968495574,679.1727083850751,679.1727083850751,644.2584555888501,808.4873369462413,1.0015550298803602
frac_items_seen|setsize_offset[1],-0.2621528274081824,0.5054558994775528,-1.2544893670735837,0.6285067273997615,0.01882354672487906,0.013315645306106674,721.0470873457409,721.0470873457409,706.8691012103488,854.6243059519467,1.0013055079233855
frac_items_seen|setsize_offset[2],0.38562762815154644,0.4642786844921713,-0.4337066731718083,1.3215857650087175,0.015090196962578392,0.010673670081074959,946.6025579173219,946.6025579173219,940.4577375128397,1617.6553547537583,1.0007339081407307
frac_items_seen|setsize_offset[3],1.2899355187021873,0.5803735430635486,0.2582521685986656,2.342393192561362,0.01683851431881447,0.011909552146784656,1187.9760132518097,1187.9760132518097,1107.610755250873,1224.9715774190063,1.0015047214892312
1|setsize_sd,0.9104722245225348,0.8817347285981518,0.0009290068037387466,2.5852741544139404,0.04719537015216201,0.033710907481485114,349.04152694932367,342.64557612917014,279.033545792234,304.5665041993439,1.0110399941873864
1|setsize[0],-0.7616947967252933,1.153964309532374,-3.029767633720935,0.7543704624236044,0.06823782399143134,0.06554416826887027,285.97917908363297,155.56747849365755,587.5289570812237,335.41980470184126,1.0005676236058814
1|setsize[1],-0.08377241784682302,0.8194130230181375,-1.566046735058652,1.5474770521910182,0.04754030747446701,0.04827648301070617,297.0857024062961,144.63066148609295,735.2975874175577,328.7495325682456,1.0014472637802596
1|setsize[2],0.0625763434651418,0.7979450387587148,-1.1987832896187314,1.6921205493239295,0.045546699853775345,0.04355749662034681,306.9249031939918,168.38283791341246,827.4941534732815,311.693117520341,1.0025768286688914
1|setsize[3],0.215463032933665,0.811987229987137,-1.0718894327426687,1.9337267245063292,0.047186317002457026,0.04243048159913776,296.1189742926511,183.69369906252348,499.67646058857207,331.61397479484975,1.0058938385620129
frac_items_seen|setsize_sd,0.06271571827839346,0.02644005109306664,0.024329887623191132,0.1183864196454856,0.002162968062185926,0.0017768631739453467,149.42537915071435,111.29358582034968,217.3598400154999,70.5623626477503,1.0079789234346346
frac_items_seen|setsize[0],-0.0357873226194389,0.02867049904182877,-0.09262479898983268,0.014153369290650397,0.0012113195893209523,0.0008569786329815776,560.2127947627581,560.2127947627581,571.2965195488674,727.799339964401,1.003113249387542
frac_items_seen|setsize[1],-0.011160685066344446,0.028188257702038054,-0.06515401637909177,0.03918219952570816,0.001234432471199111,0.0008733642817033619,521.436937246887,521.436937246887,547.5382810484425,736.8044522309236,1.0025834247763843
frac_items_seen|setsize[2],0.02380102477143606,0.028439157349558895,-0.028109822378015945,0.0776934234932002,0.0012301612229603744,0.0010216343998154908,534.4528312080488,388.0305429516413,574.425077140477,826.863390771393,1.0020905781516773
frac_items_seen|setsize[3],0.07280210108096126,0.029514592792379907,0.021238156547198243,0.13018265117576688,0.0014222727897584698,0.0011485555596565812,430.63347721596557,330.7549356147717,548.3481306370298,825.0902666788523,1.0026342782786701
RT_sd,1.0992016378167375,0.0558838895400629,0.9990744198456928,1.2092938276187883,0.0010771938896287161,0.0007712512038618057,2691.4448717052237,2625.717762621258,2822.908480397924,2070.6486130358307,1.0000158671883908
