,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],5.2009139002343225,0.793482300544341,3.8086412195932375,6.8120970254631485,0.051880441033395445,0.0404715540832742,233.91989962189876,192.77968406470882,262.446703792773,99.76340275757424,1.0062092479802212
last_gaze_to_choice[0],0.004687245792862592,0.008831725398640038,-0.011206320370415346,0.021908362202379354,0.0004614266264411166,0.0004330540286689591,366.34124000334623,208.54213256922162,428.79603886429646,185.70317264663026,1.0077672284872248
1|setsize_offset[0],-1.034876097890388,0.6286497587334813,-2.236548171588104,0.14722360887018426,0.02146806028431479,0.015185377365107363,857.4955878689042,857.4955878689042,819.4309897642022,846.0054660389883,1.0042802466125609
1|setsize_offset[1],-0.24222759550114806,0.5558219478876173,-1.3915064656556635,0.7172653910815671,0.022405806851238705,0.01585081303450706,615.3896788581205,615.3896788581205,613.0573558023711,675.9933646551656,1.0047554975862725
1|setsize_offset[2],0.30809396075690404,0.5848562964316442,-0.7758150450270676,1.3912523994429782,0.02562180207526014,0.018127501185209165,521.049514489267,521.049514489267,502.1444105355981,756.9516736177956,1.0043431704482002
1|setsize_offset[3],0.7957735727406278,0.6424851406675752,-0.2945943561133967,1.989860392740255,0.03243329970568384,0.022950873645666975,392.41346864783674,392.41346864783674,356.52028422003775,395.66687252151246,1.0032431816018021
last_gaze_to_choice|setsize_offset[0],0.22365369134467794,0.8912054516214633,-1.437286007190636,1.7787739493197672,0.03708743397517087,0.02623803383242412,577.4336603279962,577.4336603279962,567.311079074257,159.25671516588923,1.0038210067623858
last_gaze_to_choice|setsize_offset[1],-0.026463268579939563,0.8566950975338862,-1.6708192437238618,1.5390596410980453,0.02263809065872329,0.01930453608802359,1432.0987763980092,985.2831209050221,1448.580754097379,1450.0315221965316,1.0064179452294775
last_gaze_to_choice|setsize_offset[2],-0.19624242801985242,0.8397745169127078,-1.7667878151353495,1.341236478420878,0.02403754210766671,0.019025582156575963,1220.521031781851,974.7191124572573,1209.3347688651197,1410.949054044142,1.0011313423303934
last_gaze_to_choice|setsize_offset[3],-0.04084360486103543,0.876193685750819,-1.8183097103512273,1.5291319281556084,0.02605448765166969,0.018428058362777378,1130.9285385164128,1130.9285385164128,1136.0861588050584,1148.8106087977242,1.0047149628911511
1|setsize_sd,1.519855662841741,0.7772936240843158,0.4303150383866936,2.9888043938060576,0.06270647317651716,0.054590652782947634,153.65456239868277,101.95232042349325,273.7010920367632,110.12553464462133,1.0023620199650596
1|setsize[0],-1.3844516871787267,0.9211058682888572,-3.192538991227795,0.4248308698426501,0.07659850223838861,0.06773604151206283,144.60341275563698,93.04276937116693,211.85314080145665,88.56601891182324,1.0113714492547863
1|setsize[1],-0.35236521753037786,0.8382617200986635,-2.068492722108187,1.200059977162517,0.05710404534620083,0.04601538764278259,215.4892042624056,166.5128508629326,240.71327957232305,144.10271140506617,1.0109644329356646
1|setsize[2],0.3417305931295228,0.8341689077054131,-1.4277668027880313,1.8000265245087677,0.05642563932245382,0.03995232039232557,218.5521178915021,218.5521178915021,240.18098291078263,100.95315942561767,1.007649417221455
1|setsize[3],0.9600396479168561,0.8357651982203802,-0.7366671090828613,2.5207965360994655,0.05367375861526928,0.03799882760446659,242.4624830005045,242.4624830005045,272.1313060136817,106.09427713106332,1.0043865524162994
last_gaze_to_choice|setsize_sd,0.010132710252690422,0.009181302276637646,1.9031092946217348e-06,0.02699523289003994,0.0004073210956538362,0.0002881850092640298,508.08311839838115,508.08311839838115,491.1151052964731,723.7305255441969,1.0037947572409194
last_gaze_to_choice|setsize[0],0.002641312693083225,0.009676548526335727,-0.015500638788805804,0.023827456316248594,0.0005888760885437365,0.00041684888779374546,270.01824962539405,270.01824962539405,345.976357605807,241.014891606912,1.0039868841984791
last_gaze_to_choice|setsize[1],-0.00026799375033386395,0.008479496908898125,-0.018138394406962764,0.0170353399659381,0.00036175035305657327,0.0002586717207469025,549.4424943655465,537.8777464439573,668.7573407023416,424.8284059318505,1.0017332092653999
last_gaze_to_choice|setsize[2],-0.0022275820768564002,0.008621709517928837,-0.020861777318655298,0.014853500615205621,0.0004495427837946669,0.0004038225699205039,367.827937396148,228.4998984216582,560.9224156614385,258.01732057119165,1.0034913873293618
last_gaze_to_choice|setsize[3],-0.0007573058894356112,0.009294461042687274,-0.017801555511846815,0.019003077361354006,0.0004853086813788752,0.00037176869334058733,366.7856215559058,313.0998331359403,524.1816406856947,195.90665655471807,1.0082311525178584
RT_sd,2.1339678089617355,0.0904170476876135,1.9834138676993271,2.2954711468234663,0.0019138703542525767,0.001374220923533368,2231.904531577479,2165.0830757100894,2057.551784956968,1486.1381846622721,1.0017618465718172
