,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.9018854833416563,0.023864309438496017,0.8558544355213715,0.946842526336158,0.000791760086026887,0.0005634723485462648,908.4698831793769,897.4389848781279,937.2971450819674,808.7544362359339,1.0016474828598938
RT[0],-0.010946328714892945,0.0048305482217803515,-0.020009127944035157,-0.0010117230106251231,0.0002438631802938004,0.00020931648275952257,392.3741403684039,266.8741587111585,456.72554066626356,158.42916652666278,1.0041897063921952
1|setsize_offset[0],-0.2061257998211969,0.8676698935194325,-1.7981702507336024,1.3918626317810647,0.02392392361307863,0.01704901211398726,1315.3588249635234,1295.6157262211962,1352.8820412491182,1832.8750410920245,1.0000270791062538
1|setsize_offset[1],-0.129683292217748,0.8623049755389689,-1.7048579489921236,1.5235633814311647,0.019662144078268398,0.015700898241655742,1923.3575903090154,1508.72728646804,1864.4015658620046,1723.9677196381426,1.0008326617944032
1|setsize_offset[2],0.1313218538916351,0.8342755449284173,-1.4543548857768898,1.6850860851394835,0.017727175762794988,0.014166817983246822,2214.827591976494,1734.5646263850883,2158.0238411611363,2023.429332001264,1.0032134191115172
1|setsize_offset[3],0.20950135270249043,0.8477908133847523,-1.348895817317077,1.8911806163057017,0.01887240148076471,0.014087141840809683,2018.0089067059218,1811.5132636798446,1986.4243517231178,2231.16852113368,1.0010984533367389
RT|setsize_offset[0],-0.2631950336917891,0.8412295795636345,-1.8382621795413892,1.3487433430277251,0.01591038424698079,0.014585285587305418,2795.5530208740383,1663.8780405690861,2780.2229186496234,2220.423576850684,1.0014286045563785
RT|setsize_offset[1],-0.25892426400278357,0.8081552706834801,-1.7827550726401427,1.2318950581825154,0.01729249152835876,0.013361360689915872,2184.1098436555494,1829.7709495166814,2110.2872950284836,2509.9604653455417,0.9999880597719426
RT|setsize_offset[2],0.04268538963314849,0.8105231548962717,-1.5608549059013248,1.5173498557161096,0.021386063646691145,0.015125302361638567,1436.3793154917946,1436.3793154917946,1408.6839575020635,1953.1536351692573,1.002149055797537
RT|setsize_offset[3],0.44266355694995174,0.806521151419932,-1.1400638608871205,1.9176109122436358,0.01996015202479249,0.014317233764777849,1632.6903785780771,1587.2412435500166,1625.2258148360488,1711.545134613638,1.001450875306725
1|setsize_sd,0.02137349878388199,0.020604866054957826,1.5481433206729308e-05,0.059059011774349704,0.0013090677715575248,0.0011534381780757591,247.75095058546796,160.1424206572911,410.2757396522518,233.95298088520317,1.0041745137824085
1|setsize[0],-0.004460327693850205,0.018515280664176112,-0.04355710425373744,0.02969613456031862,0.0006211428236870022,0.00048090423307378525,888.5413746004249,741.7458228400625,1045.2196231568319,761.2211642841758,1.0009226740588713
1|setsize[1],-0.0029982374923990156,0.017747575483457543,-0.04231476205203223,0.027656244453864526,0.0005689451111198548,0.00045671988067557225,973.0548554821503,755.5856107848907,1188.6786918697364,1132.3596165007789,1.001130892757719
1|setsize[2],0.003360793022941258,0.01797855205503412,-0.03032723507242385,0.04091791697441582,0.0006247026836023029,0.0004701086932752623,828.2523572212633,731.8619792783853,1012.5230353031216,1256.6415512525714,1.0026552128004143
1|setsize[3],0.003865583732390492,0.020012191857719373,-0.02528078812105691,0.04966983846803083,0.0012260771210405674,0.0011330819650266681,266.4119729479417,156.55197347632242,606.9089339456852,246.15447620254943,1.0012054759160218
RT|setsize_sd,0.004864424052575946,0.004614031057275501,1.7787308584443098e-06,0.012853363298996095,0.0003427195522158085,0.00031018203138706297,181.25219032547344,111.21997668942912,417.13732133376664,171.7758768637683,1.0071926632674557
RT|setsize[0],-0.0011889137922973787,0.004159132955870477,-0.010502305141517572,0.005925526453547277,0.00019387996545675406,0.0001371808213139088,460.1927158765483,460.1927158765483,617.5923856227379,289.2430372374907,1.0016460883891312
RT|setsize[1],-0.0011117715383794171,0.0037955747376868442,-0.009245129628506224,0.0063303367460284836,0.00013924745227212237,9.850149622100068e-05,742.9859120596838,742.9859120596838,785.1496309516231,840.7837872899063,1.0021884094746383
RT|setsize[2],0.00027626990546561253,0.003980765882349201,-0.006783587881244241,0.010594523126696415,0.00026568158010258753,0.00021365850957848182,224.49691740480597,174.14882733397855,345.8949693400086,178.2720447864284,1.0101737078018453
RT|setsize[3],0.0022054212364078425,0.0040515158540090634,-0.004705029701465491,0.011280905202307017,0.00023586745611762334,0.00020150836322712105,295.05232360361225,202.7079959006644,408.2295050159952,195.05252336454436,1.0104914539935208
best_chosen_sd,0.10970419234852472,0.003480135484076248,0.10334943132198844,0.11452359577674995,6.776940609771322e-05,4.835890858525793e-05,2637.089951864794,2590.0440589947125,1919.497381514688,970.0714135610616,1.000352038616049
