,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],89.9042406203782,1.7951535473420182,86.4155827482559,93.1147332518764,0.056541892051173666,0.04006461392038757,1008.0046347892352,1004.3928262591844,1009.297823044131,1032.5969367372281,1.0009234836885836
gaze_influence[0],-0.21964009867884773,0.0716582694034239,-0.35630963944673405,-0.08387558317717361,0.00285801720788599,0.0021482223089095954,628.6413618004581,556.9283973271165,638.8338733537556,616.1233087643755,1.0024269594947226
1|setsize_offset[0],-0.05689940232912732,0.8898935991764918,-1.7659235519034775,1.5574335569297304,0.02024692417603379,0.01665752237916926,1931.781724275099,1427.5879131090128,1917.417355013634,1666.507512555897,1.0003356576032638
1|setsize_offset[1],-0.06397436757483749,0.8710808335852136,-1.6673674150897626,1.6339682281263714,0.0180725265506442,0.015564300052015305,2323.1602769431265,1566.7130755311016,2298.14181995669,2353.947960737368,1.0005087028600812
1|setsize_offset[2],-0.03246158293094417,0.8802983024252057,-1.7344950274887099,1.6308350736230193,0.021924569235916815,0.019704412097684417,1612.1208323952856,998.519551314555,1645.0898519907003,791.8799658605942,1.0006140980254297
1|setsize_offset[3],0.1671860060573422,0.8945985170502566,-1.6505661529957414,1.7555127331750882,0.022000235182112596,0.01704887909482855,1653.490488173698,1377.2687071811752,1680.8230023351598,1420.1706622623567,1.000150858846191
gaze_influence|setsize_offset[0],-0.6056051045228622,0.8068639235829819,-2.1262195776810215,0.8992417481794013,0.015071070501563569,0.011509023151313365,2866.238944791914,2458.0841741769377,2841.564876837554,2694.712575522874,1.0001235312685999
gaze_influence|setsize_offset[1],0.03328828902297392,0.7451443186958108,-1.419977313775761,1.4339271675369245,0.017776780677057447,0.015659372074197285,1757.0113238539648,1132.7285046590878,1676.4151600646032,1073.1941843670404,1.0000559086344538
gaze_influence|setsize_offset[2],0.12788082517820415,0.7587640497621457,-1.310215207038949,1.5805738208181757,0.017074531772333302,0.014207976247286331,1974.7671109239766,1426.5818003368063,1905.4143269354904,1973.6756528646063,1.0007597046005405
gaze_influence|setsize_offset[3],0.41972494242554104,0.7969874575916868,-1.0242819182578806,2.042430054727668,0.01935571529078507,0.015968538704230314,1695.4481901433471,1246.0801940962958,1673.4037122751026,2003.523100153607,1.001325641290568
1|setsize_sd,1.7244608731069655,1.6721704867204055,0.001898578166705047,4.7915224641263165,0.058083431278016864,0.04108565012022339,828.813047380655,828.813047380655,725.4411561747651,1080.2521006124905,1.0020646260669572
1|setsize[0],-0.07106469866459564,1.570931201961634,-3.33174477727295,3.139810237941154,0.04463377833437219,0.03362950462634331,1238.7595825902738,1091.6302049695119,1401.899556950358,965.4664648262368,1.0024996402549033
1|setsize[1],-0.14296235926735537,1.5679696185739684,-3.114871370374966,3.3014607315974125,0.04579386363942032,0.0385810847387718,1172.3592479038773,826.4243428553004,1461.4230900196571,1277.8356161820825,1.0010348426851972
1|setsize[2],-0.030241555104086718,1.5021063354495756,-3.130353368924613,3.0553303205555635,0.03932448948967267,0.03042671017570309,1459.0667782901883,1219.1838974042917,1640.9035706925947,1613.2840220366134,1.0016036344329997
1|setsize[3],0.32399520369897356,1.6143329502322321,-3.006553181462363,3.494339680634772,0.04729757835150211,0.0366614117287571,1164.953020873792,970.0611455153878,1407.6208402606053,1216.453133465326,1.0022079377960607
gaze_influence|setsize_sd,0.09845985540870776,0.08178323909637263,0.00018606310273831762,0.2505506937924223,0.003656919862341536,0.0027458418200473583,500.1470685749511,444.13852302124565,546.0132647912582,470.2507608839997,1.0075223016690213
gaze_influence|setsize[0],-0.06293792099759227,0.08433801375387062,-0.23856947693012828,0.06869643464384684,0.002870666053716932,0.0022062559968734777,863.1402915740749,731.2258888029387,1021.4004451201332,772.7044248974989,1.0031892778225602
gaze_influence|setsize[1],0.001780870435324806,0.06801986861994377,-0.139414016883744,0.1337658743436817,0.0027001679861285866,0.0019244305605097376,634.5853032803428,625.2338887857026,752.0430572562267,640.0428360665583,1.0046028691753606
gaze_influence|setsize[2],0.010660931486595,0.06722237859405283,-0.11235784090498335,0.160245137274115,0.0023949478836623956,0.0018793256298971226,787.8356274296951,640.3089164813815,896.7141849685079,916.4538512026521,1.0024997648534633
gaze_influence|setsize[3],0.03731151976552884,0.07016294393401735,-0.0863820859652442,0.18811091746418873,0.0026652048782620274,0.002097643402210088,693.0337857102799,559.9831734637893,789.3171763989886,736.2854173923675,1.0014346982671822
best_chosen_sd,10.84092367507581,0.373030338424533,10.2154316242462,11.451404735122576,0.007363335984595831,0.0052670563138994915,2566.487027751759,2508.553650159151,2048.1438015218314,1276.6037674227084,1.0025840407582602
