,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],1255.5676027914155,42.56287325130342,1178.167935572555,1337.4198922308465,3.9907416439959227,2.8291477975834676,113.75084974429949,113.75084974429949,114.12141240940707,226.05800011683507,1.0175738351938937
euclidean_distance_choice[0],0.5884481005575753,0.03607382357288588,0.5208135203895994,0.6575501439954948,0.0008900860247285846,0.0006298521435043673,1642.5567732878167,1640.7090577433182,1644.3600982486075,1820.3107675341314,1.0011609522683582
setsize[0],2.2751881042421735,0.36688305171038577,1.5689730715032502,2.953221159597907,0.005747226705721601,0.0041613104216763775,4075.1034886569723,3887.140650261185,4084.4721345631274,2189.2358921088057,1.0008654596905937
1|subject_offset[0],-0.2870081352198928,0.260078493785198,-0.7655664397365154,0.18511650076872954,0.0139043654194684,0.009840079013184629,349.8698645193682,349.8698645193682,350.61593515518473,1001.9321690777508,1.0044314972833406
1|subject_offset[1],-2.1811667300469444,0.3391455970748787,-2.8500144958826126,-1.5542865169750943,0.02103861819496048,0.01489327908815867,259.8591072664468,259.8591072664468,257.87521608855604,498.90679327579625,1.0139558348465045
1|subject_offset[2],-0.04207988257958793,0.2376884315828106,-0.4966979825096094,0.39277365129550873,0.014550565214624582,0.010300070255266677,266.843336529994,266.843336529994,266.14582150384206,668.0162254608136,1.0084660692052267
1|subject_offset[3],-0.17630560389681244,0.2548563748936323,-0.6493057855725817,0.30254005420615787,0.014729696523979737,0.010425632751479659,299.36664097191203,299.36664097191203,299.9247105229213,733.7971867835583,1.0058498461179324
1|subject_offset[4],-0.5571989078740489,0.26214654743022886,-1.0446198313978883,-0.06232265365911271,0.015107914949893914,0.010693275198435657,301.0781382969131,301.0781382969131,300.00968143037164,623.6089886325265,1.010366866814625
1|subject_offset[5],-0.5901627744853831,0.24960534006790236,-1.0497381602019646,-0.11281907235964157,0.014985025343694726,0.010607171784593857,277.4551441622155,277.4551441622155,275.69654143220123,771.0048252633685,1.0094538653536564
1|subject_offset[6],-0.1098037036378246,0.25557596677032723,-0.6179363136054861,0.3532589208018563,0.015420235872417929,0.010915351580074893,274.69957710982095,274.69957710982095,275.4334241947042,581.8589913921978,1.0052895664754253
1|subject_offset[7],0.29389356948428663,0.2647221991133938,-0.16660250532021265,0.814312539332341,0.014975884055076617,0.01059944973683298,312.46097659475413,312.46097659475413,313.6076498531024,1024.5208916848449,1.005379310069586
1|subject_offset[8],0.8057856271413141,0.26229859325103894,0.3341808435260341,1.3058592107549385,0.0173896114407649,0.012312110084991352,227.51611678384398,227.51611678384398,228.29548489614248,1056.1686476234381,1.0026388090982492
1|subject_offset[9],-0.12342881657511649,0.2552335334673354,-0.6255703695029435,0.32737759458152005,0.014927122889653196,0.010565617666629267,292.36356531666826,292.36356531666826,291.74522159802393,1042.2643274497887,1.0061416115778825
1|subject_offset[10],0.5311977760299822,0.2587336735366473,0.051881543269053636,1.020590651277336,0.01617448119939386,0.011450147097821979,255.88521345889998,255.88521345889998,254.71094479555947,851.6110357824726,1.0037395674455771
1|subject_offset[11],0.12418079609764504,0.2348821416167313,-0.3151832525080826,0.5643118733152116,0.01489934698389603,0.01054781848816201,248.52239340756003,248.52239340756003,248.53049275692416,664.1351646871597,1.004553046620805
1|subject_offset[12],0.7338539068927572,0.26463256976776134,0.2561605098960604,1.2645819075600744,0.016856519339095533,0.011933493160851464,246.46246168652988,246.46246168652988,246.33617282428813,841.4615389584434,1.0030844584152692
1|subject_offset[13],-0.6468864698786994,0.2571620553498233,-1.1549239963748448,-0.18704495398925416,0.014843048769821537,0.01050583564895567,300.17018128635567,300.17018128635567,299.73950985650816,724.7071559249648,1.0087917617308477
1|subject_offset[14],-0.18251871414725998,0.26097049694277863,-0.6760138118754518,0.29996097725026544,0.014094384336405434,0.009974725715817598,342.8393042730507,342.8393042730507,343.1764670701173,983.5976066122432,1.0051136247476802
1|subject_offset[15],-1.19835775533986,0.2802914012711406,-1.7071204580661274,-0.6612523560615078,0.016837240081598735,0.011918279560831836,277.12629811910426,277.12629811910426,274.8341510167145,770.322000754969,1.0150364387209803
1|subject_offset[16],-1.1586390755299383,0.2792807367879665,-1.6598191597877134,-0.6233170206200401,0.015967439492636053,0.011301466811472278,305.922489582376,305.922489582376,300.43301804391695,765.7373009724689,1.0071949150223436
1|subject_offset[17],2.398577301179319,0.36156988374181825,1.7373913517058515,3.077327941784879,0.02696412390991946,0.019097528241854785,179.80918425834568,179.80918425834568,180.94035240473997,624.2744874668828,1.0028735692339166
1|subject_offset[18],-1.0294458781073172,0.2789662913401733,-1.5699420099431143,-0.5212816293341823,0.01668076831878448,0.011807406621495002,279.68640506542084,279.68640506542084,276.44516174581264,586.2700704128343,1.0170697536031679
1|subject_offset[19],0.36039627784945905,0.26516019032038024,-0.11254227289007694,0.8835922629103313,0.015239253691846082,0.010786177870776898,302.75355140244335,302.75355140244335,302.85449897818705,1205.0104593946246,1.0043191716309519
1|subject_offset[20],-0.3836242088758435,0.247475076305707,-0.8791103962295475,0.05306056772165183,0.014754553536599178,0.010443880517698206,281.3265941808813,281.3265941808813,282.7404594106044,773.8598969816844,1.0057398647691547
1|subject_offset[21],1.3109706388074114,0.2829247484954467,0.7670971527547197,1.8321420083977082,0.01892231216800619,0.013397590476691878,223.55967581064536,223.55967581064536,222.8757529354048,892.2251550444196,1.0037536378841676
1|subject_offset[22],-0.046583851279975184,0.2523357987051333,-0.5298457736842592,0.42849839034344717,0.014512444712876198,0.010271764389661287,302.3267527571691,302.3267527571691,303.9789402000822,845.4070864087149,1.0049072184564913
1|subject_offset[23],-0.1336128902349728,0.26158889490396026,-0.5951986109504686,0.38332798827586134,0.015212907885638113,0.010767779533079913,295.6746797572963,295.6746797572963,296.1244615889902,678.5522822946007,1.007575334931103
1|subject_offset[24],0.18948025276555727,0.25189498251294345,-0.2413443368655047,0.679776448978474,0.01619455624122777,0.011465114079095841,241.93624151705302,241.93624151705302,242.5502300016854,875.0802867071186,1.008019451466837
1|subject_offset[25],-0.7683798624465501,0.2829984346988202,-1.3103307301278795,-0.257737181878382,0.016318571299642107,0.011550181472309356,300.74872861887485,300.74872861887485,302.30840642221534,780.2396343382253,1.0114079156144928
1|subject_offset[26],-0.39182496722491034,0.25879062054008994,-0.858487256044086,0.1112276121784789,0.01565820890114335,0.011083869526689624,273.1573546842559,273.1573546842559,274.37452624236187,824.1225895765975,1.0106878915431663
1|subject_offset[27],0.3109206374832877,0.2589724478616079,-0.16640656051386077,0.8071738866961538,0.015493980991050068,0.010967357515246114,279.3708480121779,279.3708480121779,278.9459942783915,872.0868716881433,1.0047349706649802
1|subject_offset[28],-0.003967860174655888,0.25190646196357924,-0.45943917111023463,0.4868753989626362,0.014491330793022937,0.010256825066669724,302.1774668248418,302.1774668248418,303.01653284321424,962.9693049216519,1.0071387536813488
1|subject_offset[29],-0.41397905694602743,0.2665240084656063,-0.8947887480073903,0.09459940454942231,0.015559696732268058,0.011013322745966331,293.40696328535967,293.40696328535967,293.69396621052124,814.9324639813201,1.0079013529271599
1|subject_offset[30],0.7175924077482991,0.28104863374533856,0.16780950474508785,1.2297521155989142,0.015681315511526774,0.011098448448080287,321.2165925457249,321.2165925457249,320.32618035710857,962.0035881316492,1.0015902311587066
1|subject_offset[31],1.701714495354662,0.3069341538442888,1.1463518588407406,2.2984227815857525,0.02132420730700628,0.015099770221782074,207.17847971591826,207.17847971591826,206.57189210225204,642.6137345810811,1.00427079004851
