,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],291.83460391783217,6.612871807742397,279.2248020560828,303.89850847947423,0.21607291971603965,0.15283422853194628,936.6547219553748,936.6547219553748,936.71934298481,1434.2834980636478,1.005247750738314
ms_time[0],0.014279836158867274,0.0013120768502780345,0.011777420447825255,0.01665995036041492,3.207538546653557e-05,2.2684677130463047e-05,1673.3037242781222,1673.3037242781222,1670.2283034784512,1946.3961247213795,1.0003449894515768
setsize[0],-2.892932213882095,0.20152296305544012,-3.2666241367194924,-2.513143425364049,0.005310231152182168,0.0037556611563304607,1440.1980809879647,1440.1980809879647,1442.1089545474701,1848.6346237634507,1.0022736882263619
1|subject_offset[0],-1.345857245032253,0.4925386977969733,-2.2575244999472326,-0.40232556525504337,0.007920480925764554,0.005754325117437744,3867.030618995632,3663.794296638872,3879.9140109840914,3032.352330784349,0.9996175150769263
1|subject_offset[1],-0.4652702393216739,0.57186928468108,-1.5882735502469134,0.5718956943781719,0.00888309211870409,0.006987307728227096,4144.433833631105,3349.8043444726627,4144.023954066926,3427.3580157027386,1.0007252289150175
1|subject_offset[2],0.3166377767969176,0.5932162341344139,-0.7297681732248541,1.516223581214595,0.008467067454128658,0.007821286208638187,4908.626817995579,2876.9199114455014,4884.827699313993,3288.944506116772,1.0008652654034236
1|subject_offset[3],-1.1323110719969343,0.5017725693503827,-2.1133220006078464,-0.2496484272215832,0.00780573767853399,0.005855715801920446,4132.243710272035,3671.916987694417,4143.864551672415,3232.8578504165885,1.0010532660758313
1|subject_offset[4],0.23201706120188534,0.4140969201113146,-0.5391036223543257,0.9998709483423317,0.0076501352765006,0.005445818252529199,2929.9875245868484,2891.5808608718194,2935.1600601644386,2897.1113601987445,0.9999124951278091
1|subject_offset[5],-0.1727071788528562,0.7397317618214204,-1.535539247886033,1.2602194580253916,0.011042338306181468,0.010070377751379665,4487.72706017339,2698.4905855048682,4478.0630111568535,3454.7077578194776,1.0002350465695031
1|subject_offset[6],0.07679384431632766,0.52579196544345,-0.9555803118808956,1.027992683445799,0.00843328775122068,0.00792117594525406,3887.174639551113,2203.604036979923,3897.2512141664356,2954.880731016012,1.0003701223790897
1|subject_offset[7],-0.037614962501213996,0.562555415323481,-1.1032848221829825,0.9994309909937538,0.008680785580697941,0.008039275605701482,4199.644812245252,2448.8955029991366,4205.413514339543,3408.2989798840667,1.0009141025039023
1|subject_offset[8],-0.707071019741456,0.5482632728734271,-1.7301370303990633,0.3179258926571616,0.007996736066916246,0.006296366695734993,4700.59445495794,3791.7099413027727,4684.447225978136,3202.3705862800175,1.0000592628251421
1|subject_offset[9],-0.5491255550858545,0.6225610393166774,-1.7272877075659108,0.5683933216951792,0.008999769433852042,0.007602951884299498,4785.2111970309625,3353.0880547122424,4797.384818764057,3311.177496490396,0.9999121740626224
1|subject_offset[10],-0.003958702458928339,0.6075963875224706,-1.1417699120911722,1.1208386702408701,0.009026498351834422,0.00920156326989266,4530.975895880895,2180.686975775633,4538.6783138004885,3425.2318421180353,1.00002034558626
1|subject_offset[11],-1.4455878147273493,0.5776317726588283,-2.4814522854612644,-0.3203694796033054,0.009348388666204042,0.006610814067224679,3817.9358482494154,3817.9358482494154,3816.308779311647,3258.7139227520433,1.0001502595280543
