,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.0027890201172121286,0.09477051981465766,-0.17262797719331474,0.1890736598571474,0.003252796105328386,0.0029842272697106226,848.8536938453722,504.84133670075084,983.5231979101586,390.2591219000476,0.9998561103264002
best_chosen[0],-0.15918062567128538,0.1126330620458282,-0.3645387016143823,0.07104112837015475,0.005481004878411761,0.004421410384248387,422.29059072630514,325.0576121061308,544.5706719901009,325.5830972789008,1.006864453005096
1|setsize_offset[0],0.00022417322204477125,0.8781282856954882,-1.7407899910153461,1.6061625521493612,0.019959367351104925,0.015036022634119697,1935.6302042216412,1705.9587609985,1914.1391083700516,2144.199237741046,1.0017786043716164
1|setsize_offset[1],-0.00017172275966527436,0.8722656682979996,-1.6290445577455248,1.7151585626346328,0.019696174542012397,0.015753506584053983,1961.2537646653652,1533.480747789278,1974.508929313569,1524.8968628587186,1.0013920231977176
1|setsize_offset[2],-7.429298172990265e-05,0.8680778291728247,-1.5914036483801397,1.6669224223586934,0.01674940198523539,0.0145487146628942,2686.0786030992413,1780.6574493688447,2654.6184717120677,2594.1366793364255,0.9997755055025973
1|setsize_offset[3],0.013475249742698616,0.8860843968198013,-1.7635289210756888,1.585386076666381,0.018339668677090755,0.015264810816447809,2334.3566371149595,1685.3405886985179,2284.892823558197,2151.258477508302,1.000747551310862
best_chosen|setsize_offset[0],0.2838720674856158,0.856303691800086,-1.392445385563775,1.8625799692531062,0.018206188701619306,0.014693588369002775,2212.16518597601,1698.709303645881,2184.3203525048443,2099.9918311088977,1.0003358734587648
best_chosen|setsize_offset[1],-0.27767301859605203,0.839671123180685,-1.7617052115498106,1.38877219260472,0.018308953774623722,0.014913937988924257,2103.2523322650227,1585.490320001618,2062.920217460759,2268.202191695957,1.0016421965258357
best_chosen|setsize_offset[2],-0.11804501336873004,0.8254406975594957,-1.8013099090922409,1.3668588792195833,0.018505942895527816,0.013301609664739995,1989.524628347282,1926.0382962390486,1926.4773249847885,2316.317973178205,1.0016997254901239
best_chosen|setsize_offset[3],0.08418601967445359,0.852753670861629,-1.4072162575465943,1.9036094797738528,0.01882117491983028,0.01423246574351171,2052.8335330179843,1795.5521571460251,2012.0511192799152,2190.5211934769445,1.0009780548501992
1|setsize_sd,0.10204168441636036,0.09414659523771829,0.00011281164412458749,0.28492209951502945,0.003504009080067627,0.0025479534415498648,721.902908243908,683.2305094627162,742.4277610063331,791.4464165772956,1.0002382681427842
1|setsize[0],-0.0029438490777890045,0.09354145397916849,-0.20537039357565112,0.17298234116839029,0.003442054751395454,0.002717224321582132,738.5377244337692,593.136458653513,1002.6416776634749,467.89052047016196,1.000402763426251
1|setsize[1],-0.0027033127381907124,0.09513358867476603,-0.2050515737951092,0.17708400968153792,0.0030921072639590354,0.002516885743206839,946.5829059729721,714.932910280965,1292.6773609992008,792.4364507187826,1.0005246948242354
1|setsize[2],-0.0011927108295565875,0.0953896701002993,-0.1889902448861648,0.1887453556398203,0.00316022204506553,0.0026091515162382822,911.103042723,668.8874435464177,1193.532017911669,944.1184122325184,1.0005519541958328
1|setsize[3],-0.0014111705488558035,0.09387467098412795,-0.18588034593561995,0.19076109076884418,0.0030030373532120066,0.002599414607223157,977.1818398858321,652.6857135118954,1276.3747093554293,1288.270950207886,1.0002959003552583
best_chosen|setsize_sd,0.14201289357723648,0.1505480113648656,4.674103129834954e-05,0.3961953021524243,0.011142174156964823,0.00931899028084446,182.56190611873564,131.0751323069559,415.9902984516064,175.77812889710538,1.008005747878956
best_chosen|setsize[0],0.04312497938066821,0.12024335416285066,-0.18062829000708866,0.2870880063642013,0.00478394071016668,0.004035076619263357,631.7577633400786,444.58916483838215,833.7195025963083,634.489456820866,1.004750735281826
best_chosen|setsize[1],-0.03928250403627585,0.12129348361619686,-0.30763892462374415,0.16540816702524053,0.005424589325723689,0.004268945747229666,499.96684894274193,404.23222529742515,667.3304709658871,421.66789322922153,1.0095849300120014
best_chosen|setsize[2],-0.016223575585212705,0.118385879009667,-0.28529240972563097,0.21634199992284567,0.005653780244203323,0.00470759189119572,438.451901914341,316.7909662616013,624.0358730278028,375.2339128909187,1.00454780416396
best_chosen|setsize[3],0.017185447810171124,0.11583860905851216,-0.21394132088259057,0.2694024081039797,0.005440906382846984,0.0047910774398425586,453.2774993556058,292.87098485376634,603.200748360765,359.16524514192525,1.0035964473808296
frac_items_seen_sd,0.9626843451255982,0.02867890685287028,0.9119477876341635,1.0024618262247402,0.000918609875494801,0.0006530253379144633,974.6820473165808,964.9343489859747,748.0791920812352,538.4348644525932,0.9999698663729548
