,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.9229128610072019,0.02055180865988984,0.8842237417998551,0.9606130346419218,0.0013831401524778465,0.000979511387083973,220.78406124547567,220.69924260128397,221.45592417653398,391.63005860046854,1.0089790604144055
setsize[0],-0.015235792104469518,0.0003914156262900853,-0.015952514326691696,-0.014489434888255208,1.079671283817885e-05,7.636123725342318e-06,1314.2960979762388,1314.2960979762388,1319.1217424353147,1944.1844935912432,1.0024282331652992
1|subject_offset[0],0.6387560253367859,0.2487619837470638,0.18535266123249108,1.1124206029166848,0.01045955306639631,0.007399837926376785,565.642154165026,565.642154165026,568.9664808547443,1684.6600759272608,1.0065203540442413
1|subject_offset[1],0.6125340086694305,0.24883961371990812,0.1690764643199988,1.0904925094654,0.010529982109502312,0.0074497140207630255,558.4493250434848,558.4493250434848,557.0260605539562,1541.594384975519,1.0070465448123933
1|subject_offset[2],-1.2126013561669446,0.27788399962764154,-1.7327148779264252,-0.6971571875338272,0.012019134102326818,0.00850345283438447,534.5406293328308,534.5406293328308,537.5824770352143,1278.768449469304,1.0004099516079128
1|subject_offset[3],0.5607297158612057,0.25415049524438454,0.08374974827811069,1.035543038400696,0.010541638895439123,0.00752361093648771,581.2535922746106,571.1406948384362,585.4292164340296,1432.7189346217333,1.0060221668106624
1|subject_offset[4],1.1598137844693286,0.268734444050567,0.6792893305875821,1.6859071726026253,0.011532871825465767,0.008159356528284561,542.9648774363651,542.9648774363651,543.4987331431435,1512.6270271604697,1.0070678465453262
1|subject_offset[5],-2.061338078254272,0.33376151885474664,-2.662176672378982,-1.423858678383371,0.01578230896353235,0.011167063770625507,447.23053116871256,447.23053116871256,445.7506987554897,1038.7962947387664,1.0039207262474634
1|subject_offset[6],-0.22398406796011391,0.24781133774654499,-0.7098634757293705,0.21526357259199655,0.009800079055234024,0.006932865769560641,639.4155388222935,639.4155388222935,639.5534436191905,1592.2068053477972,1.001683575647693
1|subject_offset[7],0.3478373777878829,0.24933286538850213,-0.13366017564378885,0.8069650028658832,0.010444203084249532,0.007388949662076162,569.9128381543691,569.9128381543691,571.3213873233929,1138.9347296324302,1.0044514066415826
1|subject_offset[8],-0.7016437290371919,0.2569127545310244,-1.1920776271381641,-0.21525983620304331,0.010918608312094484,0.007724692897367307,553.6518529669861,553.6518529669861,552.3578776824534,1512.4747000953976,1.0015787075711862
1|subject_offset[9],-0.005724507229947662,0.25186634093545357,-0.4777559636410158,0.46204522288354233,0.00950942726525374,0.006726978213000117,701.5062484971155,701.5062484971155,702.5465408124695,1527.2282749261442,1.0013974670233765
1|subject_offset[10],-0.8601026160736694,0.2674863709050241,-1.3602451817080445,-0.36917318775078745,0.011045774083750773,0.007814429749184422,586.4230118515094,586.4230118515094,584.4097385665207,1310.3301374203734,1.0003123711791049
1|subject_offset[11],-1.0332211004159,0.2741315603047584,-1.55118799842449,-0.5162317454096863,0.01180886910450364,0.008354654972577482,538.8916553156321,538.8916553156321,540.7391657348968,1525.5984197190785,1.0014631659894195
1|subject_offset[12],0.6593414546936774,0.258931057064149,0.1781945257888712,1.1542851973584152,0.010686326490733167,0.007560131061709535,587.0990953862881,587.0990953862881,584.6770383624447,1579.2772181544024,1.005086390239468
1|subject_offset[13],-0.741458986201547,0.25360432398481786,-1.2286889594928665,-0.2820733047469574,0.009732474508796085,0.006884857051444693,678.995284682123,678.995284682123,678.5661986502256,1490.9556706895125,1.0027281320616936
1|subject_offset[14],0.18074958761412846,0.24858761023522352,-0.28163856955040667,0.6485301766688563,0.010251693496681384,0.007252640867104985,587.987010761205,587.987010761205,588.0706831285464,1092.5419449801243,1.0046773916683016
1|subject_offset[15],-1.3989569997185034,0.2884020118538328,-1.9258990386720813,-0.8337688979713045,0.011789868508088587,0.008340762867239341,598.382175506776,598.382175506776,597.2352538061352,1331.6504900568466,1.000142230476564
1|subject_offset[16],0.17453573419244534,0.24338547641473088,-0.27266603915734405,0.6306529017127503,0.009673112621099496,0.006843077243975695,633.0774283816222,633.0774283816222,632.0695007850496,1408.7427205243434,1.0026435748223217
