,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],273.96437648075795,5.958590091896301,262.3613651846204,284.26555589088866,0.2505832506829254,0.17739636150925137,565.4353321738351,564.6983438290334,566.1208295389399,1089.9518749136012,1.0043684540026516
is_last[0],88.05910327412586,20.581919602219013,50.143349544227014,126.0530294978811,1.0870455101744365,0.7692834991052478,358.4893858468066,358.4893858468066,361.0284318559246,718.5023220386091,1.0140618308240454
setsize[0],-1.1472357280638308,0.14732276987994386,-1.4197331368906014,-0.8749859249427276,0.0037290494616726367,0.0026628282509045934,1560.786369188832,1531.048502192715,1549.489179198682,2285.768041643689,0.9999359856806878
1|subject_offset[0],-0.5481870848513127,0.3398765394591466,-1.1726268858822184,0.11046187064820234,0.007056364153519939,0.004990230373875844,2319.95951016698,2319.95951016698,2328.1873740288956,2569.0537142229846,1.0008460803903947
1|subject_offset[1],-0.8488184059353046,0.3318684394598883,-1.4865705861805576,-0.25778386792957714,0.007338895251810072,0.005190122949658808,2044.892717249462,2044.892717249462,2042.372876086299,1926.4407929814734,1.0012599961652024
1|subject_offset[2],-0.4427027099437064,0.3893022091734929,-1.136257698331864,0.3210074012962603,0.007296344435980558,0.005716759430105297,2846.840146334629,2319.2798527810273,2847.5276801082305,2427.9930691304126,1.0002563790698438
1|subject_offset[3],-1.1824267682535772,0.3669369084461824,-1.8688309214449796,-0.5039862174663863,0.007583860882076812,0.005423812792096344,2341.0035899888985,2289.0438323218746,2348.642057677334,2166.7716063378466,1.000149327362449
1|subject_offset[4],1.0656745842563364,0.31048700219380926,0.47963406760910465,1.641879777164883,0.007758919412882462,0.00558338981363852,1601.343001445661,1546.7665651767813,1603.459553107348,2386.350654406444,1.0013664627069139
1|subject_offset[5],-0.6193994497086646,0.4540576879041523,-1.4446092139483806,0.2573809519250185,0.0072349080826299705,0.005611659429869043,3938.7283672001818,3274.0615923794235,3934.372147125702,3215.2170573382796,0.9999609245983495
1|subject_offset[6],-0.47463799324434663,0.3636664322151731,-1.1537579941763967,0.20405448580409283,0.0070796055447850505,0.0055789108844158265,2638.6896300775797,2125.1853585554964,2655.7145412797854,2254.8738866769972,1.0014990183125907
1|subject_offset[7],-0.19742948795142992,0.32846201751712256,-0.8085752264602941,0.41011112969503416,0.00773294072991679,0.005468899039078303,1804.1845077604587,1804.1845077604587,1808.878333388956,2538.803561944315,1.001885344266908
1|subject_offset[8],-0.41614344676873405,0.2615142747225566,-0.8795306558772745,0.08994425071407586,0.007007603492214295,0.004956162061719854,1392.6813466037722,1392.6813466037722,1395.0185902941803,2161.2213245202347,0.9999617248678203
1|subject_offset[9],-0.5198692424458712,0.36825635679856544,-1.1984689405761884,0.17141213149016715,0.007226412082431447,0.005488736417545032,2596.898992727231,2251.325572377061,2592.3050978964793,2859.0291210634327,1.00130305057596
