,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],249.8627553882418,4.7786463452426515,240.54781980578898,258.80835716121595,0.29443463046118956,0.20877547090493276,263.40984542983836,262.5349370893991,267.17201354702513,346.81346116796834,1.009488833146732
value[0],10.68405542744299,1.4199808815972592,8.0696227775938,13.393357213458819,0.07002397081615085,0.04954958651260134,411.2174402742735,411.2174402742735,411.41775613169324,811.0268894837892,1.0050716390317123
1|subject_offset[0],-0.8477628588501614,0.191548119890979,-1.2098488551687123,-0.48790240515194233,0.009119961765182951,0.006453055401502707,441.1332078232505,441.1332078232505,441.09148905539286,778.7613389017519,1.0063410611916546
1|subject_offset[1],-0.9761647765255903,0.28134979104651575,-1.4942804495859612,-0.4482903151601137,0.010905135860784707,0.0077144769148588185,665.627157420914,665.627157420914,662.9730514979659,1373.3624398972206,1.0040229910055423
1|subject_offset[2],-0.5171484060374603,0.20239217842177865,-0.9083820374556139,-0.15590372500817926,0.00881243887390287,0.006234784199163663,527.4669035895988,527.4669035895988,528.2910650664684,1222.2906506521863,1.0051647094699012
1|subject_offset[3],-1.299731544886925,0.2184197303866496,-1.7453173533409225,-0.9118666351904153,0.010120398643452069,0.007160688358610562,465.7882125532588,465.7882125532588,465.84904041520025,858.8585460712475,1.0067974699650633
1|subject_offset[4],0.294976325552934,0.17950870691405266,-0.05639282950674697,0.6233707188227898,0.00946495125556562,0.006698165678886134,359.6948946017239,359.6948946017239,361.4906949386762,650.8178789501236,1.0061761985349558
1|subject_offset[5],-0.3647723434124188,0.23023077677369977,-0.818199144774123,0.05704025216108005,0.008536353438663854,0.006038535319316696,727.4145453533423,727.4145453533423,733.6552155088403,1303.1231833321397,1.006511955024604
1|subject_offset[6],-0.22834228054275152,0.18741013235435153,-0.5904399942903341,0.11129551186294954,0.008980577512318504,0.00635448514869431,435.48941491882994,435.48941491882994,435.2263509315137,678.6114287213204,1.0065164474098112
1|subject_offset[7],0.018752251230571018,0.197615787907034,-0.3331250596764779,0.41013149866407317,0.009115467975055472,0.006449613504544992,469.98645016143604,469.98645016143604,469.59856071987736,755.7101952391652,1.00455659715976
1|subject_offset[8],-0.05045462917525124,0.18362808478179668,-0.40483019395060094,0.2836371860149036,0.008887068493307185,0.006288404483206971,426.93440522813205,426.93440522813205,430.2486868630575,804.4406552680177,1.0053771859115799
1|subject_offset[9],-0.8735597118312595,0.21445917081188381,-1.2614128804619373,-0.45884289429149683,0.008927162941063514,0.006315650439669313,577.1149457954122,577.1149457954122,575.3648992482747,985.5609758398301,1.0072458069082768
1|subject_offset[10],0.27577282148078325,0.20057342907607525,-0.11150021585795504,0.6362896923929316,0.008897617700610809,0.0062951805045028805,508.15864156720556,508.15864156720556,509.28508202877754,1265.5883766827417,1.0038900407266182
