,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],54.54954788279212,7.942902809990333,38.56399562240781,68.32580324142526,0.4913123060306454,0.3477986936819603,261.36246213992433,261.36246213992433,270.00085871283466,285.3146732931816,1.003803611632679
best_chosen[0],-0.355605022943835,0.10107894786558332,-0.5533661513638031,-0.18892159997588254,0.006650200105728034,0.004908408230342196,231.02128669527738,212.61972926699022,233.08401516256401,140.02864345411567,1.0108546057346879
1|setsize_offset[0],-0.31116238641109883,0.9308995723414335,-2.141739413459863,1.3628675255096696,0.03637793241944242,0.025734548647548594,654.8316137031887,654.8316137031887,652.3184445719198,609.4757437785148,1.003006926058659
1|setsize_offset[1],0.1879945912529706,0.8331026776317879,-1.4815092773924108,1.7218648865047308,0.029202174632249948,0.020656460035638743,813.8918002574379,813.8918002574379,747.821547577195,1817.292281181142,1.005170888672969
1|setsize_offset[2],-0.046015823306948,0.8429725859742732,-1.6238385372268125,1.5694092898309047,0.03361864975056705,0.023783011657561238,628.7331649131038,628.7331649131038,617.7994392517769,825.0572803625353,1.0041662167174357
1|setsize_offset[3],0.13281092952166437,0.8458298240564194,-1.4660620010792493,1.7470891366125587,0.036055358447612575,0.02550851253622713,550.33401149825,550.33401149825,570.5937725198078,511.9881158783916,1.0062596856370876
best_chosen|setsize_offset[0],-0.6680840713829406,0.8044133805895785,-2.2020963780664906,0.8070101985504095,0.03198770119142239,0.022629160507597543,632.4009463064979,632.4009463064979,614.1916353720063,1495.8401834873478,1.0032802264904785
best_chosen|setsize_offset[1],0.24694115509284711,0.774524300599355,-1.1794657469686058,1.7233060832726281,0.025691936694269293,0.018507265043959643,908.8169326800262,876.2839012343833,887.8361869832747,1418.662803071149,1.0025579812480572
best_chosen|setsize_offset[2],0.04565662368944338,0.7183268665879705,-1.3607695010285399,1.37106677624017,0.029323720759781083,0.02074508839747334,600.0757404499926,600.0757404499926,593.3780739516391,944.0179570834126,1.0043406625345535
best_chosen|setsize_offset[3],0.3991683302138993,0.7583609442719507,-1.1789953607812516,1.7738168127270098,0.022778783362785403,0.017282424990988525,1108.3855845236658,963.3312260137646,1077.0991793451637,853.4998102952366,1.0020723187512184
1|setsize_sd,5.5968305420233735,4.583505347264521,0.05761643829540546,14.09714020098391,0.2711079253054826,0.19189820863987975,285.8321379174034,285.8321379174034,357.8550905610396,635.02059921005,1.0017529015927
1|setsize[0],-1.3478510728839581,4.78404964261213,-10.71219388749694,8.01679897045074,0.2617544844964508,0.19864162920280892,334.04355212256087,290.59869448538785,467.3785335955707,144.07013173515125,1.0118581613940723
1|setsize[1],1.0851548125488413,4.225378897984374,-6.5168621888885525,9.878549105893175,0.19993318179036718,0.14146653135452028,446.6440604999526,446.6440604999526,456.2947720470214,344.679858148289,1.0051161121581476
1|setsize[2],-0.44605427585740576,4.570864128364952,-9.66851449295226,8.671340444103599,0.39176984818757726,0.369475212462288,136.12397012574388,77.1074961022217,233.64327486398216,87.44642244204317,1.0104835515953368
1|setsize[3],0.7284331661270604,4.643218424769771,-8.902795014388522,8.924643752665903,0.26398040982989973,0.23720245187326156,309.3818489801072,192.17221197784943,388.35693960400994,352.68285429675416,1.0064836669730868
best_chosen|setsize_sd,0.09204979087185337,0.08330295682036717,5.3113485925041115e-05,0.27684679521018285,0.007818893276404087,0.006313755823397204,113.50899099522712,87.62300889982028,209.34703999753754,96.67545349157585,1.0068140842301718
best_chosen|setsize[0],-0.04965000489531562,0.06712101228133237,-0.19585790511334977,0.06266873944729998,0.0047897400804622035,0.0033919007237465447,196.37812176793963,196.37812176793963,223.95841774949653,163.6895528870173,1.006824506642145
best_chosen|setsize[1],0.02206944474554388,0.06061661849468236,-0.09078481205409172,0.1506927778475397,0.004574648443794848,0.004065945591641218,175.57713646396158,111.71338349368516,267.79753873580376,111.46199436476026,1.0074251087555854
best_chosen|setsize[2],0.008391519117088395,0.06745671866528773,-0.10884763544654945,0.1514315843868266,0.006813957326281284,0.005925822535178429,98.0057608756215,65.37613142092255,173.99597538502866,78.50597475057737,1.0115146870319869
best_chosen|setsize[3],0.03456168640586614,0.06100712711124845,-0.06076604996676916,0.17806674040530157,0.0034938292616125376,0.0032995934419317273,304.90025848800275,171.51038639310966,405.52138027444016,159.61346589893563,1.0122325044823612
gaze_influence_sd,13.948874790668976,0.5856703357304512,12.879148297695632,14.93646137467327,0.02043010743790868,0.014451397777516369,821.7981400928428,821.7981400928428,862.1923781588858,592.4789657165506,1.0043365737298062
