,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],6.962835332957317,3.1679252538055254,0.5135456549884211,12.59048590113652,0.16669416082261934,0.13020269626664555,361.1678450038735,296.5754012366287,408.93936128065036,322.47821903487693,1.020576930631854
last_gaze_to_choice[0],0.3947951536341212,0.051848742118535754,0.27355853252803397,0.47606059368143505,0.008609355378793664,0.006137371877572421,36.26896639121198,36.26896639121198,48.15863975700974,23.688835077690396,1.048423869692341
1|setsize_offset[0],-0.7182883292295656,0.7848642864574603,-2.025250982136621,0.8341764991654995,0.08760752640501474,0.06217439681633069,80.26132025674792,80.26132025674792,82.32568017050716,58.33159889613234,1.0326040850971172
1|setsize_offset[1],0.5679542962460276,0.7234823362112892,-0.8480824138210211,1.8160121346487008,0.04195555614237094,0.029696206417109346,297.35613285734644,297.35613285734644,294.47479421469455,396.57235804325194,1.0031397342422548
1|setsize_offset[2],-0.2199500488045802,0.7176938366536733,-1.5186576029312642,1.0922681905699956,0.05424267490902395,0.038419447630595405,175.0637540358505,175.0637540358505,172.46458368980214,296.58391840808355,1.015621685409863
1|setsize_offset[3],0.28764761366647407,0.7302316254444562,-0.9422745124815851,1.7579637118166669,0.052946459313342145,0.03749635742322417,190.21616866453635,190.21616866453635,165.07571045089446,591.6527850712082,1.0128797225650061
last_gaze_to_choice|setsize_offset[0],-0.3972478817984269,0.8153809152266513,-1.958473895515238,1.0817936056040618,0.04256167373438983,0.030119597564337717,367.01489312211106,367.01489312211106,354.70342198394076,1874.031050592671,1.0030333683974335
last_gaze_to_choice|setsize_offset[1],0.23807929489222115,0.8290307357710659,-1.5047833933242367,1.5775368328617456,0.06042631033438788,0.04279423691981182,188.23011626681512,188.23011626681512,175.66877940746357,1473.3840286126015,1.0154481460485814
last_gaze_to_choice|setsize_offset[2],0.10348069262766796,0.8238718571180494,-1.4479265414289006,1.617403532041724,0.07141535710194591,0.050609367792545976,133.0871458839189,133.0871458839189,126.56615000637396,1320.144742432377,1.0241005852333618
last_gaze_to_choice|setsize_offset[3],0.5447968771409671,0.852328436230675,-1.0224827236370477,2.2009638220184975,0.061045546406036995,0.04323046822879446,194.94225495152932,194.94225495152932,186.81113177990468,786.2307206238991,1.013129256689899
1|setsize_sd,4.425247056064633,3.4078151764956726,0.10182694773598423,10.28280679400048,0.2507136277255184,0.17756192984457211,184.7549927259358,184.7549927259358,129.34537613487277,120.49195702956511,1.0233286979502534
1|setsize[0],-3.156333880114658,3.6443406927908617,-9.952409654704637,2.1833284788720517,0.2749267362104771,0.1947261648523528,175.7130381970635,175.7130381970635,104.89298663964433,234.81248191253056,1.035890621697801
1|setsize[1],1.908847395887419,3.1410822241541307,-3.455017812264352,8.338956554130029,0.16254432409028666,0.14884293932483025,373.43497662147814,223.25883681637941,365.46533487759996,573.3880141192114,1.0120584522694416
1|setsize[2],-0.8267823211372138,3.054443189893435,-6.528281953584385,4.9597627175713495,0.14852856763670033,0.14174844342851517,422.9062644260728,232.7488907752513,452.2603452338945,557.6315592879984,1.0192782729001142
1|setsize[3],1.028675598494719,3.1476322463491937,-4.634820326660196,7.044460048259481,0.16105948672129322,0.14423678658172778,381.9401816224518,238.69801031824727,271.13554570047125,570.0960275638105,1.0074449066622104
last_gaze_to_choice|setsize_sd,0.06251317011400521,0.04721459296327405,2.638644884567744e-06,0.14463836205402072,0.005144106184715302,0.0037577527797862656,84.2427723304798,79.51813352136496,162.3827934942682,247.18952575212654,1.0377394164516165
last_gaze_to_choice|setsize[0],-0.025091280370472407,0.04884100440000669,-0.1307011838753659,0.0544934414924678,0.0032355364734514254,0.0022908046606799465,227.86444931081596,227.86444931081596,215.05380322425006,198.4896807599532,1.0037715115199417
last_gaze_to_choice|setsize[1],0.02124507381627559,0.05353501769730008,-0.06034536563160144,0.14758685775752076,0.008647939832446917,0.007882939413908658,38.32221317539731,23.64537961467019,54.20107579809212,35.756568894363966,1.0533100507713082
last_gaze_to_choice|setsize[2],0.012289853375179665,0.05407870133775472,-0.07518434182963299,0.14350948161283966,0.009543698143703571,0.0075950618486041194,32.10843353486358,25.933645757061768,51.522035935665954,35.848574318245575,1.0524857887411823
last_gaze_to_choice|setsize[3],0.04097952073574023,0.06096152796799367,-0.04117530709028511,0.1898083171924278,0.01118883197856812,0.009540415323267477,29.685350655773938,20.9999251734592,50.928372158742974,24.634345618305616,1.046204842578812
gaze_influence_sd,10.8694580701847,0.5545696699867055,9.893856743122969,11.937561227695126,0.014210330359464125,0.010187662952493431,1523.0139414033763,1482.1906092441693,1595.3160375491968,1273.3502391190307,1.000904725122054
