,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-3.006180684283804,1.4841180458257008,-5.791043570004608,-0.2249853029487845,0.053583240388167516,0.03790348726024376,767.147624470963,767.147624470963,878.3226185886331,511.41975364001576,1.0022779436318319
obs_gaze_influence[0],0.8618054273887767,0.049219861290907094,0.762834600957564,0.9572920092108013,0.0028873438458569514,0.0020437131355726212,290.5920703416614,290.5920703416614,344.21031244413916,132.64826824481443,1.0073018485223058
1|setsize_offset[0],0.26008548510762863,0.80881681890166,-1.3471518921105219,1.7599122993945329,0.024983575361969265,0.01823762628244394,1048.0721184958902,983.9913468326786,1048.8124532919653,1258.5302470650429,1.0009281845182108
1|setsize_offset[1],-0.13004708243176216,0.8346302467821679,-1.7745470399419658,1.3805031581124416,0.029971959871230688,0.021201352480775287,775.4574163218975,775.4574163218975,777.6914946075399,792.2289990992905,1.0067488705744367
1|setsize_offset[2],0.10346352004886633,0.8444746935613661,-1.631399029651431,1.6108311957080164,0.025199385727205148,0.021499923322803392,1123.0352042083598,771.965308785321,1100.0494626625227,627.0942385141326,1.0029345048261886
1|setsize_offset[3],-0.42557049499361377,0.8536803623153302,-1.9259396740945058,1.2300449043547743,0.03686953963077444,0.02608489818758424,536.1115363758115,536.1115363758115,528.642783031687,1169.2484624477738,1.002763546846504
obs_gaze_influence|setsize_offset[0],0.18594105407056735,0.8662914796508837,-1.6684900684641066,1.6610380710650665,0.020708137563958246,0.015858178292374247,1750.03205330651,1492.6612558101067,1739.41349049924,1607.3448146439403,1.0003800865781403
obs_gaze_influence|setsize_offset[1],-0.16306743901304993,0.8478200044900565,-1.8577044574863462,1.3539614431925442,0.02055178368685037,0.015512356093002323,1701.7990575733763,1494.1403244481867,1610.8345355056224,1470.112004574915,1.0027288260898595
obs_gaze_influence|setsize_offset[2],0.3535740260790235,0.8475519568281298,-1.2369308939696655,1.994385597120802,0.01600029486387944,0.013333223584250315,2805.9290762928954,2020.9600085723166,2666.472691148006,2770.6445876034077,0.99986160554376
obs_gaze_influence|setsize_offset[3],-0.20630756866453717,0.8317222489387314,-1.7041747772630793,1.4969016341291874,0.020121886287060766,0.014230751915399797,1708.5168158874483,1708.5168158874483,1669.415546063688,1731.5260073364861,1.0014619656232142
1|setsize_sd,1.7038753228061156,1.6221729068317037,0.003746187171610521,4.362884379722876,0.10107959102767963,0.07155516170129286,257.55342827517995,257.55342827517995,207.20585300287874,274.52320483234064,1.0026768664273358
1|setsize[0],0.370398067751205,1.3706776083724417,-2.221660948895991,2.950878395499878,0.05336774224077973,0.04670352128116295,659.6491028536068,431.25020902509004,744.1736793322823,600.8784828560035,1.0039389651406971
1|setsize[1],-0.24672163967084962,1.4383464023957335,-3.3665020969272534,2.3011696118984672,0.07645721223211573,0.054108031303527745,353.9077435991101,353.9077435991101,339.5245304262185,478.93600941188015,1.0147156349354423
1|setsize[2],0.11109107401518305,1.3732474921001159,-2.511439037641302,2.7045380144598785,0.054749798466970506,0.04363945054556646,629.1186782063227,495.70182572619495,711.8117834674649,502.5226982615406,1.006715238193398
1|setsize[3],-0.7731480721454532,1.5172421430991607,-4.0134738051099506,1.542128538425607,0.09163107621177229,0.06486200773963624,274.17270675431087,274.17270675431087,291.2969045754658,471.16364604672924,1.002978462081739
obs_gaze_influence|setsize_sd,0.05698543903644385,0.05604165646914336,1.9754279680631716e-05,0.17271721134239276,0.005284155637444294,0.004459351004736529,112.47881334058556,79.5513140419694,226.61089228341513,82.66465857940965,1.002011205272091
obs_gaze_influence|setsize[0],0.009067007987191188,0.049238686449768594,-0.08672871985564024,0.11139413754630846,0.003465444663542462,0.002620324127188208,201.88078301417806,177.13563099521022,266.30910170684047,345.0190236482672,1.0074332893442797
obs_gaze_influence|setsize[1],-0.009309186252378832,0.05000048245458076,-0.1431125089235521,0.06662324563434424,0.00443697330532347,0.003144648075535698,126.99153071461284,126.99153071461284,192.74402492979806,105.25541682654115,1.013200555217696
obs_gaze_influence|setsize[2],0.020887764748621602,0.04681350204416152,-0.06270721049808735,0.1224355187898822,0.0030495421559381367,0.0024080294044018995,235.65300375643912,189.55170354496354,319.5819584778994,158.54561158823248,1.004314966481985
obs_gaze_influence|setsize[3],-0.00955972769662602,0.04264300606032531,-0.09776613614950008,0.06813006293593346,0.0022299742660029263,0.0018466639858855352,365.67554857885193,267.20171103066326,481.33287510305064,401.62011466920137,1.0046507070443078
pred_gaze_influence_sd,7.395526951647186,0.37157721119996573,6.735169269563618,8.100168834213783,0.00948899041590505,0.006711006126922376,1533.4094162396204,1533.4094162396204,1508.801321237901,1300.4209484995567,1.0017259085158596
