,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],2.637723043242532,0.9734041624773879,1.127253303704826,4.6870375928040815,0.06449277613717162,0.04566179439889977,227.80552578995693,227.80552578995693,219.24005520196258,208.1772551317159,1.0150126092081302
obs_gaze_influence[0],0.18557913314905744,0.05433505172600197,0.04435435768651119,0.2695415763026489,0.006543149852123171,0.004767530387657153,68.95828250797733,65.52849578945778,91.61919291502808,45.991897058963666,1.024803884601754
1|setsize_offset[0],-0.41648020924944656,0.8287696400262143,-1.8886837632829485,1.2862272428602608,0.023977515925971395,0.016958805032968018,1194.701174045662,1194.701174045662,1206.4762594444956,1218.3818046417484,1.0084209711882475
1|setsize_offset[1],-0.13455453601191988,0.7958129239546672,-1.514338790398868,1.4897378495919604,0.02544038529812271,0.018497604816799452,978.5310403198309,926.0504743552489,976.2335280086273,1197.016728839295,1.0001825176734733
1|setsize_offset[2],0.12217322970178188,0.8506905145072718,-1.3708238864939357,1.9258272247695098,0.0391522922919463,0.029503800888297026,472.0943383102257,416.2616161036774,480.53970981212325,289.7183920692476,1.004695406418907
1|setsize_offset[3],0.2794919630387931,0.8340509881868358,-1.2037763271990152,1.9669612603776914,0.02454996393229341,0.01874631132878791,1154.2064200932325,990.3289149969124,1122.102195321517,836.5549860134686,1.0061380216889266
obs_gaze_influence|setsize_offset[0],-0.9314116108494187,0.7676124933032232,-2.2948159354494657,0.6519070083476021,0.04598708112997259,0.032551878216530834,278.6200582966629,278.6200582966629,282.2240960814157,97.3938054846884,1.0083595669340564
obs_gaze_influence|setsize_offset[1],0.17477649396100842,0.6639974215732517,-1.0650174757534643,1.334249523946898,0.040638137915724765,0.028766955020916342,266.97167487357,266.97167487357,267.73623550369456,726.878378990456,1.0141203293894496
obs_gaze_influence|setsize_offset[2],0.29092784121827225,0.6319095884054077,-0.8283995232476553,1.5255935541852996,0.032052442385308626,0.022681528834961134,388.6759190167724,388.6759190167724,368.23210205031353,2114.1646491306547,1.0117143562788582
obs_gaze_influence|setsize_offset[3],0.5188512813287764,0.6463719724471477,-0.5784096348254192,1.7340860394853927,0.03391965635906625,0.024004110087314828,363.1300133807374,363.1300133807374,338.6163702060543,920.0528077554683,1.010225088891938
1|setsize_sd,1.2052571541580566,1.1305066149774863,0.000236892099765629,3.6829270940611045,0.09712040613074922,0.06882287055415763,135.49561362982433,135.49561362982433,156.9956179797567,197.11102115225117,1.0228242460271322
1|setsize[0],-0.5916015958861957,1.0506479244349853,-2.7316388692153986,1.0566655484314738,0.04827553894631759,0.0341570033338502,473.6528468645225,473.6528468645225,447.2580185364162,976.4178242943393,1.0088934478218705
1|setsize[1],-0.19334723853567892,0.9516257756047434,-2.3032080603521896,1.4369153006690731,0.05320049709747134,0.037652777127164326,319.9639230064291,319.9639230064291,360.52992859291743,194.84916725085273,1.014761469676502
1|setsize[2],0.10884280894921615,0.964438203306668,-1.9610252053971895,1.8423767287107349,0.059060363148339894,0.04180774705940574,266.6592078222171,266.6592078222171,253.9579035241636,178.61558409665136,1.011925734138923
1|setsize[3],0.2631164287117127,0.9319813768598434,-1.414901933958462,2.2169192168840186,0.04063761208938206,0.028751080780672435,525.9665288511972,525.9665288511972,394.28026139712955,788.8999665905684,1.0114021975987373
obs_gaze_influence|setsize_sd,0.0845163883361213,0.0580982343616294,0.0011267514839589609,0.20562431005989923,0.006628942922886418,0.005043850181922246,76.81345664121356,66.92325292793105,119.79949328580963,92.37251670434891,1.0178212462626413
obs_gaze_influence|setsize[0],-0.06575453127133575,0.062428399957358334,-0.21611492363069296,0.031958920279225804,0.006905082071784147,0.005239727630486809,81.738510326729,71.56071590095186,97.70323044230095,60.56070894720947,1.0386448774081158
obs_gaze_influence|setsize[1],0.010691482042608344,0.05910360874188519,-0.09132696750565424,0.15162140889146894,0.007435448133398926,0.006133210115618402,63.18495791616526,47.01660705580116,91.72569910661123,46.27426281837821,1.0318374996744786
obs_gaze_influence|setsize[2],0.020334705189994307,0.05272245617476305,-0.08833422951061362,0.12324080374771924,0.005912459433539273,0.004520601421612241,79.51607249703892,68.59322722670044,99.73858509694391,56.63399964878949,1.0221424615320138
obs_gaze_influence|setsize[3],0.03384459282812784,0.050817070274891456,-0.06847143564405425,0.1439327933800528,0.005445988813423155,0.003979639767109126,87.06944111572821,82.11080887117377,104.1758343735052,54.3681978109939,1.0227651572257879
pred_gaze_influence_sd,4.065690733245445,0.2013253780974916,3.7034773603778324,4.447266879956797,0.004148987361924028,0.0029441973411658538,2354.5765959132123,2338.522581165886,2395.9795838510063,2024.2382507639775,1.000234282540558
