,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],7.025805826425552,1.2855719943264492,4.570101075073263,9.374701849218052,0.047660812647928284,0.03371480330461875,727.5618518686614,727.5618518686614,868.0477350104345,840.619922615819,1.0011537938226538
obs_gaze_influence[0],0.36067465510273106,0.03908846261585241,0.2886345228878852,0.4360882251436244,0.0008647604684827825,0.0006182862154322365,2043.1747972552594,1999.0092777109012,2132.0112680955376,1648.239401361784,0.9999207714521127
1|setsize_offset[0],0.193458816094729,0.8277962332906322,-1.3838739263551556,1.6468101100838182,0.022109442629910298,0.01735744598030835,1401.8169378101786,1137.805360801953,1402.2699800539676,1758.443926597851,1.0053762790818241
1|setsize_offset[1],-0.40504013931887717,0.8357372439096169,-2.0135427017672347,1.1343314610243993,0.0218846883206428,0.015477907518149822,1458.3399781671653,1458.3399781671653,1463.4876633582314,1354.0351477315312,1.0011086080307319
1|setsize_offset[2],0.21139489177737675,0.8024105066693983,-1.3152434986415775,1.7687504892227093,0.01929457385494405,0.013645625503213347,1729.5090192231587,1729.5090192231587,1733.075104296339,1509.265834493823,1.0006661027081065
1|setsize_offset[3],-0.13639901231738744,0.8215490362582473,-1.6995267459890562,1.3533286177735482,0.019334304704942393,0.014521635203948727,1805.5514303484797,1600.9000645636759,1799.2400803844528,1542.7246224545706,1.0008310018419222
obs_gaze_influence|setsize_offset[0],-0.10085208161661108,0.8643572225720082,-1.589642758966652,1.7062502186238324,0.013804655240571676,0.015164379513865294,3920.4453174070995,1625.03670889115,3918.6756714464927,2584.951452253524,1.0010765799142056
obs_gaze_influence|setsize_offset[1],0.12189910564490128,0.869332496336165,-1.5741930897797929,1.7076395545251406,0.01628329527298081,0.014537632684776461,2850.2780738496517,1788.5295652402617,2808.314090162336,2469.378071497554,1.000650288141905
obs_gaze_influence|setsize_offset[2],0.09231856523755845,0.8760218176359073,-1.5560180449023655,1.7559203098247396,0.016015404487311195,0.015763663640948507,2991.9478650650335,1544.7192929406438,2992.3702902275536,2449.335311483091,0.9999550794140722
obs_gaze_influence|setsize_offset[3],-0.052590288188746455,0.8131356494199986,-1.684672516792375,1.4286564614085568,0.01461427012035926,0.012593847217715476,3095.791781568527,2084.974244454054,3081.2889656650914,2503.634854175137,1.000966047664627
1|setsize_sd,1.365773735667514,1.3350857710018298,0.0001075582645505875,3.9130030502068656,0.06395181614848384,0.04525106043739789,435.82543257271976,435.82543257271976,434.9875022661911,693.3982747851451,1.0038711521504808
1|setsize[0],0.23957125367846743,1.1357596563663754,-2.0675205406676977,2.384961492709576,0.04425588697348959,0.03733834406251,658.613725725135,463.21232366118113,899.8310020761279,987.4222055239915,1.0002838182615545
1|setsize[1],-0.6166557242416677,1.268710282739094,-3.486714879635747,1.303999010884795,0.04725071672030749,0.033424828277915514,720.954934444196,720.954934444196,938.6333632453947,796.5516870352238,1.0012338273691312
1|setsize[2],0.3055236398344964,1.117215693815254,-1.7713006687883117,2.598389775098329,0.04132424611387901,0.031364417425926494,730.9104592546017,634.9927882199935,985.7615620517668,924.2401668740208,1.001432762192073
1|setsize[3],-0.24592421873674525,1.1744822205174488,-2.8171057690202397,2.000147239124985,0.04749581496096534,0.034230274735755,611.4799277569529,589.2130340150902,797.7756619922294,589.6363991479549,1.001713830033557
obs_gaze_influence|setsize_sd,0.039280088482475516,0.03737819813003652,1.647478485930553e-05,0.1112835880360989,0.0012591105716911,0.001006519113559744,881.2699930835724,690.1284809513958,1044.0844473897462,1047.9062725949373,1.0016715057830696
obs_gaze_influence|setsize[0],-0.0037673725371892403,0.03413581138238355,-0.07663076162679829,0.06667379166792471,0.0007907481116674303,0.0006111012863860164,1863.5632324686137,1560.7251413106574,2184.49892471578,1743.4220667623674,1.0007869655286303
obs_gaze_influence|setsize[1],0.0069144038459097315,0.03620288624003898,-0.05402858934439434,0.08600118078260528,0.0011616697116238316,0.0010617144981136617,971.2276973692562,581.9377074848117,1516.4465079085953,1051.4581467573573,1.0008268778409508
obs_gaze_influence|setsize[2],0.0031089534825949157,0.03375033615859685,-0.0665765487176949,0.07614419194401172,0.0008734418783438458,0.0006526683712254034,1493.0975533952403,1337.6131254695692,1804.033073625779,1365.095685352002,1.0009056865898671
obs_gaze_influence|setsize[3],-0.002139719488844349,0.031038270944599388,-0.06737594052768485,0.05919336158136414,0.0007427683451253315,0.0005379991964194282,1746.1770096534924,1664.769070533421,1992.859905846841,1607.4043625904976,1.0020514251222228
pred_gaze_influence_sd,6.784623306221806,0.3444067884153292,6.1202187002746715,7.393374248600942,0.00564503998294432,0.00403163600007774,3722.2827646206865,3649.3894059151357,3835.709333073189,2447.997239478128,1.0013834880817778
