,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],12.822575130580045,1.4803794726064472,9.966925389038806,15.712252524286534,0.09729334505906798,0.07001367610821657,231.51537525483798,224.12096873366676,249.7510072588252,166.02816283010435,1.014781785616039
obs_gaze_influence[0],-0.06490581713632707,0.04858637819782464,-0.1663399397922838,0.015633476154496485,0.002707384032937341,0.0019161460630800935,322.05446618093714,322.05446618093714,340.9593372188923,290.3120450654136,1.0025216546938491
1|setsize_offset[0],-0.38989753707868363,0.823736856465226,-1.9230822223509572,1.2159834300925012,0.026672379305585584,0.01886599068400731,953.7915684493724,953.7915684493724,976.0650180644158,980.8020666657861,0.9999356779380464
1|setsize_offset[1],-0.36696547491274384,0.810982238524812,-1.8411933326662342,1.1270262368004584,0.029180979223542715,0.02064186530450554,772.3656711665203,772.3656711665203,751.6799622617983,1510.0790562841391,1.0011569557533806
1|setsize_offset[2],0.49684140275385985,0.7769467355234785,-0.9243909160360149,2.0729041773066217,0.02359430908485345,0.016688185577071284,1084.3462048480765,1084.3462048480765,1035.9686487978015,1784.3355120309125,1.0009357294993015
1|setsize_offset[3],0.2616707701090046,0.789174992822001,-1.2786999739259217,1.7271669686221984,0.027863055108541947,0.019709322924728365,802.2120147668569,802.2120147668569,791.1449206956535,1478.4652277086686,1.0017166065307967
obs_gaze_influence|setsize_offset[0],-0.2977586836080055,0.9079135511385079,-2.012174626996915,1.3281568390460914,0.0321406251826102,0.02493650588879253,797.9585934475156,663.3914762539255,792.7768822833007,397.7403897817131,1.0031597051651933
obs_gaze_influence|setsize_offset[1],0.10857617749798129,0.891278438212291,-1.462058452931603,1.8828772448124074,0.033554195150525844,0.023736213956813117,705.5586950472926,705.5586950472926,709.761588478848,1081.0653204595126,0.9999991709219738
obs_gaze_influence|setsize_offset[2],-0.12758313373611246,0.8465119642027281,-1.8739986086955924,1.3601838204951897,0.024901940469389393,0.017612777201237675,1155.5794766703193,1155.5794766703193,1126.8080444261611,1501.1980526947114,1.0019448814254692
obs_gaze_influence|setsize_offset[3],0.16635703970581076,0.8557706431315888,-1.4537892154299104,1.775020137344873,0.029005204814065388,0.020516652966421606,870.4882137513994,870.4882137513994,870.7520220433655,1503.627368064503,1.0021871938242548
1|setsize_sd,1.866900215750501,1.455730028554788,0.000522331746467431,4.484340601488444,0.11259347736504578,0.08358828869193437,167.16109867417072,152.2330045982474,199.8817852792266,174.60458295228858,1.0186852229989458
1|setsize[0],-0.6617900736505484,1.442182020566339,-3.7383494166925213,1.8391843457202646,0.07857518546551297,0.05823590834198658,336.8754203246452,307.2231954829756,358.32782583085316,230.59484789745775,1.0062348267262298
1|setsize[1],-0.7018627112094673,1.4964249020965454,-3.718609074782593,2.2956907895365966,0.09680148402463967,0.08090260252613024,238.97134213299555,171.6460591154146,298.05293487255346,206.08455268393536,1.0149103936419497
1|setsize[2],0.91252439775969,1.396833413311827,-1.4091942153815717,4.033813963713166,0.07094559403553637,0.05020390405736311,387.6487352452364,387.6487352452364,418.1553936612852,385.9371366225265,1.0081769024436686
1|setsize[3],0.48111470758662717,1.5154564312742178,-2.218069693799569,3.2713618377026132,0.09527389326254389,0.09432657056210002,253.01081472806894,129.64275942394067,363.01963811203905,290.71445865980695,1.0076087000738911
obs_gaze_influence|setsize_sd,0.047318250614754635,0.040200757437583945,1.4062088771716695e-05,0.12395388493330275,0.0018439422026124298,0.0013046649750936678,475.30662022500195,475.30662022500195,552.6292898054386,615.020162919837,1.0003667562163117
obs_gaze_influence|setsize[0],-0.018357959912916135,0.04945760265183268,-0.1263067638297447,0.06974899515523109,0.002836269941218719,0.0021680364390037634,304.06819596948657,260.78087833586727,462.08992409065377,218.37515160237322,1.0019805780745668
obs_gaze_influence|setsize[1],0.005834715959887931,0.04311222321699864,-0.06882296700254706,0.10456625589731557,0.002593039680751124,0.0018354940605699484,276.428306363213,276.428306363213,338.0006138359804,247.5899910404743,1.0009005885035502
obs_gaze_influence|setsize[2],-0.008260458078820964,0.040651557235730384,-0.09322067460162625,0.07642869834756727,0.0021856747684044628,0.0015596169089164113,345.92607236896527,340.27792964612206,460.21008604369905,305.4635383844141,1.0012821371211897
obs_gaze_influence|setsize[3],0.007126820681342286,0.042576576575294574,-0.0773827089458558,0.09804725332092382,0.0020786556678965263,0.0014708545592218999,419.5428937181215,419.5428937181215,468.84858864839975,308.0621169458625,1.0029566676741288
pred_gaze_influence_sd,7.357701194534534,0.21417820876314536,6.980655569091647,7.658825440056477,0.005673880120581706,0.004053352603859122,1424.919247655774,1396.6038676149453,1189.9764726921378,1415.0822575572377,1.00182631928672
