,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],7.242128848170489,1.3071773176447328,4.715635173663055,9.7783839412973,0.05724054763767011,0.04049783774487905,521.5085660569187,521.5085660569187,579.7844744373685,312.98485133828217,1.0079333137089697
obs_gaze_influence[0],0.17949091120774952,0.05370564224109376,0.06758959263384118,0.2802127396137112,0.0024028638971097175,0.0017000743619321709,499.55290005734327,499.55290005734327,536.5110881822948,381.92335535625773,1.003234033655883
1|setsize_offset[0],-0.19678505054538922,0.8728900402160975,-1.900923594615807,1.3594335835003246,0.02162345068742939,0.015292826153622884,1629.5551979785432,1629.5551979785432,1623.591167537818,2037.7527971764073,1.0005303603614897
1|setsize_offset[1],-0.11439311471861967,0.8342625954433693,-1.6504907903831145,1.4704711933953538,0.019034176190467614,0.016250147697917557,1921.0442750735936,1318.4180133758382,1908.6217806819034,1724.5666759472017,1.0004933921896786
1|setsize_offset[2],0.17978780368248337,0.8596221228291252,-1.271245098450553,2.0146454938903626,0.02452777290841558,0.01854962844205733,1228.284395116229,1074.3619597864256,1249.798397514928,737.7916042916956,1.0019822537970482
1|setsize_offset[3],0.12890763059683297,0.8437446473008048,-1.3308160530765583,1.8802282825297167,0.0200206425624342,0.015067290080263241,1776.0943686796127,1568.4956541601002,1775.4111770091376,1558.4210707831114,1.0010984874445312
obs_gaze_influence|setsize_offset[0],-0.7533787483102609,0.7823632514281356,-2.249614294725494,0.6697771956082674,0.02110507777457092,0.01492671225253854,1374.177938584581,1374.177938584581,1340.851755575488,877.9304077258115,1.002451105651111
obs_gaze_influence|setsize_offset[1],0.11144260116471581,0.7190817071477896,-1.305973936510596,1.4251407156342633,0.01770870338018464,0.012524159924164523,1648.8568560161302,1648.8568560161302,1628.6230578219124,2103.959666791984,1.0021010549119511
obs_gaze_influence|setsize_offset[2],0.08468966319859908,0.7246516167470187,-1.2230077692477173,1.4749812949260348,0.016706571755374027,0.013683286830066822,1881.411742491851,1402.9051204016553,1820.3164511598745,1843.1877540425241,1.002835316157556
obs_gaze_influence|setsize_offset[3],0.6251842695506303,0.7215587988225411,-0.6902824851005833,2.0723557467478035,0.017707241779233017,0.012523110678845269,1660.5104736701153,1660.5104736701153,1645.7351831343622,1788.7738384873674,1.001841834120025
1|setsize_sd,1.4283878445225069,1.3568212456269475,0.004635568809046344,3.697701250378837,0.0698188637811264,0.05241273839258195,377.65889388582684,335.6580876035934,500.66595191428297,531.4151041155415,1.0040562406801123
1|setsize[0],-0.2898505577710997,1.2117024678488848,-2.6842715288405357,2.264502712770914,0.05082642646308344,0.035958170682622664,568.3460324326247,568.3460324326247,638.893687033051,375.97648316877843,1.0032885289957938
1|setsize[1],-0.18623666202888947,1.153384257954882,-2.6335999741096505,2.055647103084153,0.034225817246457464,0.027288815679427023,1135.6392262912577,893.783276191839,1209.9495897050035,1176.5322942739074,1.00089968039856
1|setsize[2],0.2792252523825813,1.2989239565850432,-2.2704744147172713,2.8884832151343764,0.06156132179589982,0.05174285315922235,445.1963359145411,315.6749617196703,699.3277550272484,372.00930724086726,1.0039533239311529
1|setsize[3],0.176052526023116,1.1944277083005812,-2.1612336474563825,2.6334168884514146,0.038677975400246034,0.028596193536360552,953.6571593236414,872.8982680188803,1041.2603138633647,964.1662700631568,1.0034856742293419
obs_gaze_influence|setsize_sd,0.08388683162855327,0.06205090584349688,0.0005724771419360325,0.20049894461080298,0.0030221213664215364,0.0025293785175143,421.57267069291873,301.49482338671856,471.5174567945881,482.26838901252177,1.000328223272727
obs_gaze_influence|setsize[0],-0.05633067427244471,0.06225636381943968,-0.19738001832160346,0.038688259034994746,0.001973796938076869,0.0014017278753005488,994.8613546201782,986.885762607424,949.264410317532,655.2215774120882,1.004472990656142
obs_gaze_influence|setsize[1],0.01178802362408186,0.05391002624534313,-0.08792901853632981,0.12293854404366177,0.002172206246105644,0.0015367096915657862,615.9379598493396,615.9379598493396,663.9722264135354,544.4575512239322,1.0024803697986233
obs_gaze_influence|setsize[2],0.007858865284703118,0.05321097461118143,-0.0939529207355129,0.1162500407593241,0.0018895056662117447,0.0013498943039411228,793.0599710644931,777.4972962582835,865.8200923378542,1143.6414675281244,1.0028092232708798
obs_gaze_influence|setsize[3],0.04754120767149579,0.056134137028059965,-0.04713600595530072,0.1600740543437445,0.0025566665764271655,0.0020251143207885673,482.0653464691091,384.75481072644016,552.3435267041871,465.08656573978374,1.0027805446024947
pred_gaze_influence_sd,6.5662806276559875,0.30648261615896455,6.003157352618749,7.137768052738669,0.007012259216161336,0.005034529643704702,1910.274456545394,1853.534169187775,1896.5560975074081,1541.1364080082403,1.0002937369410494
