,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],257.776,5.522,247.349,268.544,0.341,0.242,262.0,262.0,262.0,395.0,1.01
item_value[0],8.527,1.007,6.664,10.408,0.031,0.022,1057.0,1057.0,1057.0,1620.0,1.0
setsize[0],-0.732,0.106,-0.94,-0.541,0.004,0.003,884.0,884.0,892.0,1364.0,1.0
1|subject_offset[0],-0.981,0.279,-1.502,-0.472,0.011,0.008,605.0,605.0,604.0,1135.0,1.0
1|subject_offset[1],-0.594,0.309,-1.169,-0.033,0.011,0.008,795.0,795.0,796.0,1822.0,1.0
1|subject_offset[2],-0.425,0.29,-0.947,0.146,0.011,0.008,744.0,744.0,742.0,1713.0,1.0
1|subject_offset[3],-1.184,0.289,-1.731,-0.638,0.012,0.008,626.0,626.0,621.0,1160.0,1.0
1|subject_offset[4],-0.389,0.264,-0.869,0.106,0.011,0.008,611.0,611.0,610.0,1451.0,1.0
1|subject_offset[5],0.222,0.331,-0.383,0.865,0.01,0.007,1108.0,1108.0,1104.0,2076.0,1.0
1|subject_offset[6],-0.764,0.281,-1.272,-0.225,0.011,0.008,671.0,671.0,668.0,1493.0,1.0
1|subject_offset[7],-0.183,0.277,-0.722,0.321,0.01,0.007,731.0,731.0,731.0,2054.0,1.0
1|subject_offset[8],0.102,0.285,-0.433,0.634,0.01,0.007,776.0,776.0,777.0,1596.0,1.0
1|subject_offset[9],-0.76,0.291,-1.338,-0.255,0.011,0.008,682.0,682.0,680.0,1598.0,1.0
1|subject_offset[10],0.434,0.3,-0.123,0.995,0.01,0.007,858.0,858.0,854.0,1625.0,1.0
1|subject_offset[11],-0.563,0.292,-1.107,-0.017,0.01,0.007,783.0,783.0,777.0,1510.0,1.0
1|subject_offset[12],-1.135,0.284,-1.656,-0.594,0.011,0.008,644.0,644.0,637.0,1076.0,1.0
1|subject_offset[13],-0.523,0.282,-1.078,-0.028,0.01,0.007,794.0,794.0,790.0,1508.0,1.0
1|subject_offset[14],2.245,0.361,1.605,2.957,0.015,0.011,548.0,548.0,545.0,1141.0,1.0
1|subject_offset[15],-0.371,0.315,-0.972,0.214,0.01,0.007,938.0,938.0,934.0,1986.0,1.0
1|subject_offset[16],0.199,0.277,-0.311,0.729,0.01,0.007,708.0,708.0,703.0,1476.0,1.0
1|subject_offset[17],1.356,0.293,0.841,1.936,0.012,0.009,586.0,586.0,579.0,1300.0,1.0
1|subject_offset[18],-0.058,0.279,-0.588,0.459,0.01,0.007,777.0,777.0,778.0,1582.0,1.0
1|subject_offset[19],-0.426,0.272,-0.929,0.094,0.01,0.007,673.0,673.0,673.0,1558.0,1.0
1|subject_offset[20],-0.552,0.294,-1.15,-0.029,0.011,0.008,745.0,745.0,745.0,1700.0,1.0
1|subject_offset[21],1.928,0.336,1.272,2.538,0.014,0.01,580.0,580.0,574.0,1153.0,1.0
1|subject_offset[22],0.659,0.271,0.169,1.182,0.011,0.008,614.0,614.0,610.0,1432.0,1.0
1|subject_offset[23],-0.764,0.311,-1.369,-0.198,0.011,0.007,866.0,866.0,861.0,1500.0,1.0
1|subject_offset[24],-0.299,0.26,-0.752,0.231,0.011,0.008,583.0,583.0,582.0,1364.0,1.0
1|subject_offset[25],-0.793,0.258,-1.267,-0.307,0.011,0.008,529.0,529.0,530.0,1185.0,1.0
