,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],268.12,4.718,258.651,276.872,0.353,0.25,179.0,179.0,180.0,379.0,1.0
is_refixation[0],42.136,3.694,35.179,49.07,0.151,0.107,601.0,600.0,603.0,1174.0,1.0
setsize[0],-1.091,0.11,-1.293,-0.877,0.004,0.003,901.0,901.0,900.0,1707.0,1.0
1|subject_offset[0],-1.016,0.278,-1.552,-0.492,0.011,0.008,675.0,675.0,679.0,1372.0,1.0
1|subject_offset[1],-0.475,0.271,-0.973,0.054,0.01,0.007,679.0,679.0,678.0,1653.0,1.0
1|subject_offset[2],-0.226,0.304,-0.769,0.352,0.01,0.007,1016.0,1016.0,1011.0,2322.0,1.0
1|subject_offset[3],-1.421,0.31,-2.005,-0.848,0.011,0.008,726.0,726.0,715.0,1434.0,1.0
1|subject_offset[4],0.113,0.251,-0.355,0.581,0.011,0.008,511.0,511.0,512.0,1607.0,1.0
1|subject_offset[5],0.116,0.368,-0.557,0.815,0.01,0.007,1463.0,1463.0,1467.0,2263.0,1.0
1|subject_offset[6],-0.608,0.275,-1.095,-0.082,0.011,0.008,669.0,669.0,676.0,1302.0,1.0
1|subject_offset[7],-0.212,0.274,-0.726,0.31,0.011,0.008,581.0,581.0,580.0,1639.0,1.0
1|subject_offset[8],-0.623,0.285,-1.166,-0.108,0.011,0.008,685.0,685.0,682.0,1789.0,1.0
1|subject_offset[9],-0.842,0.298,-1.389,-0.291,0.01,0.007,859.0,859.0,851.0,1398.0,1.0
1|subject_offset[10],0.611,0.3,0.016,1.147,0.009,0.007,1036.0,897.0,1031.0,2198.0,1.0
1|subject_offset[11],-0.072,0.292,-0.635,0.469,0.009,0.006,1019.0,1019.0,1020.0,2282.0,1.0
1|subject_offset[12],-1.756,0.319,-2.346,-1.157,0.012,0.009,700.0,700.0,696.0,1275.0,1.0
1|subject_offset[13],-0.23,0.288,-0.765,0.308,0.01,0.007,778.0,778.0,778.0,2211.0,1.0
1|subject_offset[14],2.154,0.346,1.462,2.752,0.014,0.01,585.0,585.0,572.0,1351.0,1.01
1|subject_offset[15],-0.206,0.327,-0.801,0.439,0.009,0.007,1241.0,1241.0,1248.0,2338.0,1.0
1|subject_offset[16],-0.209,0.259,-0.693,0.283,0.01,0.007,667.0,667.0,673.0,1701.0,1.0
1|subject_offset[17],1.396,0.274,0.889,1.928,0.013,0.009,473.0,473.0,464.0,1227.0,1.0
1|subject_offset[18],0.445,0.291,-0.065,1.021,0.011,0.008,713.0,713.0,710.0,1936.0,1.0
1|subject_offset[19],-0.182,0.264,-0.683,0.315,0.011,0.008,592.0,592.0,592.0,1270.0,1.0
1|subject_offset[20],0.075,0.287,-0.46,0.602,0.011,0.008,711.0,711.0,712.0,1843.0,1.0
1|subject_offset[21],1.175,0.276,0.661,1.691,0.011,0.008,614.0,614.0,612.0,1426.0,1.0
1|subject_offset[22],0.538,0.27,0.05,1.047,0.011,0.008,613.0,613.0,610.0,1571.0,1.0
1|subject_offset[23],-0.461,0.315,-1.04,0.133,0.01,0.007,933.0,933.0,935.0,2447.0,1.0
1|subject_offset[24],-0.297,0.254,-0.781,0.169,0.011,0.008,549.0,549.0,553.0,1331.0,1.0
1|subject_offset[25],-0.627,0.249,-1.088,-0.128,0.01,0.007,668.0,668.0,668.0,1841.0,1.0
1|subject_offset[26],1.394,0.293,0.822,1.935,0.013,0.009,544.0,544.0,543.0,1619.0,1.0
1|subject_offset[27],-0.595,0.275,-1.104,-0.08,0.01,0.007,770.0,770.0,765.0,1463.0,1.0
1|subject_offset[28],-0.669,0.323,-1.263,-0.044,0.01,0.007,1127.0,1127.0,1108.0,2230.0,1.0
1|subject_offset[29],-0.649,0.277,-1.171,-0.127,0.011,0.008,642.0,642.0,634.0,1890.0,1.0
1|subject_offset[30],-0.922,0.301,-1.494,-0.375,0.01,0.007,880.0,880.0,872.0,2251.0,1.0
1|subject_offset[31],0.842,0.262,0.376,1.352,0.012,0.009,452.0,452.0,453.0,1504.0,1.0
1|subject_offset[32],1.769,0.312,1.216,2.369,0.013,0.009,611.0,611.0,610.0,1631.0,1.0
1|subject_offset[33],2.714,0.421,1.96,3.499,0.014,0.01,948.0,948.0,941.0,1983.0,1.0
1|subject_offset[34],0.1,0.281,-0.447,0.598,0.01,0.007,837.0,837.0,830.0,2481.0,1.0
1|subject_offset[35],-1.262,0.309,-1.843,-0.686,0.011,0.008,758.0,758.0,744.0,2044.0,1.0
1|subject_offset[36],-0.842,0.309,-1.425,-0.277,0.01,0.007,1027.0,1027.0,1032.0,1850.0,1.0
1|subject_offset[37],-0.909,0.311,-1.522,-0.362,0.01,0.007,930.0,930.0,929.0,1932.0,1.0
1|subject_offset[38],1.0,0.265,0.498,1.491,0.012,0.009,463.0,463.0,463.0,1437.0,1.0
1|subject_offset[39],-0.052,0.24,-0.492,0.394,0.012,0.008,424.0,424.0,424.0,1207.0,1.0
1|subject_offset[40],0.924,0.31,0.364,1.502,0.01,0.007,944.0,944.0,945.0,2499.0,1.0
1|subject_offset[41],0.723,0.261,0.244,1.224,0.012,0.009,447.0,447.0,444.0,1405.0,1.0
1|subject_offset[42],1.722,0.305,1.13,2.276,0.014,0.01,501.0,501.0,501.0,1528.0,1.0
1|subject_offset[43],0.047,0.255,-0.442,0.512,0.012,0.008,480.0,480.0,483.0,1478.0,1.0
1|subject_offset[44],0.063,0.246,-0.406,0.515,0.01,0.007,566.0,566.0,569.0,1740.0,1.0
1|subject_offset[45],-1.249,0.34,-1.847,-0.583,0.01,0.007,1085.0,1085.0,1061.0,1895.0,1.0
1|subject_offset[46],-0.488,0.282,-1.007,0.055,0.011,0.008,694.0,694.0,693.0,1701.0,1.0
1|subject_offset[47],-0.457,0.32,-1.034,0.159,0.009,0.007,1191.0,1191.0,1186.0,2158.0,1.0
1|subject_offset[48],-0.432,0.305,-0.967,0.188,0.009,0.006,1143.0,1143.0,1128.0,2299.0,1.0
is_refixation|subject_offset[0],-0.748,0.301,-1.296,-0.185,0.007,0.005,1785.0,1685.0,1804.0,2541.0,1.0
is_refixation|subject_offset[1],-0.174,0.371,-0.9,0.489,0.006,0.006,3329.0,1778.0,3339.0,2520.0,1.0
is_refixation|subject_offset[2],0.12,0.409,-0.651,0.886,0.007,0.007,3711.0,1797.0,3712.0,2405.0,1.0
is_refixation|subject_offset[3],-0.679,0.332,-1.309,-0.077,0.007,0.005,2166.0,2166.0,2126.0,3045.0,1.0
is_refixation|subject_offset[4],0.869,0.285,0.351,1.408,0.008,0.006,1139.0,1101.0,1152.0,1943.0,1.0
is_refixation|subject_offset[5],-1.017,0.692,-2.349,0.242,0.008,0.008,6628.0,3596.0,6550.0,2549.0,1.0
is_refixation|subject_offset[6],-0.533,0.355,-1.217,0.127,0.007,0.005,2610.0,2282.0,2626.0,2756.0,1.0
is_refixation|subject_offset[7],-0.223,0.339,-0.825,0.442,0.006,0.005,2794.0,1969.0,2797.0,2601.0,1.0
is_refixation|subject_offset[8],0.165,0.343,-0.507,0.783,0.007,0.005,2317.0,2108.0,2320.0,2607.0,1.0
is_refixation|subject_offset[9],-0.279,0.446,-1.134,0.533,0.007,0.007,4270.0,2069.0,4234.0,2752.0,1.0
is_refixation|subject_offset[10],-0.731,0.413,-1.45,0.076,0.007,0.005,3744.0,3111.0,3745.0,2632.0,1.0
is_refixation|subject_offset[11],1.091,0.376,0.391,1.785,0.008,0.006,2144.0,2084.0,2145.0,2218.0,1.0
is_refixation|subject_offset[12],-0.132,0.367,-0.849,0.517,0.007,0.006,2781.0,1923.0,2783.0,2512.0,1.0
is_refixation|subject_offset[13],-0.948,0.379,-1.671,-0.257,0.007,0.005,2807.0,2376.0,2837.0,2673.0,1.0
is_refixation|subject_offset[14],-1.045,0.395,-1.805,-0.334,0.007,0.005,3129.0,2841.0,3132.0,2643.0,1.0
is_refixation|subject_offset[15],0.456,0.467,-0.432,1.325,0.007,0.006,4509.0,2818.0,4519.0,2825.0,1.0
is_refixation|subject_offset[16],0.46,0.313,-0.145,1.024,0.007,0.005,1753.0,1753.0,1747.0,2189.0,1.0
is_refixation|subject_offset[17],0.182,0.245,-0.264,0.641,0.007,0.005,1190.0,1190.0,1192.0,2093.0,1.0
is_refixation|subject_offset[18],2.384,0.427,1.586,3.182,0.011,0.008,1499.0,1499.0,1492.0,2047.0,1.0
is_refixation|subject_offset[19],0.402,0.317,-0.209,0.966,0.007,0.005,2324.0,2071.0,2335.0,2486.0,1.0
is_refixation|subject_offset[20],-1.143,0.33,-1.75,-0.503,0.008,0.006,1700.0,1700.0,1697.0,2311.0,1.0
is_refixation|subject_offset[21],3.366,0.44,2.587,4.217,0.015,0.011,817.0,805.0,824.0,1373.0,1.0
is_refixation|subject_offset[22],-0.173,0.343,-0.813,0.454,0.007,0.005,2608.0,2286.0,2593.0,2781.0,1.0
is_refixation|subject_offset[23],1.375,0.451,0.502,2.203,0.008,0.006,3100.0,2910.0,3108.0,2771.0,1.0
is_refixation|subject_offset[24],-0.239,0.3,-0.8,0.315,0.007,0.005,1990.0,1605.0,1964.0,2421.0,1.0
is_refixation|subject_offset[25],0.263,0.277,-0.266,0.77,0.007,0.005,1638.0,1638.0,1643.0,2123.0,1.0
is_refixation|subject_offset[26],-0.587,0.298,-1.171,-0.055,0.007,0.005,1771.0,1712.0,1774.0,2054.0,1.0
is_refixation|subject_offset[27],-0.437,0.301,-0.994,0.127,0.007,0.005,1944.0,1843.0,1956.0,2362.0,1.0
is_refixation|subject_offset[28],-1.122,0.55,-2.172,-0.099,0.008,0.006,4510.0,3714.0,4518.0,2248.0,1.0
is_refixation|subject_offset[29],0.304,0.327,-0.288,0.933,0.007,0.005,2046.0,2046.0,2053.0,2150.0,1.0
is_refixation|subject_offset[30],-0.771,0.4,-1.522,-0.033,0.007,0.005,3430.0,2803.0,3432.0,2744.0,1.0
is_refixation|subject_offset[31],1.14,0.308,0.551,1.705,0.009,0.006,1290.0,1279.0,1300.0,2032.0,1.0
is_refixation|subject_offset[32],-0.413,0.313,-1.016,0.143,0.007,0.005,2246.0,2246.0,2232.0,2237.0,1.0
is_refixation|subject_offset[33],0.94,0.536,-0.037,1.948,0.007,0.007,5211.0,3372.0,5246.0,2299.0,1.0
is_refixation|subject_offset[34],-0.098,0.351,-0.762,0.533,0.007,0.006,2497.0,1977.0,2510.0,2234.0,1.0
is_refixation|subject_offset[35],-0.626,0.343,-1.274,-0.007,0.008,0.005,2037.0,2037.0,2026.0,2807.0,1.0
is_refixation|subject_offset[36],-0.651,0.374,-1.389,0.019,0.007,0.005,2777.0,2334.0,2785.0,2395.0,1.0
is_refixation|subject_offset[37],-0.653,0.416,-1.413,0.127,0.007,0.006,3370.0,2608.0,3374.0,2759.0,1.0
is_refixation|subject_offset[38],-0.452,0.276,-0.979,0.057,0.007,0.005,1492.0,1404.0,1508.0,1954.0,1.0
is_refixation|subject_offset[39],0.954,0.268,0.447,1.451,0.008,0.006,1066.0,1066.0,1067.0,1973.0,1.0
is_refixation|subject_offset[40],-0.444,0.485,-1.359,0.434,0.007,0.007,4340.0,2662.0,4330.0,2718.0,1.0
is_refixation|subject_offset[41],0.278,0.269,-0.231,0.774,0.007,0.005,1599.0,1599.0,1598.0,2201.0,1.0
is_refixation|subject_offset[42],1.814,0.361,1.159,2.502,0.01,0.007,1242.0,1239.0,1254.0,1835.0,1.0
is_refixation|subject_offset[43],-0.017,0.282,-0.533,0.517,0.007,0.005,1791.0,1791.0,1798.0,2387.0,1.0
is_refixation|subject_offset[44],-0.182,0.245,-0.645,0.277,0.007,0.005,1191.0,1191.0,1193.0,2334.0,1.0
is_refixation|subject_offset[45],-1.163,0.498,-2.161,-0.267,0.007,0.006,4722.0,3679.0,4782.0,2615.0,1.0
is_refixation|subject_offset[46],-0.791,0.435,-1.59,0.035,0.007,0.006,3604.0,3084.0,3610.0,2606.0,1.0
is_refixation|subject_offset[47],0.294,0.503,-0.714,1.158,0.007,0.009,4674.0,1645.0,4661.0,2466.0,1.0
is_refixation|subject_offset[48],-0.372,0.417,-1.147,0.394,0.008,0.006,3063.0,2104.0,3083.0,2642.0,1.0
setsize|subject_offset[0],0.67,0.434,-0.116,1.51,0.008,0.006,2829.0,2603.0,2835.0,2881.0,1.0
setsize|subject_offset[1],-0.197,0.452,-1.033,0.68,0.007,0.007,4001.0,2394.0,4002.0,2699.0,1.0
setsize|subject_offset[2],-0.162,0.516,-1.18,0.767,0.007,0.008,4818.0,1967.0,4817.0,3048.0,1.0
setsize|subject_offset[3],0.152,0.479,-0.705,1.101,0.008,0.007,3888.0,2083.0,3898.0,2882.0,1.0
setsize|subject_offset[4],0.808,0.404,0.069,1.579,0.008,0.005,2797.0,2763.0,2794.0,2865.0,1.0
