,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],270.904,5.018,261.611,279.906,0.34,0.241,217.0,217.0,217.0,604.0,1.01
is_last[0],-72.332,5.411,-82.767,-62.678,0.122,0.086,1966.0,1966.0,1967.0,2472.0,1.0
setsize[0],-0.944,0.129,-1.18,-0.695,0.004,0.003,1028.0,1025.0,1029.0,1569.0,1.0
1|subject_offset[0],-1.068,0.311,-1.66,-0.484,0.011,0.008,765.0,765.0,766.0,1741.0,1.0
1|subject_offset[1],-0.405,0.328,-1.035,0.193,0.011,0.008,871.0,871.0,873.0,1945.0,1.0
1|subject_offset[2],-0.465,0.349,-1.132,0.181,0.01,0.007,1242.0,1242.0,1245.0,2450.0,1.0
1|subject_offset[3],-1.403,0.331,-2.023,-0.794,0.012,0.009,788.0,754.0,800.0,1844.0,1.0
1|subject_offset[4],0.67,0.296,0.145,1.244,0.011,0.008,681.0,681.0,686.0,1649.0,1.0
1|subject_offset[5],-0.722,0.448,-1.594,0.096,0.009,0.006,2386.0,2386.0,2376.0,2321.0,1.0
1|subject_offset[6],-1.069,0.343,-1.691,-0.409,0.011,0.008,946.0,946.0,950.0,1881.0,1.0
1|subject_offset[7],-0.203,0.343,-0.864,0.433,0.011,0.008,906.0,906.0,910.0,1912.0,1.0
1|subject_offset[8],-0.342,0.829,-1.888,1.272,0.013,0.012,4163.0,2271.0,4145.0,3025.0,1.0
1|subject_offset[9],-0.918,0.343,-1.574,-0.295,0.011,0.008,974.0,974.0,979.0,2378.0,1.0
1|subject_offset[10],0.228,0.343,-0.432,0.858,0.01,0.007,1235.0,1235.0,1243.0,2407.0,1.0
1|subject_offset[11],0.28,0.344,-0.416,0.876,0.01,0.007,1156.0,1156.0,1156.0,2334.0,1.0
1|subject_offset[12],-0.558,0.347,-1.226,0.08,0.012,0.008,889.0,889.0,890.0,1909.0,1.01
1|subject_offset[13],1.478,0.387,0.777,2.227,0.014,0.01,809.0,804.0,819.0,1640.0,1.0
1|subject_offset[14],-0.506,0.412,-1.277,0.265,0.011,0.008,1341.0,1341.0,1342.0,2272.0,1.0
1|subject_offset[15],0.239,0.333,-0.356,0.87,0.01,0.007,1195.0,1195.0,1207.0,2115.0,1.0
1|subject_offset[16],0.086,0.628,-1.098,1.277,0.009,0.012,5397.0,1459.0,5405.0,2751.0,1.0
1|subject_offset[17],0.927,0.331,0.336,1.554,0.012,0.009,732.0,725.0,738.0,1580.0,1.0
1|subject_offset[18],1.221,0.346,0.565,1.854,0.012,0.009,815.0,790.0,833.0,1529.0,1.0
1|subject_offset[19],-0.338,0.313,-0.942,0.238,0.011,0.008,838.0,838.0,839.0,1863.0,1.0
1|subject_offset[20],1.819,0.407,1.052,2.573,0.013,0.01,931.0,874.0,980.0,1422.0,1.0
1|subject_offset[21],0.371,0.387,-0.364,1.095,0.01,0.007,1545.0,1545.0,1537.0,2297.0,1.0
1|subject_offset[22],-0.215,0.361,-0.886,0.455,0.011,0.008,1122.0,1122.0,1119.0,2142.0,1.0
1|subject_offset[23],-0.145,0.284,-0.692,0.374,0.01,0.007,745.0,745.0,744.0,1891.0,1.0
1|subject_offset[24],-0.475,0.29,-1.01,0.069,0.011,0.008,720.0,720.0,713.0,2265.0,1.01
1|subject_offset[25],1.659,0.369,0.965,2.36,0.012,0.009,883.0,883.0,885.0,1474.0,1.0
1|subject_offset[26],-0.806,0.297,-1.371,-0.265,0.011,0.008,741.0,741.0,736.0,1642.0,1.0
1|subject_offset[27],-1.022,0.389,-1.734,-0.275,0.012,0.008,1069.0,1069.0,1091.0,2395.0,1.0
1|subject_offset[28],-0.16,0.291,-0.696,0.412,0.011,0.008,706.0,706.0,705.0,1468.0,1.0
1|subject_offset[29],-0.83,0.348,-1.465,-0.19,0.011,0.008,962.0,962.0,964.0,2320.0,1.0
1|subject_offset[30],0.826,0.3,0.257,1.397,0.012,0.008,627.0,627.0,622.0,1733.0,1.0
1|subject_offset[31],1.244,0.407,0.487,1.996,0.011,0.008,1411.0,1332.0,1425.0,2037.0,1.0
1|subject_offset[32],1.617,0.463,0.739,2.461,0.013,0.009,1215.0,1215.0,1225.0,2105.0,1.0
