,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],274.023,6.42,261.733,285.782,0.291,0.206,488.0,487.0,489.0,856.0,1.0
is_last[0],88.168,22.23,48.639,132.831,1.33,0.942,279.0,279.0,281.0,612.0,1.01
setsize[0],-1.147,0.149,-1.412,-0.868,0.004,0.003,1383.0,1380.0,1383.0,2040.0,1.0
1|subject_offset[0],-0.547,0.344,-1.17,0.123,0.008,0.005,2091.0,2091.0,2090.0,2448.0,1.0
1|subject_offset[1],-0.85,0.343,-1.488,-0.219,0.009,0.006,1609.0,1609.0,1601.0,2335.0,1.0
1|subject_offset[2],-0.439,0.403,-1.126,0.378,0.008,0.006,2571.0,2571.0,2570.0,2790.0,1.0
1|subject_offset[3],-1.185,0.372,-1.857,-0.457,0.009,0.006,1707.0,1707.0,1705.0,2442.0,1.0
1|subject_offset[4],1.069,0.308,0.481,1.646,0.008,0.005,1597.0,1597.0,1591.0,2525.0,1.0
1|subject_offset[5],-0.624,0.46,-1.442,0.275,0.008,0.006,3541.0,2642.0,3556.0,2647.0,1.0
1|subject_offset[6],-0.472,0.37,-1.163,0.221,0.008,0.006,2031.0,2031.0,2020.0,2937.0,1.0
1|subject_offset[7],-0.195,0.328,-0.797,0.454,0.009,0.006,1461.0,1461.0,1472.0,2362.0,1.0
1|subject_offset[8],-0.419,0.275,-0.927,0.107,0.008,0.005,1288.0,1288.0,1283.0,2270.0,1.0
1|subject_offset[9],-0.524,0.379,-1.209,0.218,0.008,0.006,2241.0,2241.0,2236.0,1911.0,1.0
1|subject_offset[10],0.176,0.371,-0.509,0.891,0.008,0.006,2081.0,2081.0,2074.0,2721.0,1.0
1|subject_offset[11],-0.237,0.373,-0.901,0.471,0.008,0.006,2365.0,2211.0,2366.0,2506.0,1.0
1|subject_offset[12],-1.418,0.302,-2.004,-0.885,0.009,0.007,1068.0,1068.0,1055.0,1964.0,1.0
1|subject_offset[13],-0.39,0.392,-1.087,0.406,0.008,0.006,2440.0,1985.0,2425.0,1962.0,1.0
1|subject_offset[14],1.561,0.349,0.939,2.248,0.008,0.006,1762.0,1762.0,1754.0,2268.0,1.0
1|subject_offset[15],0.051,0.4,-0.709,0.764,0.007,0.006,2888.0,2060.0,2875.0,3010.0,1.0
1|subject_offset[16],-0.282,0.307,-0.86,0.288,0.008,0.005,1628.0,1628.0,1607.0,2404.0,1.0
1|subject_offset[17],1.642,0.277,1.17,2.207,0.009,0.006,962.0,962.0,958.0,1471.0,1.0
1|subject_offset[18],1.02,0.439,0.169,1.824,0.007,0.005,3641.0,3352.0,3649.0,2992.0,1.0
1|subject_offset[19],-0.631,0.306,-1.218,-0.066,0.008,0.006,1319.0,1319.0,1317.0,2159.0,1.0
1|subject_offset[20],-0.243,0.419,-1.04,0.509,0.008,0.007,2588.0,2026.0,2587.0,2612.0,1.0
1|subject_offset[21],2.082,0.337,1.467,2.736,0.01,0.007,1222.0,1222.0,1220.0,2025.0,1.0
1|subject_offset[22],0.257,0.283,-0.28,0.792,0.008,0.005,1379.0,1379.0,1386.0,2299.0,1.0
1|subject_offset[23],-0.523,0.399,-1.298,0.191,0.007,0.005,2966.0,2695.0,2969.0,2757.0,1.0
1|subject_offset[24],-0.191,0.35,-0.836,0.477,0.008,0.005,2106.0,2106.0,2114.0,3097.0,1.0
1|subject_offset[25],-0.14,0.315,-0.704,0.471,0.008,0.006,1577.0,1577.0,1579.0,2688.0,1.0
1|subject_offset[26],0.782,0.29,0.246,1.341,0.008,0.006,1245.0,1245.0,1238.0,2260.0,1.0
1|subject_offset[27],-0.453,0.355,-1.117,0.197,0.008,0.005,2097.0,2097.0,2107.0,2565.0,1.0
1|subject_offset[28],-1.1,0.412,-1.864,-0.317,0.008,0.006,2795.0,2795.0,2804.0,2843.0,1.0
1|subject_offset[29],-0.609,0.394,-1.379,0.108,0.007,0.005,2916.0,2799.0,2906.0,2323.0,1.0
1|subject_offset[30],-0.536,0.428,-1.296,0.302,0.008,0.006,2897.0,2579.0,2886.0,2639.0,1.0
1|subject_offset[31],1.096,0.408,0.349,1.863,0.008,0.006,2325.0,2325.0,2328.0,2807.0,1.0
1|subject_offset[32],1.318,0.299,0.769,1.886,0.008,0.006,1336.0,1336.0,1334.0,2151.0,1.0
1|subject_offset[33],1.53,0.439,0.718,2.377,0.008,0.006,2675.0,2675.0,2666.0,2603.0,1.0
1|subject_offset[34],-0.143,0.383,-0.942,0.511,0.007,0.006,2863.0,2174.0,2874.0,2758.0,1.0
1|subject_offset[35],-1.012,0.378,-1.683,-0.26,0.008,0.006,2046.0,2001.0,2049.0,2480.0,1.0
1|subject_offset[36],-1.099,0.459,-1.997,-0.268,0.008,0.006,3421.0,3098.0,3427.0,2938.0,1.0
1|subject_offset[37],-0.909,0.361,-1.588,-0.256,0.009,0.006,1578.0,1578.0,1582.0,2240.0,1.0
1|subject_offset[38],1.628,0.358,0.978,2.304,0.009,0.006,1758.0,1758.0,1742.0,1990.0,1.0
1|subject_offset[39],1.517,0.339,0.886,2.157,0.008,0.006,1817.0,1817.0,1818.0,2392.0,1.0
1|subject_offset[40],0.085,0.425,-0.705,0.891,0.007,0.007,3223.0,2035.0,3241.0,2962.0,1.0
1|subject_offset[41],0.75,0.32,0.146,1.353,0.008,0.005,1783.0,1783.0,1792.0,2058.0,1.0
1|subject_offset[42],1.564,0.302,1.006,2.114,0.009,0.006,1121.0,1121.0,1117.0,1756.0,1.0
1|subject_offset[43],0.439,0.269,-0.066,0.942,0.007,0.005,1338.0,1338.0,1342.0,2371.0,1.0
1|subject_offset[44],0.244,0.256,-0.244,0.745,0.008,0.006,978.0,978.0,980.0,1890.0,1.0
1|subject_offset[45],-1.489,0.488,-2.46,-0.641,0.008,0.006,4059.0,3886.0,4049.0,2918.0,1.0
1|subject_offset[46],-0.498,0.384,-1.248,0.193,0.008,0.006,2329.0,2219.0,2332.0,2693.0,1.0
1|subject_offset[47],-1.133,0.35,-1.768,-0.458,0.009,0.006,1659.0,1659.0,1656.0,2111.0,1.0
1|subject_offset[48],-0.689,0.37,-1.389,-0.026,0.008,0.006,2332.0,2079.0,2363.0,2620.0,1.0
is_last|subject_offset[0],-0.486,0.231,-0.928,-0.067,0.01,0.007,531.0,531.0,534.0,1661.0,1.0
is_last|subject_offset[1],-0.209,0.216,-0.63,0.184,0.009,0.007,542.0,542.0,541.0,1161.0,1.0
is_last|subject_offset[2],-0.341,0.221,-0.744,0.079,0.01,0.007,543.0,543.0,543.0,1395.0,1.0
is_last|subject_offset[3],-0.259,0.212,-0.658,0.133,0.01,0.007,484.0,484.0,485.0,1258.0,1.0
is_last|subject_offset[4],0.09,0.215,-0.301,0.497,0.009,0.006,577.0,577.0,575.0,1257.0,1.0
is_last|subject_offset[5],-0.424,0.25,-0.907,0.038,0.01,0.007,661.0,636.0,664.0,1377.0,1.0
is_last|subject_offset[6],-0.597,0.217,-1.006,-0.192,0.009,0.006,597.0,597.0,597.0,1211.0,1.0
is_last|subject_offset[7],-0.03,0.201,-0.433,0.322,0.009,0.007,471.0,471.0,469.0,1352.0,1.0
is_last|subject_offset[8],3.605,0.407,2.849,4.345,0.023,0.016,324.0,319.0,329.0,473.0,1.0
is_last|subject_offset[9],-0.946,0.248,-1.429,-0.504,0.011,0.008,505.0,505.0,504.0,1157.0,1.0
is_last|subject_offset[10],-0.063,0.206,-0.447,0.323,0.009,0.007,481.0,481.0,481.0,1424.0,1.0
is_last|subject_offset[11],-1.059,0.26,-1.552,-0.586,0.011,0.008,561.0,561.0,562.0,1273.0,1.0
is_last|subject_offset[12],2.931,0.347,2.301,3.573,0.019,0.014,317.0,312.0,322.0,400.0,1.0
is_last|subject_offset[13],-0.594,0.236,-1.034,-0.148,0.009,0.007,641.0,641.0,644.0,1291.0,1.0
is_last|subject_offset[14],0.427,0.202,0.03,0.794,0.01,0.007,422.0,422.0,423.0,1019.0,1.0
is_last|subject_offset[15],-0.646,0.256,-1.162,-0.196,0.009,0.006,844.0,844.0,847.0,1716.0,1.0
is_last|subject_offset[16],0.329,0.202,-0.044,0.715,0.01,0.007,441.0,441.0,440.0,1053.0,1.0
is_last|subject_offset[17],3.059,0.358,2.405,3.735,0.02,0.014,325.0,318.0,330.0,458.0,1.0
is_last|subject_offset[18],-0.487,0.266,-0.977,0.038,0.01,0.007,684.0,684.0,691.0,1401.0,1.0
is_last|subject_offset[19],0.744,0.205,0.365,1.111,0.01,0.007,399.0,399.0,398.0,653.0,1.0
is_last|subject_offset[20],-0.504,0.243,-0.962,-0.055,0.009,0.006,751.0,751.0,751.0,1470.0,1.0
is_last|subject_offset[21],1.17,0.22,0.764,1.587,0.011,0.008,371.0,368.0,372.0,463.0,1.0
is_last|subject_offset[22],-0.558,0.196,-0.934,-0.195,0.01,0.007,378.0,378.0,379.0,960.0,1.0
is_last|subject_offset[23],-0.798,0.226,-1.217,-0.37,0.01,0.007,497.0,497.0,497.0,1213.0,1.0
is_last|subject_offset[24],-0.613,0.24,-1.064,-0.187,0.01,0.007,597.0,597.0,599.0,1320.0,1.0
is_last|subject_offset[25],-0.148,0.212,-0.552,0.25,0.009,0.006,533.0,533.0,530.0,1009.0,1.0
is_last|subject_offset[26],-0.287,0.191,-0.637,0.088,0.01,0.007,405.0,405.0,408.0,776.0,1.0
is_last|subject_offset[27],-0.317,0.239,-0.768,0.125,0.009,0.007,645.0,645.0,641.0,1550.0,1.0
is_last|subject_offset[28],-0.146,0.214,-0.559,0.246,0.009,0.006,604.0,604.0,607.0,1191.0,1.0
is_last|subject_offset[29],-0.393,0.256,-0.869,0.088,0.01,0.007,705.0,705.0,713.0,1528.0,1.0
is_last|subject_offset[30],-0.433,0.3,-1.011,0.136,0.009,0.006,1194.0,1194.0,1200.0,1714.0,1.0
is_last|subject_offset[31],0.192,0.24,-0.265,0.628,0.008,0.006,841.0,841.0,841.0,1967.0,1.0
is_last|subject_offset[32],1.373,0.232,0.93,1.789,0.012,0.009,366.0,361.0,368.0,574.0,1.0
is_last|subject_offset[33],-0.275,0.215,-0.698,0.108,0.009,0.006,582.0,582.0,582.0,1335.0,1.0
is_last|subject_offset[34],-0.203,0.28,-0.748,0.32,0.009,0.006,956.0,956.0,950.0,1625.0,1.0
is_last|subject_offset[35],-0.185,0.23,-0.61,0.243,0.009,0.006,699.0,699.0,695.0,1358.0,1.0
is_last|subject_offset[36],-0.459,0.247,-0.9,0.014,0.009,0.006,730.0,730.0,721.0,1595.0,1.0
is_last|subject_offset[37],-0.232,0.202,-0.64,0.112,0.009,0.007,469.0,469.0,468.0,1404.0,1.0
is_last|subject_offset[38],-0.161,0.227,-0.584,0.273,0.009,0.007,587.0,587.0,589.0,1575.0,1.0
is_last|subject_offset[39],-0.442,0.241,-0.912,-0.002,0.009,0.006,722.0,722.0,718.0,1933.0,1.0
is_last|subject_offset[40],0.459,0.241,0.009,0.913,0.01,0.007,612.0,573.0,619.0,1079.0,1.0
