,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],319.832,7.482,305.706,333.656,0.356,0.252,442.0,442.0,444.0,854.0,1.01
item_value[0],14.892,2.427,10.426,19.537,0.09,0.065,720.0,704.0,725.0,1335.0,1.0
setsize[0],-2.184,0.206,-2.548,-1.785,0.006,0.004,1247.0,1247.0,1256.0,1878.0,1.0
1|subject_offset[0],-0.931,0.342,-1.568,-0.301,0.009,0.006,1488.0,1488.0,1494.0,2094.0,1.0
1|subject_offset[1],-0.954,0.505,-1.923,-0.039,0.011,0.008,2074.0,2056.0,2077.0,2593.0,1.0
1|subject_offset[2],-0.245,0.433,-1.048,0.579,0.008,0.006,3099.0,2382.0,3117.0,2827.0,1.0
1|subject_offset[3],-1.116,0.362,-1.786,-0.431,0.009,0.006,1744.0,1696.0,1741.0,2253.0,1.0
1|subject_offset[4],0.139,0.301,-0.389,0.736,0.008,0.006,1369.0,1369.0,1360.0,2198.0,1.0
1|subject_offset[5],-0.502,0.606,-1.661,0.636,0.008,0.007,5174.0,3321.0,5169.0,2998.0,1.0
1|subject_offset[6],-0.554,0.413,-1.283,0.254,0.008,0.006,2899.0,2731.0,2884.0,2677.0,1.0
1|subject_offset[7],-0.418,0.424,-1.16,0.426,0.008,0.006,2488.0,2335.0,2489.0,2361.0,1.0
1|subject_offset[8],0.882,0.37,0.211,1.605,0.008,0.006,2216.0,2179.0,2210.0,2851.0,1.0
1|subject_offset[9],-0.946,0.514,-1.938,-0.033,0.009,0.007,3454.0,2831.0,3459.0,2613.0,1.0
1|subject_offset[10],-0.185,0.436,-0.988,0.619,0.008,0.007,2979.0,1757.0,3002.0,2481.0,1.0
1|subject_offset[11],0.393,0.363,-0.268,1.101,0.007,0.005,2461.0,2265.0,2464.0,2732.0,1.0
1|subject_offset[12],1.043,0.378,0.358,1.771,0.009,0.006,1971.0,1816.0,2001.0,2391.0,1.0
1|subject_offset[13],-0.409,0.412,-1.217,0.333,0.008,0.006,2639.0,2357.0,2629.0,2750.0,1.0
1|subject_offset[14],0.471,0.432,-0.352,1.278,0.008,0.006,2953.0,2651.0,2950.0,2836.0,1.0
1|subject_offset[15],0.286,0.459,-0.561,1.145,0.008,0.007,3629.0,1871.0,3642.0,2826.0,1.0
1|subject_offset[16],0.437,0.343,-0.242,1.058,0.007,0.005,2230.0,2050.0,2221.0,2221.0,1.0
1|subject_offset[17],1.961,0.338,1.357,2.603,0.012,0.009,775.0,775.0,780.0,1641.0,1.01
1|subject_offset[18],0.489,0.408,-0.272,1.243,0.008,0.007,2631.0,1841.0,2659.0,1963.0,1.0
1|subject_offset[19],0.4,0.34,-0.223,1.054,0.008,0.006,1796.0,1784.0,1807.0,2232.0,1.0
1|subject_offset[20],-0.648,0.4,-1.446,0.061,0.009,0.007,1923.0,1871.0,1929.0,2639.0,1.0
1|subject_offset[21],3.223,0.455,2.412,4.117,0.017,0.012,744.0,744.0,743.0,1285.0,1.0
1|subject_offset[22],-0.034,0.384,-0.78,0.648,0.008,0.007,2531.0,1514.0,2530.0,2461.0,1.0
1|subject_offset[23],-0.452,0.461,-1.342,0.362,0.008,0.007,3278.0,2431.0,3298.0,2570.0,1.0
1|subject_offset[24],-0.353,0.337,-0.943,0.318,0.008,0.006,1600.0,1600.0,1597.0,2320.0,1.0
1|subject_offset[25],-0.075,0.333,-0.71,0.531,0.008,0.006,1564.0,1564.0,1567.0,2430.0,1.0
1|subject_offset[26],0.939,0.351,0.315,1.6,0.008,0.006,1741.0,1606.0,1761.0,2013.0,1.0
1|subject_offset[27],-0.672,0.339,-1.306,-0.063,0.008,0.006,1713.0,1713.0,1719.0,2382.0,1.0
1|subject_offset[28],-1.039,0.509,-2.018,-0.096,0.008,0.006,4127.0,3798.0,4114.0,2867.0,1.0
1|subject_offset[29],0.137,0.36,-0.543,0.801,0.008,0.006,2045.0,1557.0,2055.0,2198.0,1.0
1|subject_offset[30],-1.149,0.458,-1.983,-0.257,0.008,0.006,2948.0,2662.0,2960.0,2387.0,1.0
1|subject_offset[31],0.992,0.37,0.299,1.68,0.009,0.007,1608.0,1495.0,1620.0,1958.0,1.0
1|subject_offset[32],1.626,0.389,0.892,2.341,0.011,0.008,1372.0,1307.0,1400.0,2073.0,1.0
1|subject_offset[33],0.831,0.543,-0.187,1.84,0.009,0.007,3609.0,2895.0,3592.0,3028.0,1.0
1|subject_offset[34],-0.215,0.38,-0.92,0.51,0.007,0.006,2626.0,1982.0,2604.0,2478.0,1.0
1|subject_offset[35],-0.862,0.388,-1.593,-0.146,0.009,0.006,2012.0,1940.0,2021.0,2282.0,1.0
1|subject_offset[36],-0.886,0.4,-1.71,-0.177,0.009,0.006,2184.0,2101.0,2191.0,2519.0,1.0
1|subject_offset[37],-0.966,0.463,-1.85,-0.119,0.008,0.006,3197.0,2670.0,3228.0,2591.0,1.0
1|subject_offset[38],0.1,0.326,-0.504,0.698,0.008,0.006,1571.0,1332.0,1578.0,2416.0,1.0
1|subject_offset[39],0.43,0.28,-0.115,0.948,0.008,0.006,1211.0,1211.0,1213.0,1749.0,1.0
1|subject_offset[40],-0.216,0.471,-1.061,0.719,0.007,0.007,4626.0,2008.0,4624.0,2806.0,1.0
1|subject_offset[41],0.182,0.305,-0.39,0.749,0.008,0.005,1558.0,1558.0,1555.0,2201.0,1.0
1|subject_offset[42],1.456,0.406,0.707,2.224,0.011,0.008,1449.0,1444.0,1449.0,2151.0,1.0
1|subject_offset[43],0.182,0.334,-0.472,0.791,0.007,0.005,1990.0,1990.0,1993.0,2415.0,1.0
1|subject_offset[44],0.251,0.283,-0.262,0.797,0.008,0.006,1234.0,1234.0,1237.0,2420.0,1.0
1|subject_offset[45],-1.534,0.488,-2.431,-0.581,0.009,0.007,2752.0,2624.0,2766.0,2151.0,1.0
1|subject_offset[46],-0.996,0.441,-1.823,-0.139,0.009,0.006,2648.0,2533.0,2657.0,2778.0,1.0
1|subject_offset[47],0.273,0.465,-0.562,1.194,0.007,0.008,3972.0,1884.0,3934.0,2738.0,1.0
1|subject_offset[48],-0.373,0.476,-1.224,0.572,0.008,0.007,3764.0,2051.0,3763.0,2278.0,1.0
item_value|subject_offset[0],-0.507,0.469,-1.382,0.37,0.007,0.006,4508.0,2987.0,4493.0,2911.0,1.0
item_value|subject_offset[1],-0.006,0.56,-1.043,1.034,0.01,0.008,2878.0,2388.0,2882.0,3078.0,1.0
item_value|subject_offset[2],-0.558,0.417,-1.392,0.194,0.007,0.005,3664.0,3111.0,3651.0,2747.0,1.0
item_value|subject_offset[3],-0.686,0.353,-1.351,-0.032,0.007,0.005,2546.0,2469.0,2548.0,2769.0,1.0
item_value|subject_offset[4],1.032,0.313,0.449,1.619,0.007,0.005,1960.0,1960.0,1960.0,2504.0,1.0
item_value|subject_offset[5],-0.418,0.593,-1.502,0.714,0.009,0.008,4561.0,2710.0,4559.0,2669.0,1.0
item_value|subject_offset[6],-0.685,0.383,-1.401,0.023,0.006,0.005,3740.0,2831.0,3758.0,2556.0,1.0
item_value|subject_offset[7],-0.579,0.409,-1.312,0.247,0.006,0.005,4094.0,3034.0,4127.0,2428.0,1.0
item_value|subject_offset[8],2.354,0.408,1.604,3.127,0.01,0.007,1521.0,1521.0,1510.0,2395.0,1.0
item_value|subject_offset[9],-0.695,0.48,-1.598,0.206,0.007,0.006,4294.0,3117.0,4266.0,2482.0,1.0
item_value|subject_offset[10],0.011,0.505,-0.927,0.971,0.007,0.011,5560.0,1035.0,5593.0,2579.0,1.0
item_value|subject_offset[11],-0.927,0.375,-1.668,-0.271,0.007,0.005,2896.0,2685.0,2895.0,2576.0,1.0
item_value|subject_offset[12],2.728,0.419,1.904,3.462,0.011,0.008,1361.0,1361.0,1350.0,2613.0,1.0
item_value|subject_offset[13],-0.681,0.393,-1.387,0.087,0.007,0.005,3407.0,2902.0,3423.0,2372.0,1.0
item_value|subject_offset[14],-0.328,0.386,-1.031,0.413,0.006,0.006,3604.0,2411.0,3584.0,2896.0,1.0
item_value|subject_offset[15],-0.795,0.541,-1.897,0.159,0.008,0.007,4114.0,3032.0,4124.0,2399.0,1.0
item_value|subject_offset[16],-0.279,0.259,-0.772,0.192,0.006,0.004,1817.0,1804.0,1825.0,2373.0,1.0
item_value|subject_offset[17],0.965,0.248,0.502,1.416,0.007,0.005,1213.0,1213.0,1213.0,2132.0,1.0
item_value|subject_offset[18],1.463,0.397,0.709,2.188,0.008,0.006,2221.0,2221.0,2191.0,2522.0,1.0
item_value|subject_offset[19],0.1,0.357,-0.535,0.785,0.007,0.005,2959.0,2500.0,2941.0,2942.0,1.0
item_value|subject_offset[20],-0.114,0.462,-1.029,0.708,0.008,0.007,3559.0,2289.0,3570.0,2948.0,1.0
item_value|subject_offset[21],2.288,0.366,1.589,2.944,0.011,0.007,1191.0,1191.0,1184.0,2210.0,1.0
item_value|subject_offset[22],-0.964,0.396,-1.737,-0.26,0.007,0.005,3489.0,3087.0,3513.0,2710.0,1.0
item_value|subject_offset[23],1.012,0.664,-0.259,2.228,0.008,0.007,6306.0,4481.0,6282.0,2397.0,1.0
