,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.01440030375093795,0.006710764141998956,0.002070059650002452,0.028851269600352957,0.0002818370432363529,0.0002208710808965097,566.9539724029927,462.15199287770616,663.5992483163247,367.2465420809574,1.0009125324029575
zeta[0],0.0003167345617442218,0.006779273943122698,-0.01155458766517025,0.014455476324545009,0.0002436794324066205,0.00022136185912547128,773.9780039806158,469.5379902628901,895.0992146634031,576.1357012135817,1.0018000632540447
1|setsize_offset[0],-0.06075759421973591,0.8414477040489827,-1.714095391166998,1.4794344709112202,0.018225462232170843,0.015279484450864545,2131.5580090556223,1516.9592165191993,2124.5905185698,1629.2827897331526,1.0008308892959867
1|setsize_offset[1],-0.44355200336067174,0.8181684458789974,-2.0166738680164396,1.110919085440333,0.01764078975123695,0.01311979049372666,2151.044546690947,1945.055184921552,2132.9692831463194,2310.038322233116,0.9999034392297413
1|setsize_offset[2],0.061474880456285914,0.8091789999290208,-1.4259922902257505,1.6191477140604098,0.016784740270119395,0.013489219864052899,2324.12753505277,1799.8086306717487,2269.891930558871,2370.491154282514,1.0005901193060267
1|setsize_offset[3],0.39895626637308107,0.8380284191992373,-1.103674727133518,2.120930172365567,0.01980649144657893,0.014007586842193855,1790.2034586974653,1790.2034586974653,1768.8564821496295,1920.9476976583367,0.999732393231131
zeta|setsize_offset[0],-0.0772886982140493,0.8911366444716946,-1.633786090195821,1.7040011856576986,0.018261788829171607,0.01595805770998986,2381.2334377359853,1559.7715833272462,2389.9347084661345,2013.068379743546,1.0001128442230678
zeta|setsize_offset[1],-0.051943500803194265,0.9009414806337419,-1.680707338050711,1.7148735956073649,0.01810486651649381,0.018770966823287473,2476.295745143588,1152.4173424101612,2476.683548039463,1839.5981879627998,1.0009975332667822
zeta|setsize_offset[2],-0.042838423760835354,0.8975882533402875,-1.8559708326826987,1.5271151474391547,0.03232467434750789,0.03136365322634462,771.056147613443,410.0995724895183,912.7973305889835,572.4885681145879,1.0013206967778692
zeta|setsize_offset[3],0.1488393544300064,0.8862180211489827,-1.5803148687589577,1.7606607243944106,0.0218142749190232,0.017732002625188054,1650.439427500738,1249.5061342146864,1653.426398627624,715.5238456296019,1.0028438172599075
1|setsize_sd,0.008832032761509161,0.007982623753230205,1.4409529772687216e-05,0.022668562894026155,0.00041343926183750733,0.000336536383704132,372.79311846886225,281.90129867098284,476.5922997574171,391.15896927013756,1.0002749988551316
1|setsize[0],-0.0007573439504317173,0.007430335767679657,-0.017169314082175303,0.01249010637737365,0.00031751016394290625,0.0002342549465896665,547.6481367573313,503.63130487241506,720.25970180593,400.46525175355293,1.0008478477829903
1|setsize[1],-0.004223407141669654,0.00747445542445116,-0.02046919316869486,0.008853784970504205,0.00029947358870433953,0.00022433086678993035,622.9340330939518,555.6576039318667,853.0490891513946,604.5559024080682,1.000342509523925
1|setsize[2],0.0005694014598498392,0.006916445050925855,-0.013021502531626383,0.014603754541736487,0.00025508929518984355,0.00018044698088765098,735.1591961368179,735.1591961368179,855.9053058997844,647.5457220002896,1.001432153079197
1|setsize[3],0.0035083288092676575,0.00771290211345818,-0.009445599637712594,0.019871540862013527,0.0002988423998918301,0.00024619451659390766,666.1180599020634,491.3205039400186,819.0349144293649,723.7857075180443,1.0000288189372255
zeta|setsize_sd,0.007690100220989218,0.007772939543675361,5.351042179008861e-08,0.02224937402175939,0.00036198251062368754,0.0002969698919809061,461.1002991575806,343.1269434997737,576.1631037751715,463.0405506254528,1.0005977690000463
zeta|setsize[0],-0.0007842845482024922,0.007130147473251209,-0.01572321043261185,0.012535617005324727,0.00020583957687716597,0.0001478844314363072,1199.8840049938528,1162.8937462168285,1459.2378379872248,957.7603159672499,1.001142348205398
zeta|setsize[1],-0.00036357368357338297,0.007144500036640117,-0.016130408236890287,0.012449240829755567,0.00023839500927231327,0.0002447656803595332,898.1510188949906,426.58640061090523,1524.6020011201442,723.568409008137,1.0019947327296248
zeta|setsize[2],-0.0002699880891716796,0.006349545712821112,-0.011964361279517116,0.012992907190532851,0.00021906849484798122,0.00015495863076687183,840.0893124409387,840.0893124409387,925.1094741341134,617.506333536077,1.001519177285524
zeta|setsize[3],0.0015615748543431154,0.007083330330738679,-0.01020632468894521,0.018254576099290407,0.00025644585895362687,0.00020936937513219185,762.9280982978113,572.8767205738945,1013.335189760017,671.9328960765417,1.0007078365499311
gamma_sd,0.05606225723407604,0.001501194814623253,0.053424645914541484,0.05815109691463389,3.2707368132895096e-05,2.3317262254581912e-05,2106.604041359576,2073.056920202012,1681.4720807230024,1702.8290485522598,1.001031422453489
