,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.41196238021097525,0.05158183293396676,0.3118512383150101,0.5016361820054757,0.003837591916877372,0.002717980171970276,180.66580462801556,180.66580462801556,178.84519953564782,177.1700899222837,1.0077848022075298
RT[0],0.008076198556836058,0.009694696259894291,-0.009505380818082424,0.023870712781419723,0.0013738567224361397,0.0011548432359854445,49.794976027687845,35.82078399916585,57.26685317765224,248.58342137999145,1.0390019570099425
1|setsize_offset[0],-0.3829717024912805,0.8819254380462689,-1.927522281300753,1.3384650387874701,0.07387657884991204,0.0523459167922744,142.51159079656995,142.51159079656995,145.9425792731669,258.57350139649833,1.0100219999280011
1|setsize_offset[1],0.0326504598904752,0.8154696733619352,-1.4736556429933017,1.6142835536001363,0.027301543728294114,0.02443822117531666,892.1568628553747,557.3157380002979,894.4771249520197,1632.324088607472,1.0335552896049
1|setsize_offset[2],0.25796741189662803,0.8750728986812678,-1.2883039745088756,1.8533833300637057,0.12158535919282608,0.08646262242460247,51.799540030963065,51.799540030963065,53.757994022266914,94.96329630974682,1.0411288587651084
1|setsize_offset[3],0.18757301216091246,0.8705869503018021,-1.596629687282785,1.8276804946675265,0.0486217519474272,0.05434459256893466,320.59969087206593,128.89984708189027,369.0676902606566,207.26089826059584,1.0485175759798628
RT|setsize_offset[0],0.2313863163745613,0.8948599907023205,-1.607525922861826,1.7894195628341523,0.035407590934486144,0.025048389310640372,638.7301607067931,638.7301607067931,622.7736408214824,658.0021057667605,1.0012210233840473
RT|setsize_offset[1],-0.0272829365240311,0.8044168663615433,-1.369058356438733,1.67095268883031,0.0397541678659125,0.028130490326792594,409.4463476192322,409.4463476192322,404.2627534831092,1836.5959807189854,1.0220821803400142
RT|setsize_offset[2],-0.19785486116238746,0.8990951167415224,-1.697892150729412,1.4800683479691668,0.11845561568379007,0.08418852623442753,57.61027775093261,57.61027775093261,61.111273853459515,91.10409535070664,1.0386893269780448
RT|setsize_offset[3],-0.21590183243475278,0.8421315720092933,-1.877835599884274,1.4686654210888668,0.042187859262361974,0.035989468828888656,398.46017571539886,274.34915706899153,422.27478488557364,247.00245817910417,1.0196842104779922
1|setsize_sd,0.054063679321230455,0.05165260048397898,0.0022037352020114,0.15505558840906877,0.015010879707980887,0.010887317837687292,11.840555917744837,11.840555917744837,17.224473532438385,106.84179543913442,1.0905358486373946
1|setsize[0],-0.02747188087734511,0.06055096308816591,-0.18333280326125617,0.04225008615783189,0.01214513729532726,0.014117814340990194,24.85634412999393,9.784750457654624,43.1720726683347,23.52146546590878,1.0994363670388023
1|setsize[1],8.279268751571155e-05,0.0406335200596393,-0.0707991976272894,0.0862280116417184,0.003393966735472149,0.0024263875338439525,143.3354883411194,140.80635850105045,166.63140164109902,97.38154720390672,1.0123580836806112
1|setsize[2],0.024726251576471053,0.06837722115777041,-0.05587841807650855,0.20169936382854864,0.02003260922896658,0.014535764520918258,11.65058829105208,11.65058829105208,22.687049059208753,38.60282122521925,1.0952756173496465
1|setsize[3],0.012078433687543935,0.044496193970300024,-0.07119929278858275,0.10436718877452171,0.004382446219139591,0.003226298431667737,103.08905037967101,95.68942309780344,149.17356833413103,96.13691127946144,1.0194781398681971
RT|setsize_sd,0.010719026215597982,0.012236109959428133,7.934032512324963e-05,0.03586531280683953,0.0023430596436921115,0.0016748423720884319,27.272192544149675,27.272192544149675,50.31033366166339,46.0918557184432,1.041185189180623
RT|setsize[0],0.0036931020965722925,0.009727694395531858,-0.010381238958815688,0.02471501806970572,0.0012687542596962768,0.0009016340392462099,58.78476820404265,58.78476820404265,89.79015260334074,161.00502763244398,1.0271806454731227
RT|setsize[1],-0.001107144571474509,0.008356350964433337,-0.022597274545040857,0.010868055991635438,0.0019166762726637756,0.0013766525427608399,19.007973189499044,19.007973189499044,22.942132529322354,24.517026467565575,1.0800778494049335
RT|setsize[2],-0.005548293580239027,0.01669776031098657,-0.05805817140460871,0.009707637024544965,0.00457953218741648,0.003312042599102213,13.294567508532086,13.294567508532086,31.376477353029856,18.557704530963214,1.0741562132861688
RT|setsize[3],-0.00367486248569461,0.009015153606924608,-0.02383281665435496,0.010246388827669789,0.002014832712266884,0.0015112215934973646,20.020193708833926,18.378722735300773,25.814344470002478,19.15884951068387,1.0782202542693107
last_gaze_to_choice_sd,0.23077620003809235,0.0065471858173069605,0.2205901113888656,0.2399976383695622,0.0008668887360219237,0.0006251076333514034,57.04040677064243,55.43309475214428,53.70438702911768,1010.5408914957276,1.036754937635593
