,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],11.664393424275831,3.2234433049864424,5.27644001158875,17.406964838780905,0.20717466420478398,0.150141034124034,242.08438926072643,231.05182245880775,271.80476849521676,199.13451352470682,1.0082277575933687
obs_p_choose_best[0],0.7101606764158801,0.03961619889642408,0.6394475517174236,0.7833121999321374,0.0025186680631915166,0.001783071107094594,247.40230193801182,247.40230193801182,273.7418560229586,218.89614161404654,1.0145336474805906
1|setsize_offset[0],0.4957337145384975,0.8184912109905456,-1.1289441446270485,1.9040014583825218,0.06707561262215923,0.047522836602837286,148.90138754642456,148.90138754642456,149.58796965735945,242.94137946507357,1.0128993740536085
1|setsize_offset[1],-0.3889924332096907,0.8338958551002346,-1.877830721421105,1.2422509459607745,0.0731854166203892,0.05186660922789715,129.82984284688112,129.82984284688112,136.8111006188725,164.6103930598632,1.005025280128022
1|setsize_offset[2],-0.06347684596266617,0.8738002658411514,-1.7719023223624835,1.45375333507359,0.07380235950124112,0.0595812182191505,140.17928860513092,108.12503281686546,143.4752905196065,125.00515333982595,1.0167029444589664
1|setsize_offset[3],-0.1734354282959877,0.8201909587332247,-1.8597903807829939,1.2417635729116976,0.055027358482846886,0.038961416096075424,222.16345667382208,222.16345667382208,220.22194463009794,213.7767170756061,1.0079535121619856
obs_p_choose_best|setsize_offset[0],0.5672103192058973,0.8897816521562073,-1.196237249877157,2.1818560313367907,0.069658877191089,0.0493445846480814,163.16009605391656,163.16009605391656,163.52083350899173,390.6527476156241,1.006398963669224
obs_p_choose_best|setsize_offset[1],-0.16510566662519935,0.8099581836127152,-1.714725983882107,1.297515835616917,0.04727417315665829,0.033461158554952936,293.54677425177385,293.54677425177385,289.09867958041735,1042.2042584043147,1.013525890033445
obs_p_choose_best|setsize_offset[2],0.02869241700247601,0.8281046311949285,-1.586761650481884,1.5821993001882506,0.033862330114387496,0.02395597051935507,598.0489723805462,598.0489723805462,589.3316022592896,922.0908080441496,1.0102371320372034
obs_p_choose_best|setsize_offset[3],-0.28419256456282066,0.7975643969735542,-1.7390964366427013,1.2980286448355132,0.029890831700619708,0.021144674572432534,711.9598770257255,711.9598770257255,696.0821613835127,1477.3234589932285,1.003605805026377
1|setsize_sd,1.8526568525009448,1.8371695351379125,0.0970821828027419,5.387542197900444,0.4170843414723992,0.29947384620837114,19.402187588968484,19.402187588968484,15.22587706699166,42.58887601775031,1.1081022595392744
1|setsize[0],0.8968283012311773,1.5763967840877824,-1.2694917039249056,4.617255056296199,0.16460798567305057,0.12064442523380793,91.71265784923128,85.95006131922082,97.7164877645563,143.3978117009398,1.03926673307485
1|setsize[1],-0.8968889392535482,1.7431929651177729,-5.113985485350844,1.3977168216007638,0.20315843314800314,0.1442276749617414,73.62430697454482,73.62430697454482,91.3565601185578,146.13345006963888,1.0301764798845134
1|setsize[2],-0.27557264818810223,1.7374907733412388,-4.85285404279955,2.513469107905499,0.19787961832650267,0.1594256869458542,77.09795985124245,59.971879975043436,108.27287876666247,42.734002608577725,1.0478838224365332
1|setsize[3],-0.3775427549620766,1.5288979315574547,-3.344518891498243,2.4230794345101843,0.11995039563225973,0.08497047766258252,162.46268134914,162.46268134914,166.46937855785782,217.0855259878808,1.0295932516167448
obs_p_choose_best|setsize_sd,0.0250496461036993,0.018205764737512835,2.7876317181518326e-05,0.06070272417375049,0.000986039981766103,0.0007108133214981069,340.9014140019705,328.5856266815473,363.71091583533297,297.01106206241656,1.0098917023647458
obs_p_choose_best|setsize[0],0.01333755672824738,0.022104735361132083,-0.024745990743352427,0.06279355910203131,0.0020887039462237967,0.0014808000839767724,111.99970151150019,111.99970151150019,116.38602663827574,117.00508739443669,1.0081040699093928
obs_p_choose_best|setsize[1],-0.0025246936345420428,0.01999290605169762,-0.046446573644149156,0.03533584269000199,0.0017387194654860578,0.001232182683599251,132.21868027959195,132.21868027959195,141.05668874104566,159.7323767996424,1.0246805486506985
obs_p_choose_best|setsize[2],0.001415391592697248,0.019674188631484305,-0.03781346623945773,0.042079477211763416,0.001675771910247958,0.0011874661578841065,137.83637698661093,137.83637698661093,181.31454371432187,119.30285776913132,1.0216684081219274
obs_p_choose_best|setsize[3],-0.006614895763733666,0.019009759710186667,-0.04818220428172984,0.02598403627405206,0.0013159593749733627,0.0009795156580088634,208.6739754194887,188.90527290577424,234.51733823772727,212.4033850582553,1.0044105485999564
pred_p_choose_best_sd,7.107900078719776,0.36620151879563295,6.424928917947832,7.812104577894174,0.007284787838297014,0.005151717536914641,2527.0071254023396,2527.0071254023396,2475.061741166344,1842.6879312526855,1.0002300247017333
