,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],14.552291423364688,3.4762836429036543,8.079960134722265,21.205856013728862,0.11490269565012906,0.08127437933642563,915.3137256116354,915.3137256116354,943.6059576843505,1328.3153137846882,1.0017439787001405
obs_p_choose_best[0],0.7040500108540477,0.04139424152434082,0.6229095862275685,0.7770043766584248,0.0013186231527574368,0.0009326834773835745,985.4587835308625,985.4587835308625,1043.5032800857568,711.5787327105992,1.000655832493608
1|setsize_offset[0],0.14876700749296892,0.8482516611203499,-1.4491078142469127,1.8253779149002483,0.02092411501298452,0.01593520406500601,1643.4452500314924,1417.369117909317,1639.1673277917769,1475.6303118095075,0.9998492484547358
1|setsize_offset[1],-0.3782506567279899,0.861574149325859,-2.0304024511387024,1.1885748467993036,0.023865870272506702,0.016879496899357197,1303.2591076456558,1303.2591076456558,1312.4670274366647,1777.3656708505694,1.0001163190908688
1|setsize_offset[2],0.13459699999190158,0.8380676218960718,-1.3892773158395473,1.8245709132618897,0.021261073972911264,0.016282145754693642,1553.7735625904836,1325.244672223039,1537.6590385150282,1774.6129185553807,1.0004962850876475
1|setsize_offset[3],0.025770175513139874,0.8243892413979178,-1.475643356293093,1.5682173616360247,0.019337592385794442,0.015346032236455665,1817.4389351077812,1443.5039216384375,1817.7515552375864,1823.0381416998237,1.0009894108979913
obs_p_choose_best|setsize_offset[0],0.20501326036370512,0.8207501113596555,-1.3631660809229365,1.7144553502851871,0.015030576305994992,0.01340551132864099,2981.7459304545546,1874.8230704113757,3033.4799193219237,2253.3513828358587,1.0007546807462437
obs_p_choose_best|setsize_offset[1],-0.3612811503319782,0.8587254114585335,-1.967997330362948,1.2801837454562726,0.01764655061759025,0.012620987031787873,2368.039689580174,2315.268856677561,2347.3684047876395,2807.800841378777,1.0000299616788166
obs_p_choose_best|setsize_offset[2],0.10637504151799762,0.8172826476623797,-1.4318432968748072,1.6755112339474267,0.014093775474339706,0.013093745296737909,3362.7134371109387,1948.573622282375,3373.3830520844112,2944.161737840913,1.0008992874000935
obs_p_choose_best|setsize_offset[3],0.10234356381499142,0.8193173615064849,-1.451788415941421,1.6524709614905526,0.014171112587731962,0.013533866458371933,3342.6924355599103,1833.0266553985568,3372.625034720537,2293.4843071704267,1.0006574837263793
1|setsize_sd,2.22917294725612,2.3839004858513717,0.002927045150955597,6.2614786601473655,0.11388776992763136,0.08058448296108742,438.1492436562309,438.1492436562309,353.3153927099443,508.6711284860449,1.0077194891037045
1|setsize[0],0.2635783318989752,2.0213348645970686,-3.807369360540824,4.067544690233862,0.06480833907463038,0.053117702941240304,972.780264223331,724.6323953488067,1253.8690861222806,974.3452345805212,1.003950735416601
1|setsize[1],-0.8807417904187823,2.135771449896674,-5.561230054220275,2.789403733734799,0.07213067761170402,0.05171560557774403,876.7373923378235,853.3620433779215,949.2695986894347,997.2453460005213,1.0020950273676723
1|setsize[2],0.1813847982459768,2.0555725789870243,-3.8698308467010394,3.970645634909568,0.06786106648943047,0.058232895445811915,917.5384443191001,623.5989104266483,1168.6327406436435,1016.3964822352643,1.0022951843896233
1|setsize[3],0.016562537913923165,1.9651876451986177,-3.9441469056765253,3.772322349410039,0.05911354677779642,0.050843368879462676,1105.1825400008495,747.5641405446255,1372.2891621521765,1045.409226102365,1.00332221734887
obs_p_choose_best|setsize_sd,0.0279447131042166,0.02939964266397244,4.551591435988968e-05,0.07829354168511281,0.00136535927264961,0.0010874277672367504,463.6499480245709,366.054722554993,654.6383800465877,576.9156071215846,1.0044050181288235
obs_p_choose_best|setsize[0],0.0061711381989515614,0.02363202894447125,-0.03361317389402751,0.06275742084136827,0.000854590439958253,0.000817570167188286,764.6909658366769,418.3387010430529,1196.5941967955748,733.6962004783112,1.0010107975102016
obs_p_choose_best|setsize[1],-0.008520852949791484,0.02297805012883127,-0.05421940348498379,0.03362152672831462,0.0006668685511052489,0.0006415184711350629,1187.2600954869683,642.0558515566667,1555.3161915408082,1343.8061206485586,1.0015285295291831
obs_p_choose_best|setsize[2],0.003959065496052209,0.022873197875931874,-0.04416032398074536,0.05088509443364018,0.0007178251830480897,0.0005797450120668991,1015.3514501139266,778.888228163741,1404.631277335913,889.7537426675304,1.0034540124883242
obs_p_choose_best|setsize[3],0.00372007163720208,0.022230238422584266,-0.04410284620310724,0.049001820520951374,0.0006789103925653743,0.0005878669515006962,1072.1692011302166,715.5736882855933,1506.6575651625258,1047.0757269974777,1.0015680910605893
pred_p_choose_best_sd,7.39839221482581,0.38579159714665695,6.733057327172139,8.181548692769192,0.007145093099370269,0.005091081564158177,2915.3435775237476,2871.7303079679223,2928.2396144854924,2085.662884257449,1.0007196220224246
