,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],21.041227031979464,3.2027449772907755,14.733973766407678,26.720182394705535,0.17518983310893493,0.13385564477363754,334.21575575409804,286.830716542844,400.5294189000649,219.27673512923496,1.0056994062121096
obs_p_choose_best[0],0.6406100061720609,0.039984361547074534,0.5599739748835317,0.7149554451042527,0.002487279691961744,0.001760761185616653,258.422952266681,258.422952266681,268.3544858445489,87.40841495008227,1.0029141060578075
1|setsize_offset[0],0.04600657827462007,0.8266764622134909,-1.4208896186582063,1.7120320649742469,0.03533629630645593,0.024999862537979634,547.3045876406348,547.3045876406348,536.3707285856464,832.5585321852003,1.0022183887137692
1|setsize_offset[1],-0.3098059362505849,0.8512876947937121,-1.9707773776624664,1.220353215673669,0.0445985466624804,0.0315612146108006,364.3437286206609,364.3437286206609,370.8070183132205,870.2376700765279,1.00669299919943
1|setsize_offset[2],-0.10546445430618329,0.8652976604697287,-1.6290086046830767,1.676987914733884,0.04667520379423091,0.033032402809312286,343.6834452645428,343.6834452645428,338.9193321362883,187.65536772375782,1.0082486041921919
1|setsize_offset[3],0.17214895301533104,0.8875619670643561,-1.3803682531427433,1.8284131227234475,0.03581092625099408,0.025334181758648544,614.2798359186562,614.2798359186562,604.3787021886207,793.8881641358483,1.0123171695443245
obs_p_choose_best|setsize_offset[0],0.030326881193170143,0.7956227447274892,-1.5597620624396482,1.479748064148199,0.021940752408771934,0.01551789732972148,1314.956380129248,1314.956380129248,1256.706557275081,2288.334810759319,1.0021885862355098
obs_p_choose_best|setsize_offset[1],-0.26919451619757495,0.8108606963886834,-1.7962739476347414,1.3320306192076483,0.02439330365516939,0.017253225410705855,1104.9719563530548,1104.9719563530548,1031.7824440754987,1277.3680208548008,1.0033467973817374
obs_p_choose_best|setsize_offset[2],-0.08004259449350516,0.7861267334635031,-1.5558421964496558,1.4053464941335525,0.025761713416047306,0.01822199102556533,931.1842923231193,931.1842923231193,897.1020538053133,2169.4370175766526,1.0043283547203552
obs_p_choose_best|setsize_offset[3],0.5278512871218736,0.8674891118076029,-1.0906920361401615,2.2047405308528507,0.031494847940489616,0.022278787908973655,758.6632256855485,758.6632256855485,724.2081463300476,2319.38604113364,1.0049251525546117
1|setsize_sd,2.0276774573441614,2.2420837593089797,0.011958022392824367,6.420958200421251,0.221546028805924,0.15710500563652777,102.41786686345486,102.41786686345486,86.01014689608257,163.83985301559022,1.0179674693139689
1|setsize[0],-0.02826444117615156,1.6754720920177677,-3.7000382762762416,2.594318283235386,0.10177703378761363,0.07204482764793967,271.0034486187799,271.0034486187799,243.3077597132961,259.0401916716685,1.007395487773889
1|setsize[1],-0.742959007949341,1.9683005355851844,-4.345237463204999,2.7952275326157126,0.16948989589719862,0.12010760550583063,134.86373881698958,134.86373881698958,139.85401761225796,89.26329276785918,1.01111925422091
1|setsize[2],-0.385985490798134,2.0422596706976615,-4.013207399763971,3.0572074652168593,0.1823162277065298,0.12921789155449154,125.47906383478849,125.47906383478849,132.75290148133334,168.02135535627744,1.0141032954908553
1|setsize[3],0.09393120806571703,1.8270730636106063,-4.1412522774502625,3.2724524220644993,0.11649768738655591,0.08247418401054293,245.96721362830672,245.96721362830672,333.1148288435532,104.42209500969227,1.0026986985225501
obs_p_choose_best|setsize_sd,0.026914333964113645,0.024166681927491378,2.1305984567236134e-05,0.07043858233846316,0.0017553002264311284,0.0014310604764522202,189.55324975451103,143.17325264539994,292.222758618769,173.06281075053795,1.0055259532775527
obs_p_choose_best|setsize[0],0.00119563920789062,0.019807566698387864,-0.042026823308666555,0.038869414551243084,0.0013542732095614492,0.0011284437372842916,213.9191574913938,154.637366383825,315.05748179490155,121.36139727490993,1.0087483557164392
obs_p_choose_best|setsize[1],-0.0050469778140028575,0.019623496686448975,-0.05055452295672882,0.027955195158790688,0.0010961828050614147,0.0007758248438282844,320.46958793711667,320.46958793711667,343.3057055494794,322.58280495725006,1.0091356378059253
obs_p_choose_best|setsize[2],-4.514979279107367e-05,0.020707022697513296,-0.038912446197794444,0.04612442701104879,0.001483414760521745,0.0010505067427074848,194.85435956629718,194.85435956629718,265.27755327224077,142.62028777757746,1.0084160274638203
obs_p_choose_best|setsize[3],0.014826497696821704,0.024183747490495976,-0.024626857752396248,0.07044319045203112,0.0022128701151211453,0.002016896725768355,119.43602798056939,72.4707369307485,203.99227413834274,81.38016241100777,1.0079858840166172
pred_p_choose_best_sd,6.911745350962323,0.35831439649825864,6.276218508951566,7.596494449864644,0.010663158158219816,0.0076661244780208086,1129.1634550906044,1092.8955702288397,1185.8671039976266,938.1653722413174,1.0016142019340815
