,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.02172374863213656,0.0035042395726224934,0.015254710835992748,0.028350066692895824,0.00017133483180916206,0.00012123659558005704,418.30808076443907,418.30808076443907,418.6963884545497,1243.4033227176776,1.0017803280093631
cached_value[0],0.026714367220029712,0.003254865790439836,0.020487560959620853,0.032842435313960375,0.00017233376291984426,0.00012195814755206274,356.71833284801926,356.71833284801926,357.4553073390822,685.0442756050717,1.0016726110879068
cumulative_time[0],2.2619783141638156e-05,3.0125727242012617e-06,1.6908006313800006e-05,2.8037116948963588e-05,1.5499566243978852e-07,1.096832120257164e-07,377.7774146722737,377.7774146722737,378.18061767771326,694.6130942834757,1.0022982787949837
setsize[0],-0.002229159023236356,0.00010521732238195783,-0.0024168834293205547,-0.002021983029034647,4.601542362490018e-06,3.2694309498545532e-06,522.838598504015,518.4288402856853,531.6462876223873,945.5348638384567,1.0014212590733669
1|subject_offset[0],-0.8387412311868641,0.5107875754214045,-1.7367939278889395,0.1316068808876549,0.02144235135217831,0.015169831944985614,567.4607575455261,567.4607575455261,565.3096154387164,1618.8832984830801,1.001137507415461
1|subject_offset[1],-0.22327818319993561,0.7949349392824397,-1.6900172107754716,1.2590509936697343,0.03736297556746421,0.02643665498312967,452.6684847611459,452.6684847611459,458.43943700181507,786.5326779116223,1.005972215677719
1|subject_offset[2],-0.04743193901568955,0.5990817742164446,-1.192769237420823,1.0512817362541658,0.021621564797431853,0.015294567310935878,767.7113679859973,767.7113679859973,766.1476746468592,1243.4820378224506,1.0006888653177146
1|subject_offset[3],-0.1807680555051454,0.5229158545452198,-1.1509806582446898,0.7794899278370856,0.021755571996431484,0.015391285574972031,577.7269229343548,577.7269229343548,577.1498042975151,1200.2271448133251,1.0058176070268277
1|subject_offset[4],-0.5245761131547295,0.5861439851491792,-1.649808004797927,0.5626110911514122,0.024971223210329345,0.017666676930935495,550.9713189651803,550.9713189651803,556.1639789836483,680.5140597178657,1.0062912150507295
1|subject_offset[5],2.3515426400705137,0.6309488181833989,1.2463937215992578,3.6231392073592668,0.03223206784305995,0.023071778210117244,383.18802231436774,374.5184380529929,384.7260178669716,821.9073852825185,1.0044073187927935
