,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.4163788644279891,0.036706322930045776,0.342994298877864,0.48045511050294987,0.003020690415713164,0.0021421561598070258,147.66219737272536,147.39149886699775,148.16549019256428,425.3830962651924,1.0377387992493676
setsize[0],0.0013657368936168446,0.0006984418951753103,-1.357368994267731e-05,0.0026183111528046378,1.9368541107671967e-05,1.3698699796573931e-05,1300.3694107867377,1300.3694107867377,1297.8758176458186,1715.3119465120758,1.0010333626109593
1|subject_offset[0],-0.821002371250638,0.30626656722025064,-1.3863356794588437,-0.24132777895074142,0.013117402248385335,0.00928037128951882,545.1342997040083,545.1342997040083,544.739547170747,1559.6203999234028,1.0127229181923996
1|subject_offset[1],-0.3864145140767277,0.29727364563985076,-0.9478790756880785,0.1747544593802851,0.012943644236489901,0.009157604297986347,527.4723308218538,527.4723308218538,525.868782569768,1368.8919386396035,1.013699668022272
1|subject_offset[2],-0.4647770301622395,0.29387399605611536,-1.0176038296637353,0.09082462403832074,0.012414363872795866,0.008782853953793957,560.3680629819577,560.3680629819577,562.5273431978122,1241.9886581744743,1.011514221002311
1|subject_offset[3],-0.5025804417227262,0.29803691435786384,-1.0854603816979653,0.03299533072643073,0.012246262519621196,0.008663683101190757,592.2880722373499,592.2880722373499,595.4311015294513,1456.6114467095128,1.0115120641513553
1|subject_offset[4],-0.26612222962103155,0.28958358787671196,-0.8308337905782183,0.25569772135048296,0.010046285370990199,0.007106291682587906,830.877251133416,830.877251133416,831.6086203806851,1572.3272185543196,1.0073770297728493
1|subject_offset[5],0.3871156948159382,0.313314185907019,-0.2278325956671389,0.9447564726216211,0.010142580723698105,0.0071740808345512955,954.2522044864028,954.2522044864028,951.355779496954,1994.0734188655563,1.006136240976126
1|subject_offset[6],-0.49075031627146826,0.3056683640957097,-1.0490912329307365,0.08090944010638608,0.014736321503259295,0.010427224830967266,430.25191239306673,430.25191239306673,426.3404493007718,1682.69348685361,1.0107130883785842
1|subject_offset[7],-0.13838542322248587,0.2902402355030149,-0.7195653256248602,0.37670494032219776,0.012313690025218,0.008711668917251045,555.5700198240761,555.5700198240761,556.430999129145,1694.8786449317192,1.0103950314670496
1|subject_offset[8],2.2956076809951607,0.3639854677291027,1.6522058171884026,3.013383166518714,0.01555046783695818,0.011001700323277054,547.8746049805618,547.8746049805618,543.6236695498171,1129.9273541615985,1.000105265197851
1|subject_offset[9],-0.4577528330528616,0.30108251902527033,-1.0138485797251082,0.10997609854442367,0.011867476851063105,0.008395378854446769,643.6567015696609,643.6567015696609,635.1763994867322,1842.7305204049737,1.0091229537053372
1|subject_offset[10],-0.05918442287714354,0.29209152356675055,-0.5946636389131594,0.4941805690374294,0.011329368410742358,0.008014591068510383,664.7012707470451,664.7012707470451,665.189392145567,1322.8850766831717,1.0085058008772783
1|subject_offset[11],-0.2919234363659925,0.2889057456064366,-0.8286087209195556,0.24378917800992728,0.01053046113897665,0.007449047758083521,752.6924821672683,752.6924821672683,755.3246944130049,1914.2953398537638,1.0094257925296375
1|subject_offset[12],2.3040791394279707,0.36302310304774393,1.6199762126544588,2.970892748196622,0.015877214682344598,0.011233155761881167,522.7811204921563,522.7811204921563,518.910952812273,1051.5290217097001,1.000971192421487
1|subject_offset[13],-0.7704208496161017,0.30429981985570703,-1.3483615238249218,-0.20526681426785667,0.015001663349002891,0.01061530643953254,411.4570992140165,411.4570992140165,414.79993386885116,1389.9264266150444,1.0173445579504323
1|subject_offset[14],0.3421570046319245,0.28660844364146393,-0.19136792641191516,0.8872870975141313,0.009987812263974605,0.007064952817763465,823.4499746900689,823.4499746900689,827.649921180724,1813.76272989624,1.0079078529718422
1|subject_offset[15],0.013668252003821537,0.31314975955564606,-0.5491833338502443,0.6289146693994511,0.01043842631186415,0.007383475415401036,899.9825848138518,899.9825848138518,900.0331742149568,2140.6468749622973,1.0078062919622832
1|subject_offset[16],0.3870460008680065,0.28965211249588846,-0.1734208752218925,0.9215948635063805,0.01047629687622107,0.007410688855059772,764.4301480105033,764.4301480105033,763.018477723192,1428.8529062339687,1.0082168273886056
1|subject_offset[17],2.280144489300659,0.3632415656015409,1.6134751569175587,2.9842182993926416,0.01602532177806623,0.011338052744365517,513.7804330364174,513.7804330364174,513.4579583295229,1218.6738953445326,1.00083491790321
1|subject_offset[18],-1.3366379865970355,0.3240637260816584,-1.9551717027450892,-0.7272673498634127,0.01720416015438416,0.012175192604241322,354.80839655285894,354.80839655285894,351.4760963790793,896.3005691064357,1.0142454569395256
1|subject_offset[19],0.5527927196633833,0.2977868734919085,-0.04631453936583313,1.093326210939376,0.011313468906924307,0.008003200814498047,692.8185780932848,692.8185780932848,693.8148832717584,1579.18812856189,1.006958940428408
1|subject_offset[20],-0.8589287217537651,0.3072526204684807,-1.4595209358741292,-0.31464834609240805,0.014548023046972029,0.010293739807492085,446.0496781188275,446.0496781188275,444.9482476351812,1381.038600365072,1.0149298745076527
1|subject_offset[21],1.112828152552907,0.2954964696360399,0.559648767008257,1.675049926222523,0.011571508381572043,0.008185954466534723,652.1156828320753,652.1156828320753,651.3454975822078,1470.2540008469327,1.0029505699713122
1|subject_offset[22],0.6805162865537703,0.2924338074129206,0.14300940310491056,1.2449132978871862,0.011886559345588575,0.008409120328365792,605.2611956286137,605.2611956286137,606.5278226250414,1536.3267915330018,1.0054078997728955
1|subject_offset[23],0.16786325328867627,0.29493426190043437,-0.3869565440558502,0.6902541078716546,0.011903885220524126,0.008421320536034716,613.8651686995838,613.8651686995838,611.0263495507741,1886.8260960145255,1.0080940976491515
1|subject_offset[24],-0.898811224075737,0.3121876907099103,-1.4859706053378494,-0.3043954944185539,0.01390167662381324,0.009835660568506568,504.3095433657988,504.3095433657988,495.07064715322593,1438.9812877225634,1.0145832779623396
1|subject_offset[25],-0.3757431870343867,0.28559874087289205,-0.8951138912878628,0.17533048794574116,0.011685878054609406,0.008267201975104135,597.2963719748672,597.2963719748672,600.1570273436726,1566.8520445525621,1.0064966366345742
1|subject_offset[26],0.6555309548039069,0.2935648614022307,0.1400718670292062,1.2635775930072286,0.011042838674255701,0.007811690974247283,706.718868814085,706.718868814085,703.5660092298409,1561.528882267136,1.0083392847674548
1|subject_offset[27],-0.861663245608772,0.305914026826487,-1.4260372105463481,-0.26773252776182127,0.012979535272709123,0.009182740652491299,555.4954366454105,555.4954366454105,551.2104889279924,1354.5343923394605,1.010746055441419
1|subject_offset[28],-0.1667853979053509,0.29967063589878984,-0.7459720300771855,0.39018264612257236,0.012791075671716818,0.009049466934068585,548.8760013173917,548.8760013173917,550.5972132669592,1542.4923123933759,1.0079431758537774
1|subject_offset[29],-0.8448201746171042,0.30230770803359147,-1.3985885857929001,-0.2625014788830658,0.012811263513339251,0.009063680688491421,556.8195985306662,556.8195985306662,553.2802343578612,1162.9777238429563,1.010421226434324
1|subject_offset[30],-0.8222672572132355,0.32353488240558664,-1.4471165924704428,-0.24303814800442788,0.012539009708607227,0.008870306055086999,665.7570069851215,665.7570069851215,644.5125368848043,1628.1612134926318,1.011907104741107
1|subject_offset[31],-1.161880946975964,0.31009909990207424,-1.7313599499019925,-0.5874855902504814,0.015012350083630985,0.010622599337152957,426.6813341150615,426.6813341150615,434.28079439006865,1172.482962736801,1.0113824831278453
1|subject_offset[32],1.4596018393310608,0.3250865857329155,0.8428642119279061,2.0533759750790876,0.012531334746564224,0.00886483492029414,672.9819804807177,672.9819804807177,673.0015058130309,1375.0931246134614,1.0012533735265032
1|subject_offset[33],0.42853247528035854,0.2979775286501168,-0.1477013375006324,0.9583200543382855,0.010887956267837956,0.007701947785845832,748.9870212830114,748.9870212830114,745.4344999819242,1452.0748564565217,1.0077622669989905
