,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.15419111767623683,0.012634721972658901,0.1311215332838533,0.17786647777864692,0.00036176628932074143,0.00025641816299603145,1219.7622511695656,1214.5417903594357,1211.819599670441,1872.529328841913,0.9998774796481474
ms_time[0],9.926961692942084e-05,3.872298973708817e-06,9.21784634739451e-05,0.00010685408766288158,1.0097470507071202e-07,7.141406374859543e-08,1470.6609993664683,1470.6609993664683,1472.2864308442024,2166.0811466505993,1.0008301585061434
setsize[0],-0.007287282785116236,0.00035832281829966295,-0.007962021597598193,-0.00663027085390641,1.0959422156905417e-05,7.75159710178971e-06,1068.9899395829157,1068.9899395829157,1077.1982602667097,1813.2473127341489,1.0000147104860424
1|subject_offset[0],0.6623529117136727,0.2664046834130833,0.17088560601051736,1.1826812236384094,0.005334288149244839,0.0037723524924729588,2494.197084862244,2494.197084862244,2493.8583626921195,3184.052617203525,0.9996986641602036
1|subject_offset[1],-1.0682718692012683,0.2909951353745426,-1.5894667603483794,-0.5057408107479362,0.005455203884934099,0.0038698139866885826,2845.4403402089024,2827.8142667888114,2845.5033503788436,3105.080293375242,1.0001495845526003
1|subject_offset[2],-1.120307075772599,0.3333384275983811,-1.7805537887477396,-0.5239847793852968,0.00607342615836056,0.004428947625412728,3012.33490152761,2832.8861340246663,3040.475641318877,2826.1509022415385,1.000281028597492
1|subject_offset[3],0.02536730431870991,0.2732541730348488,-0.46269163664831564,0.5566863531652101,0.004762254558453388,0.0038832580880030394,3292.3681653159415,2476.3579259254543,3284.943083428956,2843.4288804438875,1.0009768126420049
1|subject_offset[4],1.299609404293341,0.27018255096248645,0.8009425309838331,1.7994335443884555,0.005374463206418486,0.003823331631010964,2527.227900515472,2497.480537346679,2542.0879998155347,2945.9033894177264,1.0001605419857926
1|subject_offset[5],-1.4648576550296206,0.4330112964876052,-2.286492913837534,-0.6665544618247156,0.008674139355206657,0.006265344747167504,2491.9863710778236,2388.8263364774293,2523.4885067892774,2684.021271469439,1.0006885099580394
1|subject_offset[6],0.03220495565668448,0.2703101963759619,-0.5096351841942639,0.5179857724101563,0.005222108716197111,0.003846017784157547,2679.3721459048525,2470.4430482508396,2679.228016633955,2753.4910072116095,1.0005132525940705
1|subject_offset[7],-0.37740850027331546,0.27476756470411473,-0.9169572951003484,0.10666135555862798,0.004941901424329165,0.0036503618800432574,3091.311521050091,2833.4693056317888,3086.3593827841773,2587.597063426996,0.9996805192082364
1|subject_offset[8],-0.4194680226560037,0.2878211434268854,-0.9823775458729563,0.08298482022387989,0.0050707434855053425,0.003947097388305449,3221.8261755018625,2659.2244108606515,3253.7326379172746,2910.5493581416868,0.9999887332164178
1|subject_offset[9],-0.7084727292328372,0.29408309038575847,-1.2489315905256677,-0.1505165833972012,0.005280730801408617,0.003739757840707705,3101.3590590337,3092.4670366019377,3067.0196040932346,3077.731562445894,0.9997635244274962
1|subject_offset[10],-0.7537228756490316,0.32261885875141216,-1.3248594184312625,-0.12067169522174964,0.005554714551663019,0.004211112781304772,3373.3080980985783,2935.2296108284463,3399.2820483445666,3195.3688314687633,1.0000646066282388
1|subject_offset[11],0.3098035260820527,0.30688209970928515,-0.27219697116362934,0.8695676150295695,0.005445849037489288,0.004357854957102813,3175.4985404724403,2480.103117805242,3212.4513053632168,2767.2590828466705,1.0002274388568648
1|subject_offset[12],-0.5202346529782225,0.2705938555735718,-1.0191278467739848,-0.009981651050214011,0.004948178658780259,0.0034992319913322184,2990.5090278000666,2990.5090278000666,2990.1264183519233,2700.700098827358,1.0000665051211377
1|subject_offset[13],-0.1062529799505625,0.3030831049084461,-0.653858634942826,0.47882922294979713,0.005246707620876118,0.004661835444709504,3336.9502263750664,2113.9730222208573,3266.1956261205414,2503.6465791577166,1.0004036200456645
1|subject_offset[14],-1.1789345095364299,0.32044914914603323,-1.7826994168697978,-0.5876054550611465,0.006010467885438354,0.004263962240220973,2842.507920797795,2824.562908762757,2847.882353821642,2735.619004147109,1.0001917845827113
1|subject_offset[15],-0.3842885980701876,0.3556140338826342,-1.0562090271897253,0.2789533768409741,0.006002229587659038,0.004597176770577764,3510.205775197409,2992.4716801086233,3515.02631108431,2887.5745800662244,1.0001172663098337
1|subject_offset[16],0.8472339473873539,0.2737703999511864,0.34760374751326706,1.3618809303364097,0.005287572344312313,0.0037392851242541,2680.774822548866,2680.774822548866,2665.0007752352963,2867.769791049292,1.000086962810023
1|subject_offset[17],2.300903037321276,0.3302600985126489,1.7235156458586338,2.944324238357514,0.0074252837929180875,0.005251242820621743,1978.27242893823,1978.27242893823,1986.4256237161148,2993.297974229817,0.9997149242173935
1|subject_offset[18],0.1748427957377317,0.2882938828319355,-0.3428351416360896,0.7320155339654332,0.005035763356107635,0.0038942151216206015,3277.481343899202,2740.9014583719854,3278.8782721645425,3468.5898941366268,1.000241376824284
1|subject_offset[19],0.24015940399533262,0.2626849314123322,-0.2599153575539134,0.7218348770024732,0.004873324033037836,0.0035063623258446684,2905.492396909772,2806.835829341159,2906.2521142254345,2997.2762107127787,1.0008334687300755
1|subject_offset[20],0.4479879563439205,0.2823568192025534,-0.08549198046110791,0.9618166661347508,0.0050279608558025015,0.003679534389306438,3153.644868266463,2944.8750393282057,3165.2385908604706,2834.3773349044272,0.9998842346031648
