,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-247.06162297346611,135.17968666437912,-499.240694653243,10.98363567493075,7.180363503337989,5.96866287423338,354.429620150782,257.0547705279278,383.0587057792838,238.99664360664693,1.00477809543418
obs_rt[0],0.9846957397559661,0.023722984361281608,0.9357362384254381,1.025388162025362,0.00117792724553895,0.0008462174318621077,405.603515756218,393.54013667637946,517.0902256384359,293.23729777789276,1.003505781785569
1|setsize_offset[0],0.43081558342722337,0.76019319801671,-1.0570316723552273,1.8226084090908934,0.024143935448247507,0.017077365824496524,991.3610143407693,991.3610143407693,989.5523533792568,1560.0172291459728,1.0045365822632124
1|setsize_offset[1],0.10377777099111192,0.7450832132998793,-1.3830020833605032,1.4810665059211392,0.025712571011088443,0.018187852433803563,839.6891654921055,839.6891654921055,829.2514845403181,1427.3811379065137,1.0055748055807257
1|setsize_offset[2],0.07845768889739525,0.7443408332484138,-1.3683858581501112,1.488760513840807,0.02485452489408169,0.017580521636740162,896.8767316957577,896.8767316957577,885.8193326588507,1009.6131458339406,1.0020880364208724
1|setsize_offset[3],-0.6224433208528177,0.8161046890574611,-2.1472540034265344,0.9387399629331885,0.023149754785732442,0.01735193110507548,1242.793451261337,1106.6113641441298,1186.1992747574072,1554.8317855145501,1.0049962023922547
obs_rt|setsize_offset[0],-0.06612748495547262,0.8672221273190511,-1.6485284973266252,1.610061209026638,0.023216251076438453,0.016419801318039638,1395.3286676973487,1395.3286676973487,1400.8556554839438,2521.4160243973142,1.0035530973441447
obs_rt|setsize_offset[1],-0.05995797847261736,0.8276475831327511,-1.5380450925875822,1.5304522615335359,0.018901674919212852,0.013487505615218196,1917.301106973925,1883.3549119146646,1894.3950696215807,2998.960903843013,1.0011092307928637
obs_rt|setsize_offset[2],0.3692864975205437,0.8271900859812165,-1.117343707627041,1.961080992663733,0.0208078637727919,0.014716097893080001,1580.3586197382094,1580.3586197382094,1626.489469416588,2914.0738277292385,1.0004629487925112
obs_rt|setsize_offset[3],0.021930846241662215,0.8690416293636679,-1.7101489837041752,1.589660356058067,0.02819049614300596,0.019939812039113294,950.3328086852946,950.3328086852946,933.3244552952028,920.1120948237149,1.0022469151179174
1|setsize_sd,177.69526336592088,156.9010056200076,1.6887641459426,443.30397944705896,13.873327698406358,9.832381236948917,127.9057782953602,127.9057782953602,140.0636203423233,196.20736671982363,1.0246768619604227
1|setsize[0],74.39811137881,136.72489015769887,-175.36188000363393,351.0019481750343,8.66587823387539,6.85344940659247,248.92585158059885,199.58060824889264,365.85102524065496,166.02000701005485,1.0113061702730446
1|setsize[1],23.02188924722946,130.52388321242822,-246.33465332372515,287.44126862808776,7.102866933085483,5.371251281811392,337.68565717736044,295.83965747598387,411.5232071374708,205.96513461182244,1.005510908479921
1|setsize[2],9.816396698984297,123.66183124084186,-228.3885833784295,253.85424982641302,6.361029205465686,4.501402682647976,377.9345253875105,377.9345253875105,429.63151542094045,508.1040667014161,1.012186793251596
1|setsize[3],-100.70657926922824,142.15611790235167,-409.40709743161426,111.21333337717364,7.620247638769903,5.4089581143407255,348.0109746615491,345.94489851252195,398.22888886883203,420.01283972969793,1.0124703109609647
obs_rt|setsize_sd,0.023331944395796757,0.022050191936844585,2.9777902276378774e-05,0.06939331379195732,0.0013236753975071278,0.0010521726152577268,277.49921216212675,220.17764029605155,412.79082257663856,240.6023412787894,1.0046990263494098
obs_rt|setsize[0],-0.0027440517885016845,0.023052547518984667,-0.050764491406237254,0.03961834577563923,0.0015836492627596126,0.0014751033601354076,211.89457893878892,122.69691303428306,389.3874760300169,250.86372399993667,1.0108162375900094
obs_rt|setsize[1],-0.0014307804975554985,0.021519315068635306,-0.03735826011102888,0.042070099392320925,0.0013909929691047194,0.0013258520774170213,239.33544357551372,132.29905473155625,550.7167585914344,241.65569649596293,1.004277716428674
obs_rt|setsize[2],0.008776502808006244,0.02213475781953798,-0.023294795159752718,0.060988843748211174,0.0013717746552873598,0.0010888106415281144,260.36583749865036,207.22371394676773,473.1267075151133,303.72050858408744,1.003184797537899
obs_rt|setsize[3],0.0028065868148851782,0.021610258058476984,-0.038491380024243085,0.04621359579878888,0.001277976132914471,0.0010915827359592515,285.93967536106527,196.54764490720683,409.76227522658604,324.4398974412335,1.006353628377729
pred_rt_sd,498.0582915985323,25.538933797995057,451.33857032792093,546.5961054924787,0.45292872106822996,0.3205694613667637,3179.404632552657,3174.0302334590683,3171.724622380779,2296.464697977136,1.0013027308199591
