,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-679.0451478965371,688.310724423803,-1942.7449833315234,405.4390679127797,127.4270861482882,91.02093815186758,29.177331383259524,29.177331383259524,29.853338095847256,38.21778370169672,1.049308717709492
obs_rt[0],1.0790057850730186,0.10239361427892225,0.8781993196439121,1.2485336237611047,0.00825565436886014,0.005848733379273441,153.8306024590546,153.8306024590546,155.6775659310719,229.59780757802514,1.0107568371363154
1|setsize_offset[0],1.0676142487774514,0.6234805988409402,0.0946470612012926,2.3652860145365544,0.07076376348296577,0.050226750417364734,77.6290092034197,77.6290092034197,74.98649199686686,127.73619323784989,1.0327930507864835
1|setsize_offset[1],0.3606704682557956,0.5392629920513078,-0.6496067260009293,1.4434711583065194,0.056786780405947875,0.04028490911133837,90.17927531496854,90.17927531496854,89.6029499693777,293.79242495317175,1.0112159891801162
1|setsize_offset[2],-0.369168283234746,0.6226413699510782,-1.5421995433297009,0.7599095552752,0.07397370177939733,0.052524171340549375,70.84696359396267,70.84696359396267,70.73070985936268,157.1143477289498,1.0215658978838664
1|setsize_offset[3],-0.720678699102711,0.6135042403275753,-1.9995612468572002,0.3307734616510871,0.05336864643374,0.0378209369381697,132.14865926791038,132.14865926791038,119.59115799522873,113.1238789601814,1.014483666238271
obs_rt|setsize_offset[0],0.0410335532567207,0.8778253462313668,-1.6056890427689443,1.6471999280135632,0.03984143856970545,0.028189094979856284,485.4519057928644,485.4519057928644,495.49305926486807,755.8047429074562,1.0020852408215106
obs_rt|setsize_offset[1],0.1378712600205166,0.84555690217825,-1.501144055589863,1.7074305403330128,0.027363046302107678,0.019354508562853676,954.8975681053489,954.8975681053489,934.8489918894959,2200.306912826445,1.0023322746910857
obs_rt|setsize_offset[2],-0.024094989130060588,0.8129563721293491,-1.5864017530378884,1.518868605665722,0.02854292527739753,0.020190157060274043,811.2178865400642,811.2178865400642,779.9170741582057,1787.820994277932,1.0030887354039817
obs_rt|setsize_offset[3],-0.11522670457758274,0.8289131191744987,-1.6978719038842278,1.3867921622757926,0.031029140967529015,0.021949889570435147,713.6389106807851,713.6389106807851,701.118811013578,1826.2228699397247,1.0026171766015874
1|setsize_sd,1664.341671381327,1026.6860544998858,371.3308319249182,3255.3372291314354,94.27853722376811,66.82964253855793,118.59043301370076,118.59043301370076,101.66690672606262,109.18478575572135,1.0203619969512825
1|setsize[0],1501.1505402368991,835.6949989867059,-131.93492684996664,2883.080767271271,102.43602625096278,73.21571856887424,66.55645177079812,65.72524575694467,69.27837463741825,120.10094815379082,1.017684785692377
1|setsize[1],515.1000234559039,799.6370776809953,-1216.495179755114,1877.1842880611796,95.78586497564731,68.01633271978227,69.69201089894393,69.69201089894393,69.6901429839984,198.50994209364302,1.0122254390658212
1|setsize[2],-478.83474060399743,843.4811468702928,-2178.3353392021513,997.198840592982,113.42059900338248,80.62727498977347,55.30531707877507,55.30531707877507,55.49571864806617,108.58425089398577,1.031475443692895
1|setsize[3],-1012.8638251485143,797.6111902738293,-2442.117806969431,510.1252749905658,79.04218909389722,56.05214467469206,101.82737715924247,101.82737715924247,101.92487063111612,127.56772770179657,1.017256380971978
obs_rt|setsize_sd,0.12131851870726172,0.09914946804587055,0.00022532162762613068,0.30596585951222166,0.007207870891241837,0.005425314511345542,189.2198871842345,167.5775697770287,222.90522763006916,235.39644717261814,1.0105189510405146
obs_rt|setsize[0],-0.0011895990699015036,0.1126362864105556,-0.2043660616916082,0.24976283096237953,0.008563536089824934,0.006065572667721238,173.0017045780183,173.0017045780183,218.26312552631677,133.19291518260192,1.0086728801011096
obs_rt|setsize[1],0.022624328826012882,0.09751168957610738,-0.1599152236561696,0.23709417383703693,0.006064769537534852,0.004576626539042411,258.5144112673731,227.56600871842252,317.9618111862647,168.82312488030118,1.0061178392234922
obs_rt|setsize[2],0.0007201800007599154,0.09043599200387857,-0.19819410755156536,0.1570421529448039,0.005656501604692531,0.00480676412307933,255.61526410590955,177.57282306478345,317.568671172972,240.24045261608663,1.005286065110391
obs_rt|setsize[3],-0.014309188840061101,0.09584688022636985,-0.2105382227114406,0.16801403245906854,0.006870929644712392,0.0057241568432276355,194.5919900569113,140.76902350695198,232.97192330138793,210.31071862476077,1.0029348578550779
pred_rt_sd,2864.9456061339292,152.32909401406513,2604.9539363502236,3167.1871631067725,4.362548044476456,3.093719449242332,1219.228967597154,1212.7822111129449,1192.8972808838068,1289.6617624501628,1.0012605557905752
