,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-669.8000742606739,738.5635103010848,-1998.0974719466894,561.5724631400096,314.5095243521093,235.34529373802923,5.514524750839946,5.514524750839946,5.641567125941212,15.567825630804757,1.3069163049581778
obs_rt[0],1.1192228032058515,0.09629433206939154,0.9705436794661427,1.3191893437120987,0.012672497169168052,0.009006466820356222,57.74003521660623,57.74003521660623,60.60513391474535,169.56183879458757,1.0130328934254778
1|setsize_offset[0],0.6471308810268144,0.5841536074547611,-0.3366025537425614,1.7587586108919313,0.14716974880896944,0.10605443184279235,15.754949985388887,15.754949985388887,13.419345858129478,117.15722143169539,1.1283557493811467
1|setsize_offset[1],0.11608941513410344,0.482755160317071,-0.8239495934371757,0.9680371102497362,0.13539952711388703,0.09802876852933899,12.712165971325511,12.712165971325511,11.91864090675217,195.47384342925147,1.1348383081331455
1|setsize_offset[2],-0.40437006100370004,0.49521285584335323,-1.283131307047577,0.6038835859626596,0.1355860460823739,0.09805180072828057,13.339938542418812,13.339938542418812,12.379696258223184,26.288963471386598,1.1141603364175652
1|setsize_offset[3],-1.0024839234943925,0.609560193302587,-1.9565273739439897,0.1408294745785235,0.17016384773404228,0.123170042694226,12.83212559751229,12.83212559751229,12.825747726892125,18.63222068317349,1.123581058535164
obs_rt|setsize_offset[0],0.23109515154276045,0.8859666006050599,-1.6028808996176416,1.7637595628645824,0.04544039955470481,0.032155899593402655,380.14599311222463,380.14599311222463,377.1943051691022,385.39734037279254,1.0140118823969961
obs_rt|setsize_offset[1],0.1583896515371557,0.8179658014903779,-1.4146081074300665,1.7061559428560862,0.026710144183518563,0.018892801142536157,937.8164111085898,937.8164111085898,854.3752633453404,1393.2370987912466,1.0312782117677517
obs_rt|setsize_offset[2],-0.14147351893854335,0.7981086552098192,-1.6934563504192723,1.3557848251996578,0.035704308592493156,0.025261510419118314,499.669437331895,499.669437331895,472.16287324958205,1739.4956099023836,1.025034036279414
obs_rt|setsize_offset[3],-0.0713843284689539,0.8038603063185012,-1.658549463250341,1.3743578373735508,0.044361175717051025,0.031395992901854824,328.36364866510553,328.36364866510553,329.97321383931694,504.92834126435184,1.0129184136237206
1|setsize_sd,1613.0038469886003,922.6682506665635,510.4605071051885,3352.558165632063,246.41957915740787,178.0042089767429,14.019764877010742,14.019764877010742,12.94956755227516,10.680584885376755,1.1363692547642599
1|setsize[0],813.9518881920044,730.9953656374207,-388.2112072032797,2319.3541471225535,222.47676697392734,161.77212450706656,10.795926465129035,10.795926465129035,11.057988756863594,42.10657038847753,1.143675626172304
1|setsize[1],55.5113379836933,780.7973933299945,-1824.4766259156306,1389.227121573445,253.11475919872424,184.7709650966226,9.515722533786908,9.515722533786908,10.119307165426763,18.652961030443137,1.1531704547981552
1|setsize[2],-610.0628086113625,762.7436974693153,-2091.010565106976,821.5910084125155,285.16767182238556,210.48862119296493,7.154127496584245,7.154127496584245,7.001283846600161,23.174816300103192,1.2150923418996675
1|setsize[3],-1370.2189397728296,876.5732657838379,-3081.2416812372508,263.98031752345423,301.9225069402814,221.347838504253,8.429182649593372,8.429182649593372,8.219982759949815,37.19611728905944,1.1851391330367904
obs_rt|setsize_sd,0.12284971496087702,0.11034653933566987,0.001176749206543105,0.38434598195654535,0.02211106171106407,0.021197961830140683,24.90567069744879,14.13463931112514,54.90715215277179,1816.2031220273388,1.031810181735335
obs_rt|setsize[0],0.04008954949877462,0.11178052797432536,-0.11980437402788746,0.263657293818116,0.023865712214942665,0.017105202221773776,21.937317175699114,21.937317175699114,28.52802117808682,139.4900272587341,1.0567149693404065
obs_rt|setsize[1],0.023716051561342957,0.08249018258913458,-0.11735870371299363,0.2170987026833894,0.0056841136930951795,0.00422853316681136,210.61001433190464,190.86435203462108,236.99323847197016,257.18461668479114,1.0071593031132278
obs_rt|setsize[2],-0.016363851696533448,0.07785507891314417,-0.1749483362716702,0.1373631263247038,0.005882042290565051,0.004180309044144653,175.1933483777902,174.014691291254,177.90697250848368,173.62441866169766,1.0106379366018359
obs_rt|setsize[3],-0.002428618676194968,0.08104243526315232,-0.1898174166201729,0.13856946354188304,0.00686821747245168,0.004866773324499298,139.23130362636942,139.23130362636942,144.75401420448262,156.09806597403167,1.0099310227125764
pred_rt_sd,2199.987888317541,109.6156691046531,1990.1849095720033,2394.325363545156,4.295764218865829,3.0389257035913353,651.1250530304144,651.1250530304144,646.8627003232049,1123.453138122488,1.004605822379068
