,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],3471.428784979065,191.83034480294918,3086.167479771974,3834.2464491068986,10.46965096019639,7.409602548593019,335.71458406613925,335.71458406613925,336.3540398772507,653.8141393398619,1.01359845384673
setsize[0],84.78048441671038,9.569126496027831,67.29167748588331,102.28978782935144,0.2972695381244505,0.21026050149375328,1036.2004452447914,1036.2004452447914,1034.1368122293452,1640.3024028087411,1.0019666616535332
1|subject_offset[0],0.12048928590485417,0.3846046288660846,-0.6206681108192347,0.8338630287785641,0.007614102489520443,0.006481618494349571,2551.476525422714,1761.0673750230828,2526.4507120459407,2540.8189148187294,1.0004651802079108
1|subject_offset[1],-0.3725480058430545,0.4023341307435696,-1.1473870163420408,0.376041398389075,0.007489152985566503,0.00586399128600761,2886.079883446725,2354.315955539521,2903.1432022012614,2684.8606205863434,1.0009914581895911
1|subject_offset[2],-0.7462610783476916,0.3944892593950569,-1.5191024090372565,-0.018067726780573754,0.007380333540997135,0.00533561402239295,2857.0535983010036,2733.784281573616,2861.430092921731,2561.924046003678,1.003632449242125
1|subject_offset[3],0.18249129904634376,0.3841629105212282,-0.6203765377158007,0.837769053953977,0.0077723504418631545,0.005986898582891073,2443.014913757477,2059.3023273725826,2443.141183684484,2513.4569035108093,1.0007575077107176
1|subject_offset[4],1.088143208064417,0.4183891290900008,0.3208715473923424,1.8895989078699635,0.009818405923264575,0.006943776866230104,1815.845178620553,1815.845178620553,1811.3795444196273,2710.0805113159336,1.0008348596407903
1|subject_offset[5],-1.4598619596411424,0.4491293357441605,-2.2790118866782123,-0.568973966349979,0.008843322596180014,0.006253880604683762,2579.359696940378,2579.359696940378,2543.661907966473,2487.3884396014078,1.001913743512941
1|subject_offset[6],-0.7278666661343292,0.3883326124157642,-1.44556626078074,0.021404825830605195,0.008159196390684218,0.005770166118816573,2265.233394628509,2265.233394628509,2261.1001430978754,2506.6422112253363,1.0006401070346975
1|subject_offset[7],-0.5604165008665241,0.3966324399359295,-1.3446920990040647,0.1462994493383719,0.007813132580686137,0.00616724408117882,2577.0691696709478,2068.6483930115346,2588.1353177797337,2591.810000650288,1.0012779590383336
1|subject_offset[8],0.34439317140174525,0.38478720187232063,-0.37224255043395826,1.074431465608602,0.007999553060616576,0.0059446126547041235,2313.714620398876,2095.4873138197663,2305.428223119771,2796.019544178716,1.0011201477330438
1|subject_offset[9],-0.9818903393783812,0.4045379148359938,-1.711541431341108,-0.18358613197655105,0.007835593225829633,0.005541207491635816,2665.475524337603,2665.475524337603,2665.0387705483813,2333.5061087451068,1.0012483448277774
1|subject_offset[10],-0.6864341501325661,0.39897207148089425,-1.438932998316722,0.053999696214274334,0.007733012733738199,0.005468665002261455,2661.874284020601,2661.874284020601,2633.3420899547923,2530.2457248287,1.0008111219424192
1|subject_offset[11],-0.39427493013852016,0.4036602206538661,-1.1327534805734973,0.34509657051815845,0.0073663922805270315,0.005446594353152412,3002.771059637965,2746.907826997515,2980.4956211566096,2681.415375954969,1.0011780194693423
1|subject_offset[12],0.1307984932501424,0.39292512396115553,-0.5685240618073828,0.9198924269580123,0.0075836334204606925,0.006298246400399457,2684.509431412651,1946.6168307579926,2657.177887394398,2530.6625201411757,1.0005274004013365
1|subject_offset[13],-0.5501710323207891,0.39315175301851574,-1.2748119840485117,0.2209070097885441,0.007796463534008585,0.006080947625977667,2542.8756850025998,2090.5911714251774,2565.516235960178,2734.763593932414,1.0011973940773098
