p_error,v,alpha,tau,gamma,zeta
0.05,2.9724313034080833e-08,2.897084844010196e-07,3.316394737238479,0.9310212526353812,5.155778677164454
0.05,2.9724313034080833e-08,5.16101508390863e-07,3.316394737238479,0.9536898183234462,5.155778677164454
0.05,2.9724313034080833e-08,3.7335153168124685e-06,6.161630266828223,0.9536898183234462,4.4231196220520115
0.05,2.9724313034080833e-08,3.7335153168124685e-06,4.424352068763283,0.9536898183234462,4.785114868189359
0.05,2.9724313034080833e-08,1.6035140831229093e-06,4.424352068763283,0.8507492072828196,4.785114868189359
0.05,2.9724313034080833e-08,3.007851944905175e-07,4.424352068763283,0.8507492072828196,4.785114868189359
0.05,2.9724313034080833e-08,3.007851944905175e-07,4.424352068763283,0.8507492072828196,4.785114868189359
0.05,2.9724313034080833e-08,1.9565308888635808e-07,4.137503417272354,0.6863255221012831,4.785114868189359
0.05,2.9724313034080833e-08,1.9565308888635808e-07,4.137503417272354,0.6863255221012831,4.785114868189359
0.05,2.9724313034080833e-08,1.9565308888635808e-07,4.137503417272354,0.9478851394695063,2.2250841488528064
0.05,2.9724313034080833e-08,1.9565308888635808e-07,4.137503417272354,0.966957668226737,2.2250841488528064
0.05,2.9724313034080833e-08,1.9565308888635808e-07,2.609734107350812,0.86586216632741,2.2250841488528064
0.05,2.9724313034080833e-08,7.599504334607099e-08,2.609734107350812,0.86586216632741,2.5604463756547533
0.05,2.9724313034080833e-08,8.83112607866407e-07,2.609734107350812,0.86586216632741,7.560385221824307
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,7.560385221824307
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,7.560385221824307
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,7.34761388404573
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,6.158869387060503
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,6.158869387060503
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,7.709502414622985
0.05,2.9724313034080833e-08,8.185896937504144e-07,2.609734107350812,0.86586216632741,7.709502414622985
0.05,1.8846514316928306e-08,8.185896937504144e-07,2.609734107350812,0.9643853756889513,7.709502414622985
0.05,1.8846514316928306e-08,7.792835302853796e-07,2.609734107350812,0.9643853756889513,9.22824547493878
0.05,1.8846514316928306e-08,4.124320566436029e-06,2.609734107350812,0.9643853756889513,9.22824547493878
0.05,1.8846514316928306e-08,4.124320566436029e-06,2.609734107350812,0.9643853756889513,9.22824547493878
0.05,1.8846514316928306e-08,4.124320566436029e-06,2.2590324407816893,0.928107934149146,9.22824547493878
0.05,2.0001419169247552e-08,4.124320566436029e-06,2.2590324407816893,0.7972398632728189,9.22824547493878
0.05,2.0001419169247552e-08,4.124320566436029e-06,3.196356392666086,0.7972398632728189,9.22824547493878
0.05,2.0001419169247552e-08,4.124320566436029e-06,3.196356392666086,0.9709443493330677,7.855494957022099
0.05,2.0316352085985154e-08,4.124320566436029e-06,3.196356392666086,0.9593691342807481,2.257321610828588
0.05,2.0316352085985154e-08,7.410840067554672e-06,3.196356392666086,0.5322389523915215,1.6218848741793175
0.05,2.4345293307150893e-08,7.410840067554672e-06,3.2343127195748043,0.5322389523915215,1.6218848741793175
0.05,2.4345293307150893e-08,7.410840067554672e-06,3.2343127195748043,0.5322389523915215,3.571574251355418
0.05,2.4345293307150893e-08,7.410840067554672e-06,3.2343127195748043,0.72650639503715,3.571574251355418
0.05,2.4345293307150893e-08,7.410840067554672e-06,3.2343127195748043,0.72650639503715,3.571574251355418
0.05,3.3078770856343494e-08,7.410840067554672e-06,3.2343127195748043,0.72650639503715,3.571574251355418
0.05,3.3078770856343494e-08,7.410840067554672e-06,4.09518277702842,0.72650639503715,3.571574251355418
0.05,3.368952249450526e-08,7.410840067554672e-06,4.09518277702842,0.72650639503715,3.571574251355418
0.05,3.368952249450526e-08,1.2226459267437722e-05,4.09518277702842,0.6668918258428017,1.4903176857293976
0.05,3.699859888137654e-08,1.3512272335797643e-06,4.09518277702842,0.6668918258428017,1.4903176857293976
0.05,4.7256939001264985e-08,1.3512272335797643e-06,4.09518277702842,0.6668918258428017,0.49586514002778836
0.05,4.7256939001264985e-08,1.3512272335797643e-06,4.09518277702842,0.7477828597215465,0.49586514002778836
0.05,4.7256939001264985e-08,1.3512272335797643e-06,4.09518277702842,0.7435546617829397,0.2725852545198284
0.05,4.7256939001264985e-08,1.3512272335797643e-06,4.09518277702842,0.7435546617829397,0.6173336504658347
0.05,4.7256939001264985e-08,5.985285616633741e-07,7.419476013724269,0.6935512516304282,0.29867881978999206
0.05,4.7256939001264985e-08,7.168536419833572e-07,8.144730469531755,0.6935512516304282,0.29867881978999206
0.05,4.7256939001264985e-08,7.168536419833572e-07,8.144730469531755,0.6935512516304282,0.29867881978999206
0.05,3.218516517594805e-08,5.672021725057867e-06,9.858488836394416,0.6935512516304282,0.29867881978999206
0.05,3.218516517594805e-08,3.73585327641405e-06,9.967816372586313,0.6935512516304282,0.29867881978999206
0.05,3.218516517594805e-08,3.73585327641405e-06,9.910096021175288,0.9245158520216384,0.03312059561569544
0.05,3.218516517594805e-08,3.73585327641405e-06,9.910096021175288,0.9245158520216384,0.9147430970234358
0.05,4.2468039942904705e-08,3.73585327641405e-06,9.9803165016619,0.9005424022253666,2.1893325522966536
0.05,4.199787350277804e-08,3.73585327641405e-06,9.790312940014067,0.9005424022253666,2.1893325522966536
0.05,4.199787350277804e-08,3.73585327641405e-06,6.981381406376592,0.9005424022253666,0.889271892515356
0.05,4.199787350277804e-08,1.1975871149865183e-06,3.5224287548304933,0.9005424022253666,0.889271892515356
0.05,3.2540936345297884e-08,8.557055006061219e-07,3.5224287548304933,0.7176110796305301,3.711728098180137
0.05,4.962729791436279e-08,3.4298617030791185e-06,3.5224287548304933,0.7176110796305301,3.711728098180137
0.05,2.2551324775967705e-08,4.870635402019233e-06,3.5224287548304933,0.4925426721633727,0.13846607472800238
0.05,2.2551324775967705e-08,3.39429233269409e-06,2.3058340287161343,0.4925426721633727,0.3873320476161896
0.05,2.2551324775967705e-08,3.39429233269409e-06,2.3058340287161343,0.4925426721633727,6.250899035094588
0.05,1.9954212691075798e-08,3.39429233269409e-06,3.6444191983807626,0.8660388436500323,6.250899035094588
0.05,1.9954212691075798e-08,3.39429233269409e-06,3.6444191983807626,0.8660388436500323,3.629169984804783
0.05,4.372256362606215e-08,3.39429233269409e-06,3.6444191983807626,0.8660388436500323,3.629169984804783
0.05,4.372256362606215e-08,9.956591127251542e-07,3.6444191983807626,0.8660388436500323,4.031390060029243
0.05,4.372256362606215e-08,3.6945083768013654e-06,3.9117935009412292,0.8660388436500323,4.031390060029243
0.05,4.372256362606215e-08,3.6945083768013654e-06,3.9117935009412292,0.8660388436500323,4.244144050685948
0.05,4.372256362606215e-08,3.6945083768013654e-06,3.9117935009412292,0.8660388436500323,4.244144050685948
0.05,4.372256362606215e-08,3.6945083768013654e-06,4.047447689155112,0.8660388436500323,6.192957814936328
0.05,4.372256362606215e-08,3.6945083768013654e-06,5.155975581697073,0.8660388436500323,1.48100167166402
0.05,4.372256362606215e-08,2.4665027808041607e-06,5.155975581697073,0.9734953053125814,1.5974159858703787
0.05,2.931008225424026e-08,2.4665027808041607e-06,3.2930897487830513,0.9734953053125814,3.8417843501334676
0.05,4.233615112513404e-08,2.4665027808041607e-06,8.274927237796254,0.8110507916374289,3.8417843501334676
0.05,4.233615112513404e-08,2.4665027808041607e-06,2.205440139713679,0.828852691986461,3.8417843501334676
0.05,4.233615112513404e-08,2.4665027808041607e-06,2.205440139713679,0.828852691986461,3.8417843501334676
0.05,4.233615112513404e-08,2.4665027808041607e-06,2.205440139713679,0.828852691986461,5.312442888838956
0.05,4.233615112513404e-08,2.4665027808041607e-06,6.694524064056218,0.828852691986461,3.1869729280225783
0.05,4.233615112513404e-08,2.4665027808041607e-06,7.798327486685444,0.828852691986461,1.1350657895842795
0.05,4.233615112513404e-08,1.5543274330114993e-06,5.184505923116616,0.828852691986461,1.1350657895842795
0.05,4.233615112513404e-08,6.637856888675148e-07,5.184505923116616,0.670831371530606,1.1350657895842795
0.05,4.233615112513404e-08,5.172130934610474e-07,6.832521209460437,0.8025910156033496,1.1350657895842795
0.05,4.233615112513404e-08,5.172130934610474e-07,6.832521209460437,0.8025910156033496,0.7320768253284217
0.05,4.233615112513404e-08,5.172130934610474e-07,6.832521209460437,0.8025910156033496,0.7320768253284217
0.05,4.323309768546383e-08,5.172130934610474e-07,6.832521209460437,0.7995728847615717,0.46588664009337283
0.05,4.853634708972978e-08,5.172130934610474e-07,6.832521209460437,0.7761457890571363,0.42033996767537435
0.05,4.9088009259264605e-08,8.362736225147108e-06,7.943897656900357,0.7179673526400624,0.42033996767537435
0.05,4.3585959467084613e-08,8.362736225147108e-06,8.916524252693407,0.7179673526400624,0.18867626184876862
0.05,4.5125675627216326e-08,8.362736225147108e-06,6.268601967988613,0.6616325814807633,0.18867626184876862
0.05,4.5125675627216326e-08,8.362736225147108e-06,6.268601967988613,0.6616325814807633,0.18867626184876862
