p_error,v,alpha,tau,gamma,zeta
0.05,1.5778439928459412e-07,2.422838723761303e-05,1.7684344542937567,1.0,0.0
0.05,1.5778439928459412e-07,2.422838723761303e-05,2.1353096809128695,1.0,0.0
0.05,1.5778439928459412e-07,1.0307290159824603e-05,2.1353096809128695,1.0,0.0
0.05,1.5778439928459412e-07,1.0307290159824603e-05,2.1353096809128695,1.0,0.0
0.05,1.5778439928459412e-07,2.0055283123896445e-05,2.065403280599217,1.0,0.0
0.05,1.5778439928459412e-07,2.0055283123896445e-05,2.065403280599217,1.0,0.0
0.05,1.5778439928459412e-07,2.0055283123896445e-05,2.065403280599217,1.0,0.0
0.05,1.5778439928459412e-07,2.0055283123896445e-05,2.065403280599217,1.0,0.0
0.05,1.5778439928459412e-07,2.0055283123896445e-05,2.1136371366082036,1.0,0.0
0.05,1.5778439928459412e-07,2.4954006658724796e-05,2.6211767743043763,1.0,0.0
0.05,1.6043248023405973e-07,2.4954006658724796e-05,2.6211767743043763,1.0,0.0
0.05,1.6043248023405973e-07,2.4954006658724796e-05,1.1882739565548153,1.0,0.0
0.05,1.6043248023405973e-07,2.4954006658724796e-05,1.4640930702948456,1.0,0.0
0.05,1.6043248023405973e-07,3.466552550872697e-05,1.4640930702948456,1.0,0.0
0.05,1.4416785178095902e-07,9.234398814450038e-06,1.4640930702948456,1.0,0.0
0.05,1.4416785178095902e-07,9.234398814450038e-06,1.4640930702948456,1.0,0.0
0.05,1.4416785178095902e-07,1.0727601449509946e-05,1.4658847176558265,1.0,0.0
0.05,1.4416785178095902e-07,1.0727601449509946e-05,1.4658847176558265,1.0,0.0
0.05,1.6486806057306734e-07,1.0727601449509946e-05,1.4658847176558265,1.0,0.0
0.05,1.6486806057306734e-07,1.0727601449509946e-05,1.4658847176558265,1.0,0.0
0.05,1.6486806057306734e-07,7.48716336026242e-06,1.4658847176558265,1.0,0.0
0.05,1.6486806057306734e-07,5.485248977087757e-06,1.4658847176558265,1.0,0.0
