p_error,v,alpha,tau,gamma,zeta
0.05,1.0499318148561505e-08,2.4881449148112008e-05,2.071207341473652,1.0,0.0
0.05,1.0499318148561505e-08,1.5594815424400386e-05,2.071207341473652,1.0,0.0
0.05,1.0499318148561505e-08,1.5594815424400386e-05,2.071207341473652,1.0,0.0
0.05,1.0499318148561505e-08,2.500601988004463e-05,1.9532405588952488,1.0,0.0
0.05,8.568468493206083e-09,2.500601988004463e-05,1.9532405588952488,1.0,0.0
0.05,1.1277919029606904e-08,2.500601988004463e-05,1.9532405588952488,1.0,0.0
0.05,4.5963552454951076e-09,2.500601988004463e-05,2.7751834661862733,1.0,0.0
0.05,4.5963552454951076e-09,2.500601988004463e-05,1.4623880144919987,1.0,0.0
0.05,1.1588802758044016e-09,2.500601988004463e-05,2.705405109158683,1.0,0.0
0.05,1.1588802758044016e-09,1.9181303227401875e-05,2.3567982479451026,1.0,0.0
0.05,2.047564234284985e-09,1.9181303227401875e-05,2.3567982479451026,1.0,0.0
0.05,8.759168237331991e-09,1.9181303227401875e-05,2.3567982479451026,1.0,0.0
0.05,4.457352040701174e-09,1.9181303227401875e-05,2.3567982479451026,1.0,0.0
0.05,4.457352040701174e-09,1.9181303227401875e-05,1.8840922256891115,1.0,0.0
0.05,5.125644608326787e-09,1.9181303227401875e-05,2.2136760470210786,1.0,0.0
0.05,5.125644608326787e-09,1.9423102447872705e-05,2.2136760470210786,1.0,0.0
0.05,5.125644608326787e-09,2.395341467625253e-05,2.2136760470210786,1.0,0.0
0.05,9.039475149838497e-09,2.395341467625253e-05,2.2136760470210786,1.0,0.0
0.05,9.039475149838497e-09,2.395341467625253e-05,2.1315815726419056,1.0,0.0
0.05,9.039475149838497e-09,2.395341467625253e-05,2.1315815726419056,1.0,0.0
0.05,1.1691913011381047e-08,2.395341467625253e-05,2.1315815726419056,1.0,0.0
0.05,1.1691913011381047e-08,1.4994759252047754e-05,2.1315815726419056,1.0,0.0
0.05,1.1430326399625908e-08,2.6993546263128065e-05,2.1315815726419056,1.0,0.0
0.05,1.1430326399625908e-08,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,1.1430326399625908e-08,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,1.1130606823494511e-08,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,1.1130606823494511e-08,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,5.881396932470312e-09,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,5.881396932470312e-09,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,5.881396932470312e-09,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,5.881396932470312e-09,2.3297422169770778e-05,2.1315815726419056,1.0,0.0
0.05,5.881396932470312e-09,2.3297422169770778e-05,2.586127417549396,1.0,0.0
0.05,1.7660217887254338e-09,2.3297422169770778e-05,2.586127417549396,1.0,0.0
0.05,4.268585043335469e-09,2.428167306598546e-05,2.6518822666041193,1.0,0.0
0.05,4.268585043335469e-09,2.805139629860426e-05,2.9374151075891075,1.0,0.0
0.05,5.3426280905096005e-09,3.106498852834829e-05,3.6295141663910826,1.0,0.0
0.05,5.3426280905096005e-09,1.9064318010650517e-05,3.6295141663910826,1.0,0.0
0.05,1.7328163280784733e-09,3.170699345340689e-05,4.801796308614769,1.0,0.0
0.05,7.280508331478492e-10,3.170699345340689e-05,4.801796308614769,1.0,0.0
0.05,1.618754908562249e-08,3.170699345340689e-05,4.233080185117067,1.0,0.0
0.05,1.3801427711451175e-08,2.6771361278555986e-05,1.6676594148826365,1.0,0.0
0.05,3.5481931116520426e-09,2.6771361278555986e-05,1.6676594148826365,1.0,0.0
0.05,3.5481931116520426e-09,2.6771361278555986e-05,1.8858455338175557,1.0,0.0
0.05,1.2776774442712164e-08,2.6771361278555986e-05,1.8858455338175557,1.0,0.0
0.05,1.2776774442712164e-08,2.6771361278555986e-05,1.8858455338175557,1.0,0.0
0.05,1.2776774442712164e-08,2.008585287669324e-05,2.56270260947455,1.0,0.0
0.05,1.2776774442712164e-08,1.805593113570293e-05,2.56270260947455,1.0,0.0
0.05,1.2776774442712164e-08,1.805593113570293e-05,1.7551211682471834,1.0,0.0
0.05,1.2776774442712164e-08,1.805593113570293e-05,1.7551211682471834,1.0,0.0
0.05,1.2776774442712164e-08,1.805593113570293e-05,1.7551211682471834,1.0,0.0
0.05,6.873186798890262e-09,1.805593113570293e-05,1.7551211682471834,1.0,0.0
0.05,1.4683245413237792e-08,1.805593113570293e-05,1.7551211682471834,1.0,0.0
0.05,1.4683245413237792e-08,1.805593113570293e-05,2.0562367579751664,1.0,0.0
0.05,1.4683245413237792e-08,1.3702492656917286e-05,2.0562367579751664,1.0,0.0
0.05,1.4683245413237792e-08,1.3702492656917286e-05,2.0562367579751664,1.0,0.0
0.05,1.4683245413237792e-08,1.3702492656917286e-05,2.0562367579751664,1.0,0.0
0.05,1.4683245413237792e-08,2.285760946297745e-05,2.0562367579751664,1.0,0.0
0.05,8.156101217205672e-09,2.9574721341209947e-05,2.0562367579751664,1.0,0.0
0.05,4.608443349152559e-09,2.9574721341209947e-05,2.6737966121410883,1.0,0.0
0.05,4.608443349152559e-09,2.8618082951468434e-05,2.6737966121410883,1.0,0.0
0.05,4.608443349152559e-09,2.8618082951468434e-05,2.6737966121410883,1.0,0.0
0.05,4.514388726869533e-09,2.8618082951468434e-05,2.6737966121410883,1.0,0.0
0.05,4.514388726869533e-09,2.8618082951468434e-05,2.6737966121410883,1.0,0.0
