,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],20.517948459191853,3.002120845203918,14.947151354991917,26.0572740214467,0.10135669675317145,0.0716938482913728,877.3066946784285,877.3066946784285,873.6569963623776,1522.7873785475363,1.0009846635927342
setsize[0],-0.3028405403711984,0.23663578198933094,-0.7298683907916288,0.14811056988659654,0.013634991036000538,0.009650746375999459,301.19732980180805,301.19732980180805,301.278951846093,553.3745455255688,1.006294485823294
1|subject_offset[0],0.5105803582739978,0.947082839604118,-1.3445689839306656,2.23839497238892,0.02045240551838854,0.0174364549188423,2144.3078973142065,1475.710848483629,2140.0420227323993,1914.7957080466254,1.0014309731422737
1|subject_offset[1],0.5659177879494941,0.9363435080190299,-1.2475046559411156,2.2115653536937714,0.01978268201284186,0.014729064454518284,2240.2684725378454,2021.2286573149584,2249.7539442434904,2506.4155134225543,1.0001846873621374
1|subject_offset[2],0.0479650821233162,0.9056938075533663,-1.5882033597428509,1.7921542645921142,0.016303625319479962,0.017652280198357514,3085.9893618426713,1316.8115138165147,3108.8162427733187,1830.25765812525,1.0003694814858057
1|subject_offset[3],0.15459759753164232,0.9414947747662293,-1.600421193827195,1.9820971653966426,0.01641465780391656,0.016644646763606833,3289.8201874017627,1600.3501076329237,3293.655892603214,2558.079171807539,0.9998301941016932
1|subject_offset[4],0.1919864426848503,0.9371386546167404,-1.5137908298900706,1.94044060069693,0.015760936141516066,0.016114526227954007,3535.44173854936,1691.5795265391414,3555.6956586054184,2434.96310191423,1.0015631356244465
1|subject_offset[5],-0.45121501996541746,0.9361681616028981,-2.226954588418369,1.2410015327077761,0.018960978174545097,0.014812313717730735,2437.733678512523,1997.8310751507386,2452.9524195338736,2931.3203387249723,1.0012169529758954
1|subject_offset[6],0.44456632622217424,0.9547625063800085,-1.3061209495022457,2.2972403847698724,0.018444142332526205,0.015668083291366586,2679.623524276246,1857.2287816726428,2657.9337777888572,1989.1822688183358,1.0007521705657547
1|subject_offset[7],-0.10488804165247555,0.9383370679514177,-1.9542433267578723,1.5905147533051194,0.016916064393962763,0.01794931801758131,3076.940417541815,1367.0273834118289,3032.3944964973257,2043.669562187028,1.0025375139111583
1|subject_offset[8],-0.7544015218031686,0.9985356574703632,-2.417345029100184,1.2579610393863325,0.025691813359946712,0.018170364356625102,1510.5588139513952,1510.5588139513952,1520.9106920179358,2094.180037970439,1.0011439112549987
1|subject_offset[9],0.4392677377167088,0.947651533032872,-1.4299939853356751,2.1314120419359304,0.019520240740469774,0.014827648998477987,2356.8231755304314,2042.8984564617538,2362.1614546389933,2613.5254675780257,1.0006799875509549
