,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-0.7474758287060463,2.423108257588071,-5.29031749477361,3.945688507333047,0.09229055320354214,0.06648290791086953,689.3362809905994,664.7784220735093,690.4359559459373,753.5427561424793,1.0014258641501312
setsize[0],0.863784125832494,0.13533242123724815,0.6194340779097938,1.1208262363147146,0.006946338511851707,0.004918283248946109,379.56994445610417,379.1538084395347,381.8800466975863,613.7069479042918,1.0047296284958662
1|subject_offset[0],0.12323199919466067,0.7589754062189239,-1.3278240894497604,1.5447526127451423,0.01343941770467848,0.012808466924880215,3189.2936048477154,1756.2057341893515,3174.875358089009,2530.5824779110662,1.0029272197994468
1|subject_offset[1],-0.4772487476451061,0.7920368941752381,-1.993125173743111,0.9728829821780394,0.01627048099436914,0.012520326599380445,2369.681840124394,2001.5023719624648,2386.345459152641,2624.3288591924193,1.0007256123061663
1|subject_offset[2],-0.6633889644073409,0.7802086369462087,-2.1646435417961083,0.7496943873898834,0.014733311728718895,0.011822726441556594,2804.2759780201386,2178.0736545363416,2793.014440221405,2474.1574125272623,1.000398449120012
1|subject_offset[3],0.11902140437903065,0.7698283536511177,-1.3158799639656418,1.5411315048187668,0.01521648813740418,0.014215622274662379,2559.5224412340935,1466.8942439797033,2554.8991412451483,2435.846384007106,1.0005893361228326
1|subject_offset[4],0.6718411647473089,0.7596059356364377,-0.7316286614523074,2.085899758963361,0.01685835288828751,0.011922368606530225,2030.235504652423,2030.235504652423,2039.7904971095932,2822.4673704705733,1.0010066709768441
1|subject_offset[5],0.2056088391228267,0.754055161274948,-1.1845958500510907,1.6295844362957215,0.013621852813808219,0.012161375881923809,3064.3182458091146,1922.8375337698383,3040.484517070484,2575.46106893303,1.0016504944331952
1|subject_offset[6],0.5372375547309954,0.740394964580697,-0.8097486018204177,2.0005804499846462,0.013143651834362691,0.011197629945425634,3173.1808161220915,2186.5558543931165,3178.5811083584363,2484.917350152313,0.999719848012276
1|subject_offset[7],-0.6634278890439638,0.768313940305519,-2.0485192179972844,0.799070444499154,0.014359097953526715,0.011360875055157106,2863.0116150514095,2287.3606003507166,2837.075064781564,2631.1310613220985,1.0006135998195442
1|subject_offset[8],0.5658270735875509,0.7714417552841959,-0.8643008160742591,2.0138214581597227,0.01373239457857015,0.011328978507513483,3155.8309889203724,2319.017590933058,3143.4204983988875,2756.924027149156,1.0003777837528554
1|subject_offset[9],-0.7987903928854805,0.7551245268978285,-2.231399225757056,0.5734630155863591,0.01662800054408805,0.01175943519785575,2062.324937154286,2062.324937154286,2081.7720367077945,2038.00292135012,1.0006109669674395
