,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],19.770458668578183,3.581599004013124,13.174791446596872,26.54762523661182,0.10515698722441336,0.07437592206466875,1160.0525185310214,1160.0525185310214,1161.0740370436317,1607.0082151658735,1.0030711514546402
setsize[0],0.5499149135222603,0.2062231622419749,0.16379007533985562,0.931007685010723,0.008397966514593862,0.006302932447062318,603.0129055134248,535.8369815976778,611.834569274622,827.8665445947302,1.002007707106686
1|subject_offset[0],0.9031476406443726,0.8528880135060741,-0.8185971197193441,2.415646567019145,0.014903613554919407,0.010539384918132468,3274.9212396198654,3274.9212396198654,3353.914035011103,2507.9466494566727,1.0005273666898462
1|subject_offset[1],0.5218475350583003,0.827039069771273,-1.0149302254950734,2.1008129241804245,0.011905342552641196,0.01147593428141823,4825.788241837593,2597.4278888698695,4912.551944855048,2975.020116505078,0.9999864147949814
1|subject_offset[2],-0.3687241572116516,0.8295715635765643,-1.9701906846658097,1.162747003550252,0.01262497777462755,0.011820561925710571,4317.6404014488,2463.226428237696,4302.706080541855,2774.1941659061363,1.0015589474775979
1|subject_offset[3],0.34751665747647487,0.8021406007918096,-1.2700094070971069,1.7537520854028221,0.01155334646895099,0.011575893071049085,4820.425809058716,2401.4165534295057,4839.791560675179,2962.9144932301233,1.0000261674920525
1|subject_offset[4],0.8342735414366492,0.8236464145796999,-0.6775165870382973,2.4365864817128293,0.015422327473300293,0.010906347697301328,2852.2118725589235,2852.2118725589235,2928.243378017147,1996.6690357579455,1.0000321402932737
1|subject_offset[5],-0.7176633896677308,0.8409447801921975,-2.272595200470721,0.8932479336301553,0.015343040374460234,0.010850221414348516,3004.08421085542,3004.08421085542,3066.1784401706245,1975.6448929014919,1.0015166029603784
1|subject_offset[6],0.892513561772713,0.8288087242729401,-0.7008585534797648,2.454191343594055,0.017307039085786666,0.012239481473760803,2293.3116586412316,2293.3116586412316,2292.2644494672472,2286.680725255856,1.0021982223206425
1|subject_offset[7],-0.40243563220756196,0.8093271028055713,-1.961672406852768,1.0429124071055633,0.012350756806569366,0.011178664438804966,4293.989993583261,2621.4102201643877,4302.18976968709,2898.22198610448,1.0020121681509937
1|subject_offset[8],-0.838219853181743,0.8298693926928808,-2.3429425520948426,0.7729092247334677,0.018299020827102174,0.012941197157930667,2056.666108863457,2056.666108863457,2136.2540536321458,1341.2340486516475,1.0007170100523397
1|subject_offset[9],0.21443125154742537,0.8060099424582383,-1.275299717654769,1.7570724955636041,0.012242434971862325,0.013008250347743522,4334.561671041912,1920.1934658915684,4318.721962161542,2899.358068638865,1.0006796101987596
1|subject_offset[10],0.27190460461520055,0.8168561583289842,-1.247473683682669,1.7536325158235104,0.012985170856581726,0.012721995718473822,3957.2714187154806,2061.9283750342643,3976.5355488790688,2943.5809952987465,1.000057239918345
1|subject_offset[11],0.6558533627969978,0.8270946558336082,-0.8592458871111095,2.2193754082635393,0.014118294943311726,0.011910598486098786,3431.989326441317,2411.6724760355937,3457.468666624302,2488.278388575548,1.0021933074322522
1|subject_offset[12],-1.1604295463522045,0.8293031436037454,-2.7764967754942735,0.356026889491841,0.01827497159184055,0.012924187050134385,2059.2695714441024,2059.2695714441024,2164.9862510855223,1163.560010424473,0.9997461438252
1|subject_offset[13],0.0950792931767427,0.7919928542807978,-1.510200121845355,1.4878526475421125,0.011981718831389801,0.013767794946679325,4369.223676289566,1655.1480472495293,4362.513656441106,2991.046432156969,1.000453362981873
