,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],180.0857216221524,6.710417065048723,166.98481016521274,192.06524870241557,0.11333757478524127,0.08028939567215712,3505.5098829867948,3493.21392437395,3558.2336505159783,2817.314076543563,1.0000147447241843
is_last_to_choice[0],162.22482737398306,21.393067380476143,121.8533686715949,200.97211822203855,0.5549802182623085,0.3925073312486615,1485.9052299918858,1485.9052299918858,1490.5499445417324,1943.610541495414,1.0002346165415061
1|subject_offset[0],-0.6380956575152998,0.5987190981412934,-1.7859955721193905,0.4477383344758605,0.007304654330585919,0.006938795655578326,6718.106510273284,3723.197564683987,6718.691148371767,3107.318627506791,1.0005906857161802
1|subject_offset[1],-0.0308698570628233,0.6153434400355646,-1.234215795224797,1.0739743341951635,0.008231333461958817,0.010802282141657913,5588.493606793845,1623.043815715982,5582.467426817828,2911.8224621923223,1.0004950459774646
1|subject_offset[2],-0.1596239321696801,0.5929549061945177,-1.2440549063532924,1.0020020081722252,0.0074280081225166,0.010439686435566626,6372.334922202329,1613.5984401487597,6370.632476792419,3079.0864911049125,1.0017210825926632
1|subject_offset[3],-0.687321341805989,0.6111645888107177,-1.8440343774915162,0.46882155541954695,0.007944956293038891,0.007517147655824428,5917.432890508441,3305.6498910952914,5902.201534489116,2552.7222620535877,1.0005977847603813
1|subject_offset[4],0.7632094651355419,0.6161567757316977,-0.4475198783415117,1.881480573310588,0.008345279248270755,0.007695384696160077,5451.307872232825,3206.0538943536335,5475.481110924843,2751.2859743354884,0.9997507783641508
1|subject_offset[5],-0.10649348391565795,0.6794568941921848,-1.3106657793743866,1.2462105198636704,0.008561467428422433,0.012107591930439716,6298.358860109833,1575.2124547875305,6295.875536216838,2516.7792965093845,1.0001766068807565
1|subject_offset[6],-0.3836858355314929,0.5994282325099359,-1.558803940675299,0.6862424146819875,0.007742761044996209,0.008217913280606838,5993.529884670618,2660.826191713873,5989.782528594395,2578.8684173589045,1.0006218096910624
1|subject_offset[7],0.3972427869091943,0.6315930332789694,-0.769789987151941,1.5990856116662424,0.008133377483023707,0.009800919682375404,6030.215097905831,2076.9832817641104,6023.59751006612,3103.743002639357,0.9997966197373547
1|subject_offset[8],0.7721593639706756,0.9700976059383166,-1.0467798522917826,2.553302345708269,0.01850612113118001,0.014336247664005087,2747.8945619704978,2290.0265845659824,2740.8226625136313,2343.1365129067362,1.001582144062468
1|subject_offset[9],-0.12546340502373335,0.5891718047668904,-1.1432245753551138,1.0115767683895098,0.00751886276654617,0.009731060333452623,6140.158669270589,1833.4614617139628,6137.098063506069,3038.123051992551,1.001064716722615
1|subject_offset[10],-0.0634468498114135,0.6265899039215664,-1.2445011637454324,1.1647688241111642,0.007879084127127112,0.011953007723548483,6324.34146921159,1374.569619005204,6311.183548541796,2525.5083266979987,1.0004516105454877
1|subject_offset[11],-0.47282450297100104,0.6028879964668414,-1.6453800697886636,0.5752684621022717,0.007793201734900967,0.008074087592492053,5984.686938053326,2788.349655960211,5988.294795059455,2946.364208291752,1.001108264441067
1|subject_offset[12],0.6548638072140182,0.979165242242769,-1.2550569660251647,2.4156436438363764,0.01774342959150128,0.016963117562330782,3045.34740222008,1666.5666321461526,3041.8384130168033,2104.2538682731843,1.0001849700523755
1|subject_offset[13],-0.5687873502487901,0.5864244043097459,-1.5823890440055197,0.5852613163982823,0.007827931769186943,0.007076645855351397,5612.159529233335,3434.099936442039,5612.337484661226,2986.90401393089,1.0000652578202347
1|subject_offset[14],0.5269079844847023,0.634345877769508,-0.6221506556141131,1.7248883483027047,0.007893851874708153,0.008717118317322924,6457.646960821459,2648.329628065255,6436.333627321746,2948.087940975665,1.0007254606680436
1|subject_offset[15],0.813765689429253,0.643319696747155,-0.3804850861327657,2.0231565665574966,0.008534093670782398,0.007684164319250157,5682.492697808882,3505.1184501366656,5720.7447212611805,2711.894969558241,1.001337574987498
1|subject_offset[16],-0.47521739820278774,0.6373001960070548,-1.6822790733494872,0.7281839163166328,0.008230445993724899,0.008102212704255372,5995.72030306168,3094.088384257832,5991.234373516665,3038.4799812605256,1.0012063213512663
1|subject_offset[17],0.754092364996519,0.9444401986548102,-1.0095130734697404,2.5334361574112423,0.015253680783596804,0.013183205172722152,3833.536658415743,2566.7030408134788,3839.4135642719007,2749.036808487586,0.9999797391500465
1|subject_offset[18],-0.2464086773367601,0.570383092985274,-1.2960842650394084,0.8412108454216359,0.007596969339640326,0.009539176931981143,5637.0584822517985,1788.2291984625163,5549.585978300963,2604.233047023628,1.0009796053446043
1|subject_offset[19],0.49017495541367767,0.6834314589635998,-0.7518715133688519,1.792812079350435,0.009408277740931918,0.009761846362765543,5276.788316676492,2451.3163511731177,5260.07478544291,2922.9746745722277,1.0011658458520223
1|subject_offset[20],-0.644179703303778,0.5775812852163745,-1.8531455007355515,0.34277051714725276,0.007256020556361247,0.007122355416689327,6336.204954425794,3288.713094184581,6322.868431441102,3074.734128951217,1.00042507907745
1|subject_offset[21],0.659889207694842,0.7151507899486956,-0.8128686239308179,1.8931813347115753,0.00911659811109528,0.008871262496986464,6153.605137394341,3249.917605208424,6165.746882081487,2830.503141529548,1.0015662600576791
1|subject_offset[22],0.43915307074185667,0.7349808324259747,-0.9519244656342478,1.7990184033716015,0.00974570837665005,0.010178466460732302,5687.549678260888,2607.6811935170267,5673.435819956746,2663.270777571492,0.9998768267492399
1|subject_offset[23],-0.4533155362201531,0.6295915089922126,-1.7183964059610122,0.6587900874708732,0.008012192792026513,0.009229733464025638,6174.686929116395,2327.117378331859,6171.0264478615845,2358.1385209126925,1.0029892573633428
1|subject_offset[24],-0.5142160560221588,0.5729287152746577,-1.6369518506392735,0.488738577425018,0.007427432278048443,0.007662227971383382,5950.0933320980785,2796.093315563667,5976.802265374529,2911.231883846431,1.0009507083690057
1|subject_offset[25],-0.16601910328707342,0.6024564879244338,-1.365249361819329,0.8926600773911659,0.007984562104463052,0.00999308597641265,5693.104623183449,1817.8645276387879,5702.219333569847,2943.3457300410814,1.0001028911543042
1|subject_offset[26],0.34855348382604956,0.6729039676047287,-0.8772342577746675,1.637986308734758,0.00822448829489688,0.01034424580999482,6694.041559673398,2116.4023752150765,6682.662803595095,2715.0920364335457,1.0005438636038624
