,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-0.6137233816416046,1.28513855916835,-2.8359857115276763,1.6395891905949758,0.052666900619930304,0.05580549686258351,595.4213262672467,265.74831465544986,836.3023889428958,637.547143641174,1.0024733863119761
obs_gaze_influence[0],0.8478066528360054,0.045519555766441976,0.7690879331046634,0.9338990318825126,0.004779304703099952,0.0033904047022372597,90.71238607652214,90.71238607652214,236.5255067756491,67.6278230351311,1.009712157708102
1|setsize_offset[0],-0.06866140651412453,0.8089321042945908,-1.6040339133075696,1.4769762725332074,0.025412393404848348,0.01797445054843335,1013.2882427255537,1013.2882427255537,1014.1671181458514,1417.3462604829626,1.002141105453287
1|setsize_offset[1],-0.14655413170920617,0.8650402504429396,-1.5483568170510982,1.6691950639960875,0.065477636672603,0.0463772729830969,174.53665158308849,174.53665158308849,210.62962261608914,36.53819514520798,1.012167032754327
1|setsize_offset[2],0.28570756001786896,0.8510929039359362,-1.1778387947214555,2.118812771133761,0.02915731556333644,0.02062439733171403,852.037804897117,852.037804897117,852.5059209566897,827.8787644763795,1.005241288936255
1|setsize_offset[3],-0.02667201773112574,0.8254496804310684,-1.5927053139827259,1.566450901884623,0.026003247922205357,0.022152621124208717,1007.6878312516703,694.8095390551015,1005.3609958069734,1060.2987675908962,1.0084381154018374
obs_gaze_influence|setsize_offset[0],-0.021665629977957956,0.8442417253460704,-1.6517003256135476,1.5123822083619252,0.01485803275942656,0.015908293702537643,3228.575912185892,1408.7577062732178,3054.3180111794595,2840.633358756827,1.0017265799081507
obs_gaze_influence|setsize_offset[1],-0.16770668981716672,0.8387667170684965,-1.768330161006477,1.4593066301103754,0.01744232630999999,0.014310943123693291,2312.4564579080534,1718.1589891920353,2239.0507675863355,2710.6017955192615,1.001698066028898
obs_gaze_influence|setsize_offset[2],0.48217636099261063,0.826695181028191,-1.1603212481278422,1.969104066619314,0.022130218450396165,0.015651699379656193,1395.466484230839,1395.466484230839,1293.207721979781,2474.0657062258424,1.004322549844778
obs_gaze_influence|setsize_offset[3],-0.015599268643542786,0.8431244242568462,-1.6018294825477475,1.6001185453139284,0.015087763576583693,0.014693749219298991,3122.723997187205,1646.8042061165397,3001.8163267677023,2813.2821086941626,1.0002836924611334
1|setsize_sd,1.3296990451603519,1.5760732849787265,0.0004001471286226422,3.6817833314373676,0.11037244659753506,0.07815701351612837,203.90669063771244,203.90669063771244,197.56281793799886,223.8784767575335,1.0086718861677255
1|setsize[0],-0.12281172753251351,1.1235505895303861,-2.373580053772012,1.8590801405849122,0.047948855924643125,0.04437112432296219,549.0713275055574,321.17671164772975,735.2572514390178,698.0619096478074,1.003799157516383
1|setsize[1],-0.19201097511441934,1.1922346761568559,-2.702221984256202,1.6839419972841825,0.05317384821030466,0.05080756800163268,502.72133341018986,275.902779546262,611.8191172986321,629.0397500796463,1.0074911458944014
1|setsize[2],0.394611964065989,1.2088328662173147,-1.894401471364333,2.5505843300093822,0.05506674844899271,0.05292368969971478,481.89636680034937,261.4403454764686,679.6080341672795,571.2844405492583,1.0079072919948082
1|setsize[3],-0.031001826471879143,1.1042752656115054,-2.224605456768562,1.9210596543117118,0.043852626060737976,0.03965904595222646,634.1083585244705,388.23376232851984,792.5844344198312,614.7612784668411,1.0055046286024654
obs_gaze_influence|setsize_sd,0.043923756107086646,0.04233710043571462,1.8648465433056565e-05,0.13048597200461592,0.00432151716458813,0.00369475231803323,95.9775671641454,66.23489518420209,200.8200052533368,53.397481596313334,1.0080265180494328
obs_gaze_influence|setsize[0],0.001878742537149803,0.03685175731625954,-0.07429178453985305,0.07573279053780406,0.0026129186031142075,0.0021948178482703584,198.9136758878248,141.5414867117248,335.53826520895655,172.33374878175533,1.00572989475597
obs_gaze_influence|setsize[1],-0.003971540484719193,0.03453806803291593,-0.07539847919376408,0.06197895470189625,0.0020580467514665843,0.0014567685770951791,281.63434080422076,281.63434080422076,394.7908781493794,132.36211355712595,1.007990720137929
obs_gaze_influence|setsize[2],0.025205360384399026,0.044659931418824454,-0.047410365104833714,0.11508314512972885,0.005516872112929642,0.005409034301033494,65.53152434782298,34.669612967155224,165.57963710868074,43.78191182997793,1.0117932917309682
obs_gaze_influence|setsize[3],0.0032075532644875388,0.03599456568432472,-0.06448955497897438,0.08339777222413657,0.0028317872840431155,0.0025805266902674475,161.56698505443902,97.86449810818989,325.13593825641607,56.48364687392879,1.0066763545026907
pred_gaze_influence_sd,6.059329320617957,0.3090028242640245,5.478430888567831,6.620212185177638,0.00744889841474573,0.005499748973899198,1720.841197223695,1578.9546261750015,2039.602623066231,1162.3633659731386,1.0043761826619473
