,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],17.524358102686932,4.031300609811737,9.806543250452508,24.71054968922217,0.1969145315745681,0.16563328106081837,419.1165737621429,296.7698844825955,590.0798017053215,345.3331081776323,1.0078334359115955
gaze_influence[0],1.0966744293682746,0.11831936374979281,0.8743681897553279,1.3141771092555925,0.005255609642028359,0.003911223244829187,506.8336601309225,458.1522525668175,585.9041687133146,378.177812225466,1.0012664082390044
1|setsize_offset[0],0.37227217684128316,0.8103458181069059,-1.0820797012820247,1.9633587016653007,0.02855535251507797,0.02019900088536292,805.3149077262323,805.3149077262323,819.8841253314297,935.6983227288733,1.0045572013220128
1|setsize_offset[1],-0.44286279990660554,0.8191341134396932,-1.9613177656171508,1.1102173525866614,0.0278291240126365,0.019684790718626208,866.3850575089502,866.3850575089502,871.1723191846585,336.96054277362515,1.001753630254221
1|setsize_offset[2],0.19612668691812074,0.82176506096081,-1.2299860230868949,1.859631716813324,0.034893395729481774,0.029093175012768365,554.6370446431455,399.50094005815157,629.6514591815425,411.53093133654136,1.0034735586727064
1|setsize_offset[3],-0.22861781126193992,0.8026470410034945,-1.6225123004108186,1.36276935848066,0.026850304073488172,0.021704531247564208,893.6157225285741,684.3665437003615,898.2719915076705,450.2051149394812,1.0018180606998952
gaze_influence|setsize_offset[0],0.5516910687185376,0.8678474996436256,-1.1442836540096688,2.1699889491231206,0.01906508095044171,0.013482946061624168,2072.09434675626,2072.09434675626,2041.6711784196168,2621.0985971283153,1.0023661909717556
gaze_influence|setsize_offset[1],-0.06885839079692431,0.8544699072934994,-1.7026994602172831,1.5674045218545558,0.0244409435891877,0.01728648275584748,1222.2431371097791,1222.2431371097791,1229.516921781209,1223.25414128521,1.0020696537789875
gaze_influence|setsize_offset[2],-0.12966688225064987,0.8155207308161665,-1.6861930107311276,1.4615535356107403,0.0183382387881104,0.014641449883045337,1977.6742723793398,1551.7978164918989,1939.26973141251,2593.021822631708,1.0001512760563767
gaze_influence|setsize_offset[3],-0.23127611134349874,0.7964472796646973,-1.7049919885973766,1.2997605263968295,0.0166592113617481,0.012536234432439773,2285.6261168434835,2018.7167077668912,2188.59228810244,2732.666579922208,1.0023688163443352
1|setsize_sd,4.695762314135938,4.483382265491378,0.005065741906957898,12.443879611618058,0.30610728731551684,0.2167455163020789,214.518228430977,214.518228430977,183.94911030507055,305.8456381994373,1.005818114417438
1|setsize[0],1.4550482200334858,4.041539715650124,-5.449536539271225,9.326788663766555,0.20025448077289193,0.16591472211356958,407.31388685615946,297.2672675921228,534.5416852123723,378.9384012881344,1.0089982327564126
1|setsize[1],-2.1519300123262597,4.10337771659774,-9.676424364568978,4.69094195599097,0.21930979153674277,0.20612302300324328,350.07971536426624,198.73620622865215,526.8182049232277,362.50663187544245,1.0064106436011035
1|setsize[2],0.9613161255459637,3.84878077106583,-6.272349902202273,8.997976196432083,0.18866211066886096,0.1527464754225378,416.175941390509,318.03243801337067,515.7976345374744,403.6495106582816,1.0061936591046747
1|setsize[3],-1.0958229301893363,3.949389750659863,-9.418672965106827,6.140279574856987,0.20241099259126025,0.18802941569763873,380.7078224006285,221.1697220435014,536.056583928725,368.9771621326043,1.006087243898766
gaze_influence|setsize_sd,0.14820145541531424,0.13105621477964327,0.0003318143668700524,0.3979218215680526,0.00987393236121921,0.009464440177667566,176.1712131172583,96.456489335423,347.3086450704662,86.79211966416673,1.0080653264054946
gaze_influence|setsize[0],0.0892796667989537,0.13779911058033104,-0.1022849867842422,0.43163349437051995,0.006019327303023017,0.004661501669195219,524.0791850872181,437.51268874125645,642.0995629315429,448.6384599971926,1.0059354486325598
gaze_influence|setsize[1],-0.012391120032384234,0.12318009895384617,-0.23009720766036298,0.25464379852836266,0.007112601419968209,0.006340221257393026,299.9329320033251,189.31409694059175,434.61645060557646,320.9121062197664,1.0021529198982349
gaze_influence|setsize[2],-0.019289508816398723,0.11283077912199586,-0.23756089586461265,0.20452637910779897,0.005429025201006068,0.0045333891704882785,431.92809996519384,310.3105215792088,592.8307588923936,467.74789491488616,1.0014547203398299
gaze_influence|setsize[3],-0.035538061785968855,0.1133312824309664,-0.2620242379904778,0.18938100766636687,0.0058751534097008845,0.00494639900725901,372.10129708771706,263.06050453452434,503.6413202582248,292.61687806045535,1.0029398165592942
last_gaze_to_choice_sd,17.885801808848843,0.9226629807162627,16.154218377345437,19.618360379058252,0.01899979445569555,0.013484727205595067,2358.242092430332,2341.4240821747067,2371.5686814862606,1686.0532304145593,1.0018045207318353
