,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.09457416719924128,0.009395056359678295,0.07700492655715015,0.11191688155701884,0.00014101928090903983,0.00010029704569808481,4438.556861201651,4387.834541813454,4448.804862299293,3251.253030475641,1.0009398660982154
value[0],0.03879853304278677,0.001965010568645536,0.03528755843275692,0.04258348915171745,5.099319898996197e-05,3.606472154579692e-05,1484.9275528407734,1484.9275528407734,1486.765936563029,2017.6494653770844,1.0019160238586775
size[0],0.0001965889167026525,0.0001878472668468125,-0.00014566618703943157,0.0005596922558468517,2.5618240391066e-06,2.103877983786257e-06,5376.642589812926,3986.59595104682,5369.843195586225,3297.009598444663,0.9997922840457824
row[0],-0.0005993886324904509,0.00035478294228586006,-0.0012190625444521775,0.00010534118526466588,5.4065467454355565e-06,4.09406903247681e-06,4306.114143342765,3755.368945618789,4321.087426448176,2773.8213827242485,1.003680517135188
column[0],-0.0002846182350632643,0.00033353390721401225,-0.0009152620764254027,0.0003396667038585313,5.085660152437005e-06,4.186279872904485e-06,4301.157161755678,3174.485008970424,4294.924958881272,3414.14890104518,0.9997971365431284
setsize[0],-0.002419997133445248,5.450085511463029e-05,-0.002523029245180973,-0.002317467914869568,8.672345578718269e-07,6.136359308161434e-07,3949.421461552096,3944.7483440189862,3941.669783479355,2670.516297902333,1.0002474029136057
1|subject_offset[0],-0.7170817631210052,0.22253782339730035,-1.136574753120118,-0.2965899621084232,0.003635836258310816,0.002571124661979249,3746.2696963901067,3746.2696963901067,3731.292291648133,3131.8541127189405,1.0009190363081342
1|subject_offset[1],-2.4025413374369085,0.34253976515010953,-3.050268732597416,-1.7672770118962071,0.005641465200324216,0.0040117703962561,3686.703100877279,3645.7707195024327,3690.900992290387,3282.3179914644106,1.0003924567935758
1|subject_offset[2],-0.7011906117867853,0.2226812352562649,-1.1111413185967112,-0.2656481014102772,0.0034225061996227906,0.0024226029540064947,4233.297172580148,4225.058526439353,4208.75781391542,3383.6289288537896,1.0012583776541564
1|subject_offset[3],0.6112301423823245,0.21522494820601729,0.1982533591646016,1.0065295381163388,0.0032653321156137127,0.002330628535842467,4344.406996161627,4264.503941873799,4340.314931036051,3363.025490827292,1.0000940466933823
1|subject_offset[4],-1.072552221170683,0.24380860398081786,-1.5282624978284591,-0.6137561870020896,0.003708867794449964,0.002750504162906863,4321.309275898817,3929.234308566883,4490.997831332874,3166.6706670279827,1.0001613800894658
1|subject_offset[5],1.4638027456737128,0.27136831592279026,0.9871657975628372,1.9933044466113077,0.004243550576840927,0.003064110271333555,4089.3992554307124,3922.3297042215745,4143.02706434922,2950.741639912686,1.0005100055535616
1|subject_offset[6],-0.9602009924481502,0.23011318393063385,-1.3801357430713792,-0.5226876702614054,0.0038884761174111477,0.002774463086274125,3502.0644249280126,3440.0816926175594,3510.514092857323,3301.6178448012884,0.9997854186233048
1|subject_offset[7],-0.5673315254872283,0.22078327059529015,-0.9821752356032664,-0.15759425136754684,0.0033693412646977447,0.0024494584844970504,4293.805058888687,4062.7913920581127,4300.172411603932,3426.4694684559813,1.0008795186405026
1|subject_offset[8],0.6050636240795976,0.2083053128621784,0.2138973704818308,0.9948000480904092,0.0032664858899000056,0.002319908789952277,4066.6717669517852,4031.7325860520173,4059.2477507070803,3242.826480033185,1.0000781292882857
1|subject_offset[9],0.2462426764197541,0.21499724739539836,-0.1482084351707638,0.6641226034969473,0.003226732896217565,0.0026022516075144826,4439.558325650005,3413.5907655641936,4453.209733312901,3125.65290014532,1.0005883809858112
1|subject_offset[10],0.5042914242179651,0.2153140527577596,0.11921239898804398,0.9331104171873078,0.003166886071495506,0.002322889639925491,4622.531413920972,4296.517351593118,4620.078464090602,3534.7756972935144,1.0001940963869658
1|subject_offset[11],-1.2479737709842222,0.2496389680508912,-1.7109199494286969,-0.7791202303212391,0.003919734564830957,0.0027718702222839287,4056.126023632782,4056.126023632782,3999.2179810092744,3248.3950898502144,1.0007230026944398
1|subject_offset[12],0.2964965064285959,0.21027013702791214,-0.08431049263243465,0.7032151619460715,0.0031383503410974158,0.002276926227009713,4489.028358691203,4264.682361495169,4478.833430676411,3410.3471105317158,0.9999971761054588
1|subject_offset[13],0.5796790264753601,0.22415115321872295,0.18245522328037475,1.017329995242978,0.0033332044645848643,0.002362715958510966,4522.286216095224,4500.753453556686,4510.862177706778,3726.3056010523055,1.0002034972176457
1|subject_offset[14],0.11813818222208028,0.20778939369816316,-0.2792201133227353,0.4972920396864086,0.0031417860233108924,0.002489113319344177,4374.1487218655375,3484.9786390947315,4381.631022149759,3441.873754627508,1.0005483897652288
1|subject_offset[15],-0.18020718680484435,0.2394644156104977,-0.6344336419051421,0.2574906750850925,0.003876378323045367,0.003057640353491635,3816.187109716192,3067.3389991835506,3815.993571201256,2984.7348140774416,1.000436450078382
1|subject_offset[16],0.6659727621157191,0.2184845783650384,0.2805021242971316,1.0890467451614658,0.003330250278391636,0.002440896669269571,4304.154272884874,4006.600362444169,4342.4180312352555,3560.8478453896696,1.0004165588280165
1|subject_offset[17],1.5619968753779911,0.2584374290967704,1.0809917614945754,2.037480790899457,0.0043472307390783746,0.003097074443856585,3534.153758874307,3482.1726482955787,3558.298164628025,3370.388483058079,1.0001711480011013
1|subject_offset[18],-2.1832656525828464,0.301222003267485,-2.731847961939919,-1.6178362880096528,0.0052865952367174025,0.003751991977699538,3246.5437838446533,3223.2811789996726,3246.221668165603,3213.622201191908,1.0005190486361846
1|subject_offset[19],0.16802995018795608,0.21044229935583936,-0.2341640753588245,0.5546132358474584,0.0031871866206478893,0.0025748709884690344,4359.644626445171,3340.4192751935902,4371.270833172137,3175.039278653913,1.0005916377816657
1|subject_offset[20],-1.2833225392041674,0.25679838367894764,-1.7505718790447495,-0.7966198027552303,0.004306372824806694,0.003080265890358748,3555.996455163689,3475.770210627093,3558.0239182787122,3449.8488319067096,1.0013497236757178
1|subject_offset[21],1.899316414874436,0.27976287848546183,1.4060754557573891,2.4555881846366385,0.004412703133688068,0.003120478755172135,4019.4881567982898,4019.4881567982898,4015.9571475990624,3500.3242252189248,1.0004729732772415
1|subject_offset[22],0.7973864814360949,0.21766910395239755,0.3969837312438352,1.2150735500855754,0.0034765805862547005,0.0024909751522060484,3920.026271245413,3818.4854787289037,3924.927107046131,3401.3925140207803,1.0001419814784025
1|subject_offset[23],-1.583732089252582,0.2689302010104706,-2.0698434737442337,-1.0772231170395985,0.004379324546048996,0.003149574198490069,3771.072571632641,3645.985693142269,3808.8493961183203,2850.3980114006763,1.0002187376127616
1|subject_offset[24],0.8553506993572306,0.2218736286699396,0.43955647733350606,1.272626378368689,0.003321411358142333,0.0024021332666658113,4462.374748792097,4266.252612698346,4489.983681303706,3524.663710720301,1.0003855910371402
1|subject_offset[25],-0.1406007398244781,0.20770661537614168,-0.5291833294347282,0.25630646508820343,0.003255902477118276,0.002653237933017318,4069.6576935429493,3064.791518435101,4066.923386756172,3411.514087037123,1.000675772888072
1|subject_offset[26],0.7706414205647799,0.22452481232623367,0.34962065077237353,1.1746063138144265,0.003459867841704497,0.002455009435667782,4211.236810596693,4182.663541437198,4238.53804512563,3701.285200531408,1.0001838270196228
1|subject_offset[27],0.677995694646338,0.2183026186442327,0.2853817666408803,1.0967446015168554,0.0033331264378973877,0.002425517590039562,4289.575477251019,4050.8073022730214,4275.24776977959,3519.4130957556513,1.0011310951619643
1|subject_offset[28],-0.13425184824223674,0.21628662955441144,-0.5418851462574351,0.25892677671773,0.00327401728988888,0.002879139112104477,4364.127284997013,2822.239250517093,4364.449260527357,3117.5417294566937,1.000503303820811
1|subject_offset[29],1.990461548244948,0.2864841825471825,1.4780745507005504,2.5493190272009807,0.00459277239669617,0.0032820926568216968,3890.912369061281,3810.0978048373186,3903.8471364079146,3486.133057420528,1.0011532935848009
1|subject_offset[30],-0.6336419791568577,0.24669183602588746,-1.1067452577851091,-0.18890627469544846,0.0037851237860917295,0.002789871644498701,4247.656419243587,3909.992383728517,4223.597272639792,3003.9648954448253,1.002929746696621
1|subject_offset[31],0.4504859741015856,0.21070484793234856,0.06889133374010302,0.8520123708943694,0.0032869489806746266,0.002437140891834725,4109.2553558693235,3737.8818518812,4123.931355976346,3063.5020293501802,1.0004752152264096
