,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],0.2979436923418969,0.010890231356338,0.27745025548065305,0.3190009728681377,0.00035363278361620875,0.00025013308477565897,948.3511456385862,948.3511456385862,948.0856723731545,1625.285300162545,1.0020167756322191
gaze_advantage[0],0.004586160930335409,0.000338144935251917,0.003973114472133895,0.005236689603052982,1.3291806508949506e-05,9.402965402929132e-06,647.1988736021516,647.1988736021516,651.5542579328794,1074.9985919585984,1.0024820715570522
rel_value[0],0.03639788974048213,0.0020683556531886087,0.032303966402904116,0.040049144831917335,0.00021771610061634838,0.00015667916860839646,90.25459893450704,87.71979249354249,89.73754475406216,172.32906066973052,1.0264661088716251
value_range_others[0],-0.027772304363575823,0.0020163950605200987,-0.031439128811815764,-0.023811526957106872,7.011837815199162e-05,4.971011912390072e-05,826.9657544104822,823.264714786143,827.3402821087833,1335.9671385099184,1.0049181501386286
setsize[0],-0.001587776534078616,0.00010475788991856744,-0.0017782504515327536,-0.0013946719551829162,2.5618644260743927e-06,1.8118910460278552e-06,1672.0959612093802,1671.9792475885592,1674.2839366702174,2621.288447550093,1.0027453779041609
1|subject_offset[0],-1.2944876072853928,0.2806212041127145,-1.8323880950179932,-0.7998814277275992,0.006780577276838126,0.004795408861474382,1712.8038394716166,1712.8038394716166,1696.6452949058566,2429.683174398144,1.0013327019408969
1|subject_offset[1],-0.7493467796340681,0.2759407798374741,-1.2751455180495128,-0.23690977348244294,0.0061410527374692134,0.004343007479722329,2019.045567954525,2019.045567954525,2013.8225586259928,2716.0169964241145,1.0000568655101283
1|subject_offset[2],0.33425171766941475,0.3662895562921808,-0.30649948018337186,1.0889985211091229,0.007290509475028411,0.005155764460902747,2524.2555214064514,2524.2555214064514,2522.787763411052,2953.612086996019,1.0001303666022654
1|subject_offset[3],1.0152234699203089,0.3986985112149961,0.277543879528003,1.7490903539644933,0.008715654882281508,0.006163757853147635,2092.6142481155935,2092.6142481155935,2094.114683533925,2818.1723518797703,1.0007333875344515
1|subject_offset[4],-0.7927720874497246,0.3281707198767365,-1.3977610219611212,-0.18187561849313105,0.006161547316978453,0.004357319932187239,2836.743598862936,2836.743598862936,2826.547793930521,3057.5794437336663,1.0004944249721603
1|subject_offset[5],-0.3853776581217757,0.6648565271025635,-1.6751876943465478,0.8239462126217817,0.0189208429804082,0.01338221801631635,1234.738273213602,1234.738273213602,1229.5832139235572,1766.1101177674186,1.0021049846775494
1|subject_offset[6],-0.28871338282176623,0.3922513864956037,-1.0794686829741422,0.3835038962122057,0.0077040399158146596,0.005551656931340654,2592.339791646599,2496.635973678725,2599.799534446062,2523.887538934333,1.0007981053347241
1|subject_offset[7],-1.336791365433382,0.30846772590594923,-1.916019425304656,-0.7658252952660605,0.007128650310163533,0.0050415023734002975,1872.42676718558,1872.42676718558,1852.616882047516,2342.175451051923,1.0013573984835349
1|subject_offset[8],0.9062902115523236,0.4189707168091248,0.1610409867275608,1.7128739215170041,0.008736102751027295,0.006247346476631965,2300.0213786486165,2249.359147659075,2317.589662366874,3021.312973425166,0.9998540898284232
1|subject_offset[9],-0.8378169756814805,0.3802424714998513,-1.5636645314481508,-0.13049157639858192,0.007548182692640814,0.0053379847373945955,2537.677576025469,2537.677576025469,2530.9093049288235,2756.201273081205,1.0003174485705315
1|subject_offset[10],-0.5269039508438601,0.3347478974632649,-1.1426524218224603,0.10570971934907616,0.0070602227320068905,0.005069778971176268,2248.0134820969142,2180.438663774177,2255.038819056589,2630.064757153745,1.0001371272904116
1|subject_offset[11],-0.20548942005450427,0.3939867938294669,-0.9205974961160808,0.5513534533420527,0.007682427858818329,0.006019781414999794,2630.064190135161,2142.3487100641782,2631.499415568961,2906.5066675196254,1.0004996501998555
1|subject_offset[12],1.39668216741478,0.5216365701550109,0.34933089983440857,2.3107019902800423,0.011705323233331838,0.008278129325272925,1985.9542502559314,1985.9542502559314,1972.4148240079144,2506.104529774933,1.0021730053918894
1|subject_offset[13],-0.11089683644065157,0.4190787189635677,-0.9296137471172612,0.6459166699995377,0.008552056762807219,0.006160903628226718,2401.320153943195,2314.098717015512,2398.1329881497313,2750.5305415381767,1.0002855875929682
1|subject_offset[14],-0.428158044156756,0.5085278703491196,-1.3558537816950025,0.5431312345028363,0.012165922883417632,0.008604043054911387,1747.1870462221632,1747.1870462221632,1748.1736699483965,2550.025264377599,1.0005360624623238
1|subject_offset[15],-0.1785733897004183,0.3917142235611024,-0.927284742064137,0.5515280907269366,0.007742895337202669,0.0057008953458566845,2559.363107376509,2361.1841509198457,2558.8578597084816,2656.1405338826994,1.0012773352428042
1|subject_offset[16],2.3068939824013044,0.5111407211203289,1.3400444938723828,3.230139289384339,0.013755695696350906,0.009765924040695977,1380.752515439211,1370.2796599964875,1386.0085341645324,1877.3077945609314,1.0013626612398412
1|subject_offset[17],0.907920720933614,0.4306729362841504,0.147255129618847,1.7310310425203637,0.009599519034480405,0.006808819231534755,2012.77956457603,2001.0050576753627,2019.849435949515,2730.1209059988923,0.9999701685456246
1|subject_offset[18],0.44529641102015294,0.3727197157953601,-0.27054253879400153,1.1352843229125469,0.0073723608330746844,0.005519118985923632,2555.9453645792355,2280.900337858827,2575.2809430134826,2613.329374002865,1.0010113576722721
1|subject_offset[19],-0.134170976913677,0.33470029648325955,-0.7410617101301751,0.5032580898019053,0.006657199126024799,0.004998941945998525,2527.7207824189168,2242.0176401184467,2514.9017985170226,2866.255529509697,1.0006726290576102
1|subject_offset[20],-1.3401465891200477,0.2949015089396194,-1.9089211231855296,-0.8120288723697049,0.00672597749169723,0.004756706060140186,1922.3973991118128,1922.3973991118128,1903.9282544021069,2596.1763185319896,1.0011951064897613
1|subject_offset[21],0.17686421220813914,0.3421504353492437,-0.4901758488632858,0.7906078174155893,0.0066035790984526384,0.0052932006423774495,2684.5742820415376,2089.723064624895,2691.8824883502425,2667.0815989681755,1.0002425695848305
1|subject_offset[22],-0.4918570800208917,0.3031489567277044,-1.053900004580615,0.08849771371784429,0.006103383769259331,0.00431625439043999,2467.009370447795,2467.009370447795,2452.5731297996003,3083.6620690854847,1.0012515156569302
1|subject_offset[23],-0.70340941667753,0.3056645919559374,-1.2847872397041624,-0.16073943529033122,0.006586684500538612,0.004748447120873903,2153.557855004429,2072.4273808600988,2156.222873688711,2576.2669157599225,1.0009955058450686
1|subject_offset[24],-0.1802619457559172,0.31523606802072424,-0.816209355506229,0.37134805129808,0.00582210496962494,0.004348039749607044,2931.647442044671,2628.761473815945,2933.5663273697783,3002.7156586344267,1.0005012586187136
1|subject_offset[25],0.4645928484755286,0.3784490665997733,-0.2504336317239436,1.1361488568533853,0.007119330903173872,0.005116420228664948,2825.768102408227,2736.182535281791,2823.1490268671496,2855.789106986199,1.0004584497267308
1|subject_offset[26],0.719475734809293,0.4579531809031425,-0.1421493265985361,1.5864623808920135,0.010027566779606485,0.007151608038314816,2085.6961241419604,2050.823607067942,2085.573112138009,2379.968232293626,1.0002332277540438
