,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],6.65582775000263,4.519015519302458,-1.8590823891747417,15.524192066209581,0.24226059812966574,0.17144790995862486,347.9542098380955,347.9542098380955,352.32118085293655,255.66228270657945,1.0097111869967215
obs_p_choose_best[0],0.20937548636117134,0.050634565426514865,0.10215939859360454,0.2983832064243259,0.00270759467067119,0.0019161575447745063,349.72515613729007,349.72515613729007,355.1475049519788,383.16053331516633,1.0150120788133046
1|setsize_offset[0],0.8192268457016795,0.7318313944856714,-0.5671993444263009,2.1646451169066907,0.023137477137315617,0.01636543912703091,1000.4377413012843,1000.4377413012843,974.0439320061719,1321.62729517953,1.0079283026746968
1|setsize_offset[1],0.04954420562171105,0.7181653347551616,-1.267625655462031,1.4614104647619632,0.032052051643167344,0.02267740322782879,502.03871452344043,502.03871452344043,541.7577696838189,469.8652320702896,1.012307426296526
1|setsize_offset[2],-0.30201902725446683,0.7282620616323888,-1.6316436065156337,1.202225344099614,0.029153752599309482,0.023417244167832328,624.002664966526,484.16950407084863,649.1680385337061,482.0310934964277,1.0030044717235929
1|setsize_offset[3],-0.6029192902842063,0.7715649000516653,-2.0770941814273045,0.9092165469559671,0.02835250533741337,0.02005614998304827,740.5630567920433,740.5630567920433,752.015134833352,741.6403112556571,1.003574421932731
obs_p_choose_best|setsize_offset[0],0.2725716313273599,0.8659604997354244,-1.3252495043170922,1.8703058077479457,0.026636537881858054,0.018840076683466944,1056.9163405670672,1056.9163405670672,1080.9551911801427,1988.5469422584158,1.0025718384080806
obs_p_choose_best|setsize_offset[1],0.17594334467231415,0.8266323479431236,-1.4018960426013,1.7389209380445332,0.022494799473851107,0.01590966204177231,1350.3941261082473,1350.3941261082473,1316.9403192117295,2156.9068981676046,1.0057694286096184
obs_p_choose_best|setsize_offset[2],-0.05198652636897032,0.8199826565699289,-1.5918514954201777,1.5822376121911579,0.02143889813333479,0.015310553222766025,1462.8655481479511,1434.743242977047,1443.8008199816222,1108.4215262907785,1.0012834519677867
obs_p_choose_best|setsize_offset[3],-0.28573627397433027,0.8505330739149961,-1.841439471925367,1.3935995640571972,0.022522297726809307,0.01592892765923096,1426.1231251323943,1426.1231251323943,1424.7475143961724,1720.726511224847,1.00166293796299
1|setsize_sd,5.8560206238912595,3.4510587897352645,0.009273796458742765,12.154778682102942,0.1232725641477444,0.08719932555125678,783.7397174690786,783.7397174690786,747.9994516874436,949.4459795404119,1.004465399294576
1|setsize[0],4.45327122320273,3.9596474591062263,-1.876902994381617,12.729919443894003,0.1748072496060289,0.12655293428718378,513.090722982613,490.0675251809736,559.6538578155419,583.9970326196432,1.0093191907106942
1|setsize[1],0.3335093531291546,3.8735961916696304,-7.553230710990825,8.174587938415529,0.18627211391957652,0.13180321265985936,432.4471146956848,432.4471146956848,469.4942050813479,426.5630900032172,1.0076685313560554
1|setsize[2],-1.7001397579545678,3.999135674391239,-9.948153419336032,5.502468058965117,0.20587482991694214,0.19085637213950382,377.3338525089854,220.1110018041691,460.66072517648155,310.01600965639915,1.0058162264972166
1|setsize[3],-3.1745869991573374,3.863738135606154,-10.917005033216519,3.8442404594097184,0.1617442104286069,0.1144289368099166,570.6343100102712,570.6343100102712,578.2859796000846,459.91389600288403,1.0074015747808363
obs_p_choose_best|setsize_sd,0.05217949292613223,0.045297409439006724,1.0133683994598402e-05,0.13855966069702524,0.0023542151686991577,0.001877000969641957,370.21535161025156,291.78101897709263,466.4341775661964,262.28684564429415,1.0074085787184344
obs_p_choose_best|setsize[0],0.014759584128338946,0.044887005177115545,-0.06499876153186065,0.12019314177198347,0.0026262161432347346,0.0018588724567567864,292.13280452816485,292.13280452816485,336.7392732417127,384.97938033180907,1.0118918180363645
obs_p_choose_best|setsize[1],0.011265025117392309,0.042334701241184616,-0.08040886938230823,0.0931628788274142,0.0031228784432894043,0.0022117226785752135,183.77347979632378,183.77347979632378,252.89243119047887,125.31238741130076,1.0170939330629636
obs_p_choose_best|setsize[2],-0.0026367100260351337,0.03878016464796948,-0.08299323161243476,0.07844714227484277,0.0016332273165826857,0.001155464075412329,563.8012403965413,563.8012403965413,652.6295757576995,402.62716473015803,1.0048855027880619
obs_p_choose_best|setsize[3],-0.015252635313135088,0.042977669755368014,-0.10865255164131249,0.06698824317828635,0.002183418183921455,0.001776489595455462,387.4466257886459,293.22123405629566,465.70918560498404,360.30049393560677,1.0033615924094617
pred_p_choose_best_sd,7.823318289167506,0.40532120249390824,7.076331906616735,8.599972960062106,0.008464102210624002,0.006115878418382446,2293.1731415926897,2196.677538426918,2441.6276848499197,1351.760248233593,1.0028433789734634
