,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Intercept[0],-138.0684312204463,142.98005275536315,-413.5703625347395,118.53511882674789,9.207518125655964,6.518589741671558,241.13804800562338,241.13804800562338,255.57860650019956,166.9648536966287,1.0133656655921561
obs_rt[0],1.0051940892498563,0.026068307497395558,0.9535573125798792,1.0506871678899965,0.0010164370637255353,0.0007190484855366202,657.7557973353867,657.7557973353867,685.1494658147632,447.91144800948,1.004526513195354
1|setsize_offset[0],-0.2921460263624794,0.8383278527227084,-1.8562315285278035,1.3196829258293028,0.04457827117458784,0.032784104567874416,353.65625802070184,327.52576149323613,345.93235288133195,522.487774942925,1.0101183356626515
1|setsize_offset[1],0.04764039348957625,0.8791834284269203,-1.4909094357717287,1.7418991423942642,0.053819818447108723,0.038098031075667636,266.85449971373595,266.85449971373595,263.9690114254083,250.9609828612083,1.0111838137332534
1|setsize_offset[2],-0.1544344550543312,0.8551240794107464,-1.7260743780201264,1.548581550846878,0.04685325997409738,0.03826448526708573,333.1030768168169,250.29381176714224,324.9028743428122,360.89613244231,1.0098382212049004
1|setsize_offset[3],0.08917887759317739,0.854224329587108,-1.6545210087839526,1.7040236834749476,0.038716373756519866,0.03950473765102896,486.8044344881864,234.36787398968423,485.374901578121,444.1888185792798,1.0108009724106406
obs_rt|setsize_offset[0],-0.11703160087499716,0.8333671272738522,-1.7261452168173517,1.3835900930498508,0.019693285969806965,0.013927524739353696,1790.7557569442906,1790.7557569442906,1747.7242219806408,2833.4071079136856,1.0005921436539038
obs_rt|setsize_offset[1],-0.37674193983112486,0.8055365139292666,-1.9314431057562853,1.1330396267737477,0.023824927491908572,0.016851067954157327,1143.1607040222793,1143.1607040222793,1145.7648425800598,1787.461940539287,1.0007893656640714
obs_rt|setsize_offset[2],0.49522001755210737,0.7891116409855718,-1.0094063085181941,2.0059433302319007,0.01749593674178144,0.012553632420460254,2034.2414564720218,1976.2246149833395,1972.032548819507,2543.1745388892664,1.0002347764670538
obs_rt|setsize_offset[3],0.24540005201537332,0.7941426131659522,-1.4297793221825135,1.6556020960982578,0.021030283237669804,0.015453527056312024,1425.9580770688608,1321.002380629433,1380.3439510509793,1584.5228191329945,1.0005932954016172
1|setsize_sd,111.80568481604863,111.99301541233552,0.4442504416727026,329.90422413874757,22.506096501785127,16.105521596981596,24.761760741695962,24.761760741695962,17.02465225957713,59.70497122594163,1.1087639509865512
1|setsize[0],-32.77274592102105,95.66543518605783,-230.17170325472645,134.74717641269848,8.14517105762059,6.716251275739546,137.94618178291913,102.02764506809734,166.5655983158106,113.49799918301017,1.0236988031800425
1|setsize[1],5.34331251352057,89.41617641649293,-175.8217350232582,169.94079005519527,6.279893938881991,5.5497280276226615,202.73445856934165,130.37884891537297,197.978158235381,136.84247341360245,1.0437283118243121
1|setsize[2],-15.666558225792071,93.03664039034032,-210.43162576210665,186.0251794330453,8.846546610732084,6.581796844165326,110.60136798004928,100.4891115622988,133.2552444853319,65.02982101818866,1.0567828506071837
1|setsize[3],13.35614505634394,101.29384212621905,-251.85695397481612,194.50183559915578,8.187850145342013,6.901398467061774,153.04752744626478,108.29510925230423,175.49500867792568,138.19135313758065,1.0373717160446907
obs_rt|setsize_sd,0.027113206156006136,0.023580378483670308,1.1090228167196868e-05,0.06874269801691651,0.0015141792252819756,0.0013193298655644794,242.51967442291178,160.30555822919465,390.50351270455553,281.1165931192215,1.0016596359841272
obs_rt|setsize[0],-0.0019618685587656933,0.020776163982828732,-0.0437642250320487,0.039372456221597595,0.0008386709917788512,0.0005933120225973339,613.6877939266723,613.6877939266723,687.1033453003037,705.0145719882007,1.001829751273974
obs_rt|setsize[1],-0.009463094394270767,0.020968530470056496,-0.051911438562252415,0.028189219038300878,0.001022548850024431,0.0009950731302643529,420.5018015484157,222.605482234952,568.8044378709811,377.2659463090267,1.008173884300962
obs_rt|setsize[2],0.013609154000798967,0.020235583296350636,-0.019876266464633644,0.05682760214212795,0.0008282337072873785,0.0006757367707839522,596.9330878972335,448.96353743699655,687.7991565539229,644.8027736544326,1.003637813561162
obs_rt|setsize[3],0.007304730964618824,0.01988004111194448,-0.02702840636958302,0.05208248201802828,0.0008640720333187148,0.0006992472144811015,529.3399335457716,404.73387298661555,607.194521872048,418.6759289436196,1.001693142256565
pred_rt_sd,603.0776446733574,31.270532056297377,546.5210979564713,662.9401099602879,0.7679743982088257,0.5431354637704235,1657.9714841210175,1657.9714841210175,1644.8305274377435,482.71029231514376,1.0012722517966304
