,Unnamed: 0,WAIC,WAIC_se,p_WAIC,WAIC_i,WAIC_scale
0,0,-516.5199929840976,13.988462558062846,6.858316317268658,-11.881948547347028,log
1,1,-516.5199929840976,13.988462558062846,6.858316317268658,-12.263317706031476,log
2,2,-516.5199929840976,13.988462558062846,6.858316317268658,-11.357114521607356,log
3,3,-516.5199929840976,13.988462558062846,6.858316317268658,-8.924432715338689,log
4,4,-516.5199929840976,13.988462558062846,6.858316317268658,-10.194999834192828,log
5,5,-516.5199929840976,13.988462558062846,6.858316317268658,-8.490506772472855,log
6,6,-516.5199929840976,13.988462558062846,6.858316317268658,-15.376292327930416,log
7,7,-516.5199929840976,13.988462558062846,6.858316317268658,-12.814503817367244,log
8,8,-516.5199929840976,13.988462558062846,6.858316317268658,-15.350350529500759,log
9,9,-516.5199929840976,13.988462558062846,6.858316317268658,-14.159972604596785,log
10,10,-516.5199929840976,13.988462558062846,6.858316317268658,-9.958844336149808,log
11,11,-516.5199929840976,13.988462558062846,6.858316317268658,-10.70832374950935,log
12,12,-516.5199929840976,13.988462558062846,6.858316317268658,-8.933448673642626,log
13,13,-516.5199929840976,13.988462558062846,6.858316317268658,-11.091879679051745,log
14,14,-516.5199929840976,13.988462558062846,6.858316317268658,-8.374040302592432,log
15,15,-516.5199929840976,13.988462558062846,6.858316317268658,-9.174752240390204,log
16,16,-516.5199929840976,13.988462558062846,6.858316317268658,-12.04104932742214,log
17,17,-516.5199929840976,13.988462558062846,6.858316317268658,-8.589587550994747,log
18,18,-516.5199929840976,13.988462558062846,6.858316317268658,-9.202610504991256,log
19,19,-516.5199929840976,13.988462558062846,6.858316317268658,-8.409266529685508,log
20,20,-516.5199929840976,13.988462558062846,6.858316317268658,-13.511117727641723,log
21,21,-516.5199929840976,13.988462558062846,6.858316317268658,-10.22393712617175,log
22,22,-516.5199929840976,13.988462558062846,6.858316317268658,-8.7551805188488,log
23,23,-516.5199929840976,13.988462558062846,6.858316317268658,-9.032860617318462,log
24,24,-516.5199929840976,13.988462558062846,6.858316317268658,-10.340098869384304,log
25,25,-516.5199929840976,13.988462558062846,6.858316317268658,-14.83164560970602,log
26,26,-516.5199929840976,13.988462558062846,6.858316317268658,-9.19523453727233,log
27,27,-516.5199929840976,13.988462558062846,6.858316317268658,-8.904746199747718,log
28,28,-516.5199929840976,13.988462558062846,6.858316317268658,-11.01688380662156,log
29,29,-516.5199929840976,13.988462558062846,6.858316317268658,-12.789181062347074,log
30,30,-516.5199929840976,13.988462558062846,6.858316317268658,-10.461291982580613,log
31,31,-516.5199929840976,13.988462558062846,6.858316317268658,-9.555481112900004,log
32,32,-516.5199929840976,13.988462558062846,6.858316317268658,-9.068022297535537,log
33,33,-516.5199929840976,13.988462558062846,6.858316317268658,-11.282092745485814,log
34,34,-516.5199929840976,13.988462558062846,6.858316317268658,-8.417367777758892,log
35,35,-516.5199929840976,13.988462558062846,6.858316317268658,-11.007830766907427,log
36,36,-516.5199929840976,13.988462558062846,6.858316317268658,-10.877402565591881,log
37,37,-516.5199929840976,13.988462558062846,6.858316317268658,-12.87558788182634,log
38,38,-516.5199929840976,13.988462558062846,6.858316317268658,-8.527416768522013,log
39,39,-516.5199929840976,13.988462558062846,6.858316317268658,-8.54958360891991,log
40,40,-516.5199929840976,13.988462558062846,6.858316317268658,-11.5119765812245,log
41,41,-516.5199929840976,13.988462558062846,6.858316317268658,-8.394678411784959,log
42,42,-516.5199929840976,13.988462558062846,6.858316317268658,-13.713679811477563,log
43,43,-516.5199929840976,13.988462558062846,6.858316317268658,-8.315316727226232,log
44,44,-516.5199929840976,13.988462558062846,6.858316317268658,-8.364206382305657,log
45,45,-516.5199929840976,13.988462558062846,6.858316317268658,-8.72223079357196,log
46,46,-516.5199929840976,13.988462558062846,6.858316317268658,-10.907914297007267,log
47,47,-516.5199929840976,13.988462558062846,6.858316317268658,-8.928681968173066,log
48,48,-516.5199929840976,13.988462558062846,6.858316317268658,-11.141102157422917,log
